channel_num, sp_gap, chisqr/ndf, gauss1 mean, gauss1 ampl, gauss1 sigma, gauss2 ampl, gauss2 sigma, gauss3 ampl, gauss3 sigma, gauss4 ampl, gauss4 sigma, gauss5 ampl, gauss5 sigma, landau ampl, landau mpv, landau sigma, actual peak1 height, actual peak2 height
0, 25.613832, 38.323606, 30.408643, 17244.060385, 7.051733, 7009.744980, 7.070090, 602.482722, 8.553466, 602.482722, 8.553466, 0.000000, 0.000000, 100072.526731, 7.890323, 2.854457, 18157.989335, 19141.029144
1, 24.857490, 42.511606, 30.276740, 17075.442482, 6.977274, 6805.429617, 6.697651, 606.701314, 8.448632, 606.701314, 8.448632, 0.000000, 0.000000, 104333.883380, 7.875189, 2.879639, 18922.219781, 19102.165956
2, 26.496896, 27.956671, 31.347248, 17218.045412, 6.461752, 6149.744280, 7.243665, 520.507190, 8.450324, 520.507190, 8.450324, 0.000000, 0.000000, 113733.832818, 8.101379, 2.915146, 20565.182833, 19325.949773
3, 25.855808, 35.002736, 31.034057, 17239.651769, 7.259124, 7573.581421, 7.198205, 716.183673, 8.762970, 716.183673, 8.762970, 0.000000, 0.000000, 85604.108376, 8.172107, 2.961832, 15556.437965, 18926.252968
4, 25.674301, 32.470495, 30.236150, 16300.235991, 6.367809, 5527.485793, 6.953052, 388.402832, 8.310547, 388.402832, 8.310547, 0.000000, 0.000000, 129329.573442, 8.002696, 2.919242, 23389.780867, 18912.685434
5, 25.017310, 30.980128, 29.724413, 16214.173479, 6.285523, 5486.078905, 6.683184, 375.260333, 8.192069, 375.260333, 8.192069, 0.000000, 0.000000, 135334.162623, 7.824166, 2.874640, 24475.106432, 18948.766556
6, 25.632212, 38.235479, 30.114633, 17140.164006, 7.027599, 6869.003615, 7.074039, 609.635526, 8.488026, 609.635526, 8.488026, 0.000000, 0.000000, 100939.037912, 7.895278, 2.898527, 18322.222394, 19155.449779
7, 25.331619, 33.550678, 30.029388, 16863.427926, 6.688677, 6201.868357, 6.920845, 476.463989, 8.357101, 476.463989, 8.357101, 0.000000, 0.000000, 116917.892512, 7.931220, 2.886898, 21174.288380, 19204.435521
8, 25.765235, 35.018399, 30.786299, 17096.726947, 6.909252, 6742.966454, 7.161528, 604.716181, 8.535537, 604.716181, 8.535537, 0.000000, 0.000000, 103581.439549, 7.942764, 2.901861, 18765.768720, 19067.017320
9, 24.972755, 36.346119, 29.919120, 16579.032885, 6.616197, 6011.163221, 6.717896, 461.085507, 8.284758, 461.085507, 8.284758, 0.000000, 0.000000, 121715.254287, 7.859265, 2.894447, 22034.752775, 19035.596519
10, 25.803447, 29.144999, 30.440579, 16340.292699, 6.225861, 5318.695021, 6.908948, 335.867125, 8.266553, 335.867125, 8.266553, 0.000000, 0.000000, 136747.452566, 7.999392, 2.890563, 24721.131111, 19007.598653
11, 25.483302, 37.666748, 30.271934, 17074.595744, 7.164730, 7040.529613, 7.012988, 618.809128, 8.583647, 618.809128, 8.583647, 0.000000, 0.000000, 98055.438352, 7.966284, 2.912389, 17816.209922, 19035.737053
12, 25.137436, 35.604674, 30.215515, 16381.164794, 7.130889, 6639.054786, 6.948041, 567.650439, 8.730923, 567.650439, 8.730923, 0.000000, 0.000000, 108273.815680, 8.004878, 2.925346, 19657.229493, 18586.082925
13, 25.642334, 30.863037, 30.055302, 16728.314575, 6.564876, 6036.187747, 6.919634, 433.494453, 8.323903, 433.494453, 8.323903, 0.130951, 0.000000, 123799.520285, 7.876142, 2.859550, 22405.126745, 19148.928613
14, 26.300637, 30.727600, 31.123683, 16766.524963, 7.183983, 7186.076429, 7.521376, 686.007122, 8.828998, 686.007122, 8.828998, 0.000000, 0.000000, 91229.844020, 8.300494, 3.035091, 16561.660090, 18654.176629
15, 26.431508, 27.586553, 31.245412, 17031.218380, 6.245788, 5604.523812, 7.191012, 393.728432, 8.325983, 393.728432, 8.325983, 0.000000, 0.000000, 129006.953624, 8.051759, 2.874434, 23317.579923, 19372.646275
16, 26.855147, 32.296824, 31.101326, 17094.662596, 6.039884, 5597.351403, 7.185945, 441.102906, 8.066087, 441.102906, 8.066087, 0.000000, 0.000000, 127561.549858, 8.062207, 2.876234, 23052.577289, 19437.092156
17, 25.725444, 36.466089, 30.759859, 17223.505604, 6.255937, 5953.515787, 6.904935, 471.792865, 8.088607, 471.792865, 8.088607, 0.000000, 0.000000, 125168.770585, 7.730253, 2.793932, 22626.029172, 19407.557171
18, 27.108824, 37.161585, 31.227127, 16465.760972, 5.740254, 4862.849668, 7.025093, 329.990035, 7.989539, 329.990035, 7.989539, 0.000000, 0.000000, 151098.668387, 7.759004, 2.740617, 27299.314158, 18921.712484
19, 26.465676, 30.189725, 30.705408, 17085.226174, 6.505931, 6174.656809, 7.330662, 518.576643, 8.274359, 518.576643, 8.274359, 0.000000, 0.000000, 118786.474248, 7.639932, 2.760191, 21482.199682, 19110.693375
20, 26.051970, 31.392353, 30.929437, 16571.388240, 6.012253, 5294.177282, 6.880294, 341.056521, 8.167257, 341.056521, 8.167257, 0.000000, 0.000000, 139636.170077, 7.987268, 2.845225, 25233.661188, 19108.740052
21, 25.575020, 34.273414, 30.399063, 16500.383440, 6.149094, 5557.537151, 6.812712, 405.083343, 8.082820, 405.083343, 8.082820, -nan, 0.000000, 134856.611755, 7.827654, 2.837512, 24375.982144, 19014.852584
22, 25.308667, 39.225103, 29.501780, 16521.188018, 6.878436, 6331.471473, 6.731785, 503.675572, 8.459267, 503.675572, 8.459267, 0.000000, 0.000000, 112930.838779, 7.994239, 2.942864, 20494.476322, 18979.889084
23, 25.898230, 30.919088, 30.520848, 16799.363848, 6.921753, 6587.344711, 7.198059, 553.525304, 8.547818, 553.525304, 8.547818, 0.000000, 0.000000, 104478.914141, 7.987943, 2.945444, 18936.567797, 18892.937679
24, 26.712741, 26.295016, 31.522289, 17202.607418, 6.691571, 6572.794265, 7.472768, 577.738413, 8.630887, 577.738413, 8.630887, 0.000000, 0.000000, 105226.630101, 8.146010, 2.938018, 19037.128696, 19163.468575
25, 25.742195, 26.474163, 32.419743, 17373.220640, 6.488859, 6455.322892, 7.188316, 571.061697, 8.760712, 571.061697, 8.760712, 0.000000, 0.000000, 104716.890672, 8.407168, 3.067924, 18930.157579, 19378.800223
26, 26.443395, 29.794999, 31.430785, 17242.142241, 6.935992, 6996.013002, 7.415642, 644.130028, 8.725710, 644.130028, 8.725710, 0.000000, 0.000000, 93176.017134, 8.454026, 3.066687, 16884.451929, 19176.238769
27, 26.533652, 32.229847, 30.681833, 17342.517888, 5.986023, 5518.264022, 7.147402, 382.105929, 7.971906, 382.105929, 7.971906, 0.000000, 0.000000, 135104.741040, 7.850387, 2.804619, 24415.475932, 19753.553250
28, 26.030179, 30.346172, 31.405195, 16698.346942, 6.819778, 6715.868751, 7.290753, 622.639123, 8.732648, 622.639123, 8.732648, 0.000000, 0.000000, 107130.062404, 8.060686, 2.910804, 19388.081548, 18669.114466
29, 25.821456, 31.096271, 31.131113, 16992.679714, 6.433128, 6076.445712, 6.986184, 478.208929, 8.423904, 478.208929, 8.423904, 0.000000, 0.000000, 120776.152649, 7.968559, 2.885253, 21837.004297, 19205.322660
30, 25.508093, 38.262062, 30.256732, 16374.635265, 7.446498, 7083.383045, 7.115784, 650.268209, 8.912191, 650.268209, 8.912191, 0.000000, 0.000000, 95912.543118, 8.012868, 2.952921, 17473.892838, 18356.173455
31, 25.395985, 31.488938, 30.373595, 16886.820008, 6.555356, 6144.892864, 6.903646, 439.705659, 8.356491, 439.705659, 8.356491, 0.000000, 0.000000, 121399.432131, 7.880989, 2.875654, 21965.003122, 19222.716473
32, 27.226139, 22.814750, 32.042412, 16635.949832, 6.893959, 6816.419914, 7.636876, 665.831109, 9.027310, 665.831109, 9.027310, 0.000000, 0.000000, 98919.979101, 8.219488, 2.948972, 17901.000558, 18430.504997
33, 26.273215, 31.141912, 30.960635, 16829.784340, 6.205386, 5658.740156, 7.086980, 449.958166, 8.161938, 449.958166, 8.161938, 0.000000, 0.000000, 127899.796486, 7.888886, 2.832675, 23117.263301, 19111.498752
34, 26.823333, 28.727626, 31.499666, 17230.069310, 6.651511, 6389.911275, 7.532102, 589.563533, 8.573537, 589.563533, 8.573537, 0.000000, 0.000000, 104356.988327, 8.187032, 2.952615, 18878.856995, 19201.564008
35, 26.218143, 29.327704, 30.837638, 17117.530297, 6.392910, 6138.039116, 7.115389, 499.566091, 8.261297, 499.566091, 8.261297, 0.000000, 0.000000, 115773.050401, 8.076741, 2.923438, 20936.067915, 19358.447280
36, 25.700241, 36.256775, 30.608467, 17017.147064, 5.991878, 5574.945326, 6.645048, 396.772195, 7.983029, 396.772195, 7.983029, 0.000000, 0.000000, 142734.181605, 7.657863, 2.714991, 25793.240352, 19394.903366
37, 26.101530, 27.253991, 31.183934, 16816.177990, 6.764995, 6643.173829, 7.151088, 561.228573, 8.626512, 561.228573, 8.626512, 0.000000, 0.000000, 108715.462697, 8.013659, 2.889317, 19674.487560, 18814.031663
38, 26.396956, 32.835985, 31.645267, 17087.804878, 7.185968, 7460.748988, 7.448885, 773.426892, 8.885373, 773.426892, 8.885373, 0.000000, 0.000000, 86370.511737, 8.226643, 2.972072, 15666.133205, 18728.517128
39, 26.297551, 28.783527, 31.601471, 17220.543859, 6.259435, 5927.349030, 7.040015, 453.192041, 8.397121, 453.192041, 8.397121, 0.000000, 0.000000, 119476.937716, 8.256059, 2.955125, 21595.236932, 19469.611633
40, 26.501660, 31.715472, 30.981493, 17645.665084, 6.802012, 6896.441778, 7.511957, 612.470349, 8.434412, 612.470349, 8.434412, 0.000000, 0.000000, 100123.293952, 7.995737, 2.880139, 18130.408788, 19503.687129
41, 25.444858, 33.773669, 30.282204, 17279.274930, 6.207064, 5864.977966, 6.800771, 428.231942, 8.009993, 428.231942, 8.009993, 0.000000, 0.000000, 127396.397096, 7.886035, 2.855326, 23032.608468, 19713.200986
42, 26.520259, 27.657566, 31.929608, 17558.927885, 6.561251, 6498.344943, 7.368070, 551.739237, 8.654593, 551.739237, 8.654593, 0.000000, 0.000000, 106475.000961, 8.252545, 2.954350, 19253.451020, 19514.275048
43, 26.619627, 30.386005, 31.124072, 17313.933057, 6.356612, 5960.660595, 7.296356, 469.276745, 8.328385, 469.276745, 8.328385, 0.000000, 0.000000, 117172.760236, 8.143704, 2.934843, 21185.208403, 19558.331752
44, 25.551886, 38.518125, 31.057288, 16577.216466, 7.764788, 7731.241053, 7.331361, 793.968314, 9.187598, 793.968314, 9.187598, 0.000000, 0.000000, 79372.547127, 8.249866, 3.021682, 14513.821850, 18212.674984
45, 25.141584, 32.821814, 30.637503, 17093.639542, 6.732475, 6622.009298, 6.841642, 522.873376, 8.432309, 522.873376, 8.432309, 0.000000, 0.000000, 113407.640417, 7.886587, 2.870319, 20528.840257, 19223.066572
46, 26.499125, 29.253771, 31.533075, 17571.506217, 6.586752, 6533.553694, 7.351070, 524.668622, 8.524137, 524.668622, 8.524137, 0.000000, 0.000000, 104580.376419, 8.326009, 3.025056, 18917.706103, 19649.351983
47, 25.871483, 31.479017, 31.219585, 17391.591432, 6.570407, 6408.043133, 7.065728, 525.703367, 8.427602, 525.703367, 8.427602, 0.000000, 0.000000, 111392.946906, 8.115002, 2.934827, 20149.039894, 19505.111480
48, 26.785667, 29.667581, 31.446681, 17285.564907, 6.425696, 6160.110033, 7.329094, 506.794324, 8.433704, 506.794324, 8.433704, 0.000000, 0.000000, 113753.117232, 8.109253, 2.898426, 20566.502137, 19356.653193
49, 25.933980, 36.808819, 30.839809, 17114.681946, 6.783224, 6985.866487, 7.148456, 658.682910, 8.388815, 658.682910, 8.388815, 0.000000, 0.000000, 104047.764763, 7.811279, 2.813564, 18836.144888, 18957.250792
50, 26.747769, 34.856453, 30.964527, 16428.638795, 5.772341, 4832.723811, 7.062910, 302.220727, 8.003257, 302.220727, 8.003257, 0.000000, 0.000000, 148862.038268, 7.855126, 2.787295, 26896.280779, 18998.255023
51, 26.741142, 26.871368, 31.243502, 17133.319086, 6.669868, 6492.400724, 7.438804, 577.592426, 8.479949, 577.592426, 8.479949, 0.000000, 0.000000, 104846.459357, 8.057001, 2.927180, 18970.068525, 19102.402526
52, 25.904655, 25.636308, 32.744557, 16466.397359, 6.201767, 5377.328868, 7.094035, 375.204087, 8.946794, 375.204087, 8.946794, 0.000000, 0.000000, 129090.406148, 8.304481, 2.971103, 23325.474823, 18725.911445
53, 26.934879, 28.536674, 31.240942, 16719.199535, 6.402514, 5905.605373, 7.431074, 510.260781, 8.454694, 510.260781, 8.454694, 0.000000, 0.000000, 117943.034502, 8.001546, 2.911195, 21322.976367, 18902.857521
54, 25.732812, 32.233292, 30.478049, 16957.107501, 6.749751, 6393.227965, 7.037567, 536.579319, 8.430451, 536.579319, 8.430451, 0.000000, 0.000000, 112885.755733, 7.883726, 2.868896, 20439.044874, 19102.521288
55, 26.017564, 34.336773, 30.640026, 16755.205913, 7.128113, 6824.395371, 7.288670, 633.613185, 8.721055, 633.613185, 8.721055, 0.000000, 0.000000, 97331.050521, 8.025291, 2.955215, 17665.367902, 18705.628622
56, 26.033710, 39.969115, 30.311758, 15127.139481, 5.434913, 4104.408293, 6.635343, 198.015084, 7.524973, 198.015084, 7.524973, 0.000000, 0.000000, 171628.027844, 7.902071, 2.798361, 31007.474764, 18291.393433
57, 25.076850, 32.438201, 30.266423, 16639.132094, 5.897938, 5289.821314, 6.602089, 334.108755, 7.874325, 334.108755, 7.874325, 0.000000, 0.000000, 147460.780781, 7.709773, 2.764858, 26647.027087, 19264.022960
58, 25.748377, 32.081759, 30.811997, 17209.026579, 6.765990, 6527.397593, 7.067130, 533.655250, 8.522601, 533.655250, 8.522601, 0.000000, 0.000000, 110024.010087, 7.998394, 2.883045, 19918.954010, 19280.862975
59, 26.252254, 30.462528, 30.324247, 16744.065713, 6.254096, 5632.094757, 7.069221, 398.740303, 8.159024, 398.740303, 8.159024, 0.000000, 0.000000, 131723.947754, 7.806457, 2.837616, 23814.441457, 19211.707257
60, 26.003165, 29.920770, 30.417155, 17181.593435, 6.444476, 6240.629461, 7.024879, 467.780713, 8.228059, 467.780713, 8.228059, 0.000000, 0.000000, 121309.213075, 7.926588, 2.850771, 21942.763414, 19477.308758
61, 25.538980, 34.311171, 30.522055, 17306.761421, 6.729322, 6664.847453, 6.979955, 553.548728, 8.367387, 553.548728, 8.367387, 0.000000, 0.000000, 111234.594930, 7.871601, 2.835588, 20138.929953, 19366.079946
62, 26.015280, 27.703853, 31.104196, 17381.556974, 6.878664, 6742.907370, 7.298743, 568.200388, 8.606462, 568.200388, 8.606462, 0.000000, 0.000000, 102815.887350, 8.058914, 2.932659, 18620.540536, 19343.053945
63, 25.366988, 30.351961, 30.532110, 17065.622432, 6.363155, 5911.594301, 6.830408, 434.332604, 8.181235, 434.332604, 8.181235, 0.000000, 0.000000, 123570.276807, 8.008235, 2.918475, 22346.229197, 19497.606320
64, 25.801117, 34.532695, 31.149187, 17094.829455, 6.803687, 6721.683146, 7.068526, 626.719685, 8.569878, 626.719685, 8.569878, 0.000000, 0.000000, 102225.692539, 8.167152, 2.952429, 18508.750426, 19075.632701
65, 25.485992, 33.533117, 30.629213, 16432.691953, 6.105187, 5244.268363, 6.772546, 381.837999, 8.134350, 381.837999, 8.134350, 0.000000, 0.000000, 135294.800117, 7.936623, 2.863752, 24452.868589, 18971.761806
66, 26.191002, 29.926446, 31.229548, 17215.614373, 6.623828, 6301.895269, 7.199664, 535.250971, 8.488937, 535.250971, 8.488937, 0.000000, 0.000000, 106637.849507, 8.215751, 2.964237, 19293.834194, 19290.480416
67, 26.322471, 32.880315, 31.052739, 17223.031728, 6.666425, 6331.272456, 7.260010, 567.001440, 8.487456, 567.001440, 8.487456, -0.000001, 0.000000, 106311.830804, 8.132648, 2.938980, 19239.144063, 19276.000257
68, 26.447516, 30.305233, 31.045186, 17277.169304, 6.576013, 6323.043357, 7.229091, 541.798257, 8.433945, 541.798257, 8.433945, 0.000000, 0.000000, 108821.586759, 8.068715, 2.908086, 19686.566827, 19328.648105
69, 25.520285, 36.295026, 30.800852, 16914.655129, 6.788781, 6534.319755, 7.019302, 588.218065, 8.497075, 588.218065, 8.497075, 0.000000, 0.000000, 103040.086294, 8.177993, 2.985720, 18662.184853, 19011.345466
70, 25.639407, 31.663180, 30.603063, 16856.191185, 6.454214, 5898.793576, 6.929409, 476.617537, 8.311646, 476.617537, 8.311646, 0.000000, 0.000000, 117034.432339, 8.233102, 2.975261, 21171.982813, 19269.931747
71, 26.526011, 29.691556, 31.394188, 17354.667743, 6.535636, 6139.648310, 7.368040, 510.462038, 8.480832, 510.462038, 8.480832, 0.000000, 0.000000, 109499.114763, 8.185211, 2.933848, 19803.821643, 19414.597384
72, 25.810477, 37.666697, 30.807959, 16491.033322, 7.398918, 7139.170460, 7.244834, 712.482357, 8.922197, 712.482357, 8.922197, 0.000000, 0.000000, 89763.059112, 8.209854, 2.995445, 16335.381307, 18337.681793
73, 24.764610, 52.604870, 29.671701, 16519.304720, 7.727459, 7109.748399, 6.772163, 672.337411, 8.846088, 672.337411, 8.846088, 0.000000, 0.000000, 91522.273483, 7.782480, 2.873483, 16774.378590, 18373.216104
74, 25.850472, 32.104472, 30.700353, 16938.515691, 6.795512, 6490.011669, 7.116815, 546.954108, 8.563872, 546.954108, 8.563872, 0.000000, 0.000000, 106300.491587, 8.157189, 2.950588, 19253.979075, 19071.143798
75, 25.849757, 33.276932, 30.826854, 17126.212634, 6.721602, 6363.922432, 7.137804, 537.101895, 8.463241, 537.101895, 8.463241, 0.000000, 0.000000, 107193.170032, 8.048001, 2.913021, 19404.678405, 19187.759593
76, 25.950450, 34.376656, 30.740238, 16541.829988, 7.024764, 6772.448749, 7.155013, 640.634747, 8.685744, 640.634747, 8.685744, 0.000000, 0.000000, 99595.669390, 8.152496, 2.977579, 18062.261103, 18567.144454
77, 25.747333, 39.139259, 30.440617, 16424.444198, 7.275152, 7054.057939, 7.122157, 668.622139, 8.741815, 668.622139, 8.741815, 0.000000, 0.000000, 95231.421092, 7.957042, 2.915106, 17310.019399, 18307.046736
78, 25.885549, 33.091740, 31.338939, 17063.482901, 6.973048, 7080.864658, 7.125568, 690.743424, 8.750995, 690.743424, 8.750995, 0.000000, 0.000000, 94971.731531, 8.132584, 2.960079, 17206.316356, 18880.540744
79, 26.166513, 38.323955, 30.841188, 16982.202288, 7.248957, 7164.127306, 7.253286, 700.814601, 8.701504, 700.814601, 8.701504, 0.000000, 0.000000, 91974.899035, 7.842835, 2.839201, 16700.221000, 18644.207637
80, 26.844402, 29.087353, 31.676831, 16605.009032, 6.242851, 5548.513703, 7.312057, 465.482683, 8.500341, 465.482683, 8.500341, 0.000000, 0.000000, 120910.536755, 8.311501, 2.975295, 21853.266105, 18907.900467
81, 25.614030, 35.518126, 31.029015, 17098.127433, 6.444667, 6264.814356, 7.017663, 558.251578, 8.269463, 558.251578, 8.269463, 0.000000, 0.000000, 116585.828131, 7.841427, 2.824025, 21080.441828, 19148.457549
