channel_num, sp_gap, chisqr/ndf, gauss1 mean, gauss1 ampl, gauss1 sigma, gauss2 ampl, gauss2 sigma, gauss3 ampl, gauss3 sigma, gauss4 ampl, gauss4 sigma, gauss5 ampl, gauss5 sigma, landau ampl, landau mpv, landau sigma, actual peak1 height, actual peak2 height
0, 28.464547, 7.119202, 32.820678, 4922.977890, 6.686920, 1962.076038, 8.037012, 224.299083, 8.978078, 224.299083, 8.978078, 0.000000, 0.000000, 28422.781751, 7.885322, 2.815236, 5138.045179, 5358.150903
1, 27.564252, 9.318638, 32.446906, 4927.865724, 6.520407, 1882.387133, 7.711475, 201.422698, 8.829872, 201.422698, 8.829872, 0.000000, 0.000000, 29665.049537, 7.934319, 2.877838, 5362.054999, 5415.358413
2, 27.738816, 7.957291, 32.479045, 4553.891512, 7.449657, 2246.236976, 8.272166, 299.330960, 9.441968, 299.330960, 9.441968, 0.000000, 0.000000, 21133.176946, 8.333120, 3.057859, 3835.650997, 4957.576798
3, 27.358983, 9.042805, 32.556780, 4322.238365, 8.032330, 2396.693306, 8.189368, 350.690768, 9.902500, 350.690768, 9.902500, 0.000000, 0.000000, 17627.487467, 8.465964, 3.109886, 3222.260538, 4672.585120
4, 27.932195, 10.467030, 31.902195, 4927.818100, 6.249102, 1778.982735, 7.626852, 175.930596, 8.319398, 175.930596, 8.319398, 0.000000, 0.000000, 33609.220235, 7.928168, 2.839521, 6073.815124, 5488.450939
5, 27.507603, 8.970886, 31.877990, 4857.708064, 6.581988, 1940.208255, 7.707140, 194.439100, 8.584637, 194.439100, 8.584637, 0.000000, 0.000000, 29872.510127, 7.957912, 2.900140, 5401.236093, 5378.961256
6, 28.056306, 9.004171, 32.238794, 4537.564043, 7.532646, 2276.740944, 8.404082, 298.601825, 9.341447, 298.601825, 9.341447, 0.000000, 0.000000, 19947.199663, 8.451429, 3.127400, 3626.939944, 4945.403912
7, 27.391436, 10.532357, 31.608520, 4660.434905, 7.442881, 2260.833280, 8.005760, 282.148427, 9.029186, 282.148427, 9.029186, 0.000000, 0.000000, 22242.784152, 8.130450, 2.949746, 4042.838913, 5077.979242
8, 28.765960, 7.890728, 33.226892, 4914.359849, 6.787571, 2096.190707, 8.363662, 246.500369, 9.160875, 246.500369, 9.160875, 0.000000, 0.000000, 24399.272245, 8.291035, 3.015062, 4411.865441, 5339.520747
9, 27.175372, 11.156505, 31.923068, 4814.663829, 7.133793, 2168.944757, 7.770513, 266.466753, 8.855636, 266.466753, 8.855636, 0.000000, 0.000000, 24137.381045, 8.003367, 2.946446, 4373.388834, 5249.691150
10, 28.680508, 7.188532, 32.868502, 4800.217303, 6.863135, 1991.883928, 8.316878, 225.052229, 9.088207, 225.052229, 9.088207, 0.000000, 0.000000, 26054.626753, 8.276254, 3.005511, 4712.420691, 5262.972059
11, 28.679374, 6.797438, 33.024775, 4825.312292, 6.992942, 2080.861423, 8.368601, 239.015714, 9.241895, 239.015714, 9.241895, 0.000000, 0.000000, 23910.648897, 8.280138, 3.028403, 4326.142677, 5251.721649
12, 28.211874, 7.409178, 33.082483, 4579.716958, 7.225201, 2158.718209, 8.416026, 279.430449, 9.667695, 279.430449, 9.667695, 0.000000, 0.000000, 22404.459565, 8.514388, 3.137823, 4057.680455, 5013.255250
13, 28.634083, 6.355769, 32.711621, 4859.842334, 6.852238, 2018.678750, 8.414931, 227.009193, 9.011139, 227.009193, 9.011139, 0.000000, 0.000000, 25996.622453, 8.151262, 2.978398, 4702.003726, 5315.951254
14, 27.844463, 8.403882, 32.721383, 4409.347469, 7.625658, 2253.307547, 8.457642, 305.869726, 9.767390, 305.869726, 9.767390, 0.000000, 0.000000, 20246.173517, 8.606261, 3.193570, 3679.892898, 4829.814025
15, 27.806792, 6.914412, 32.586009, 4750.910284, 6.969411, 2019.767685, 8.073764, 232.402494, 9.173874, 232.402494, 9.173874, 0.000000, 0.000000, 26145.324313, 8.197459, 3.018156, 4730.729279, 5226.287072
16, 28.307034, 7.842505, 32.941381, 4776.590261, 6.891025, 2031.192891, 8.391297, 250.831485, 9.197920, 250.831485, 9.197920, 0.000000, 0.000000, 24225.901454, 8.442211, 3.049896, 4382.597641, 5222.909830
17, 27.509839, 9.794040, 32.196489, 4774.488351, 6.954723, 2105.867472, 7.745174, 261.445786, 8.812220, 261.445786, 8.812220, 0.000000, 0.000000, 26128.990686, 7.862118, 2.852197, 4727.961952, 5203.725147
