 DBN,frequency,Block type,Status,BNL shipment,Shipped on,Comment,Prototype,Fiber type,Fiber batch,Filling time (h),FF date,Filled by,Checked by,W powder,W bucket number,Mold number,Empty mold (g),Filled mold (g),W filling mass (g),fibers loaded by,W filling date,W filled by,Epoxy batch,Resin mass (g),Hardener mass (g),potting notes,Epoxy filling time (min),Epoxy filling date,Epoxy preparer,Delta Mach-Pot,Machining or potting date,Machined by,L (in),BT (in),BB (in),BH (in),ST (in),SB (in),SH (in),Volume (mL),Measured by,Mass (g),Measured by,Density (g/ml),Tested on,# Fibers N,Good end,ABS N-W (%),LT,10-15(%),15-50(%),50-75(%),r75 (%),R,Tower 1,Tower 2,Tower 3,Tower 4, missing row?,13 connected holes?,FOM_N,FOM_I,Tested by,Tested on,Scintillation (mV),Calibration (mV),Scintillation ratio,Tested by,Tested on,Natural Pictures,Tested by,Retouch,Density Result Checked?,Light Checked?,Natural Pictures checked?,Sector ID (SSCR),LT M/D/YYYY,Days Mach-LT,Scint M/D/YYYY,Final Block Grade,Dens grade,Dim grade,LT grade,Tower grade,Vi,Scint grade,Pic,X,LT-all,DBN,S-left,S-right,column,row,relative W weight,Δ(L) [mm],Δ(BT) [mm],Δ(BB) [mm],Δ(BH) [mm],Δ(ST) [mm],Δ(SB) [mm],Δ(SH) [mm]
F19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F19,,,,,,,,,,,,
F20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F20,,,,,,,,,,,,
F21,,22,,,11/28/2020,,,P-SG,,,,,,TJZX,,,,,,,,,,,,,,8/9/2020,,,8/9/2020,,,,,,,,,,,0,,9.42,,2664,,,99.85,,,,,,102.55,104.05,95.65,97.3,,,,,,,,,0.870,,,,,,,,,16C22,,,,5b,5aa,5a,5aa,5b,,5aa,,,,F21,1,6,C,22,,0.07,-0.02,0.31,0.02,-0.13,0.12,0.04
F22,,19,,,11/28/2020,,,P-SG,,,,,,HS,,,,,,,,,,,,,,10/20/2020,,,10/20/2020,,,,,,,,,,,0,,9.94,,2649,,,99.29,,,,,,99.85,98.2,99.55,99.4,,,,,,,,,0.920,,,,,,,,,19D19,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F22,1,9,D,19,,0.08,-0.04,0.22,-0.06,-0.02,0.19,-0.07
F23,,19,,,11/28/2020,,,P-SG,,,,,,HS,,,,,,,,,,,,,,8/9/2020,,,8/9/2020,,,,,,,,,,,0,,10.01,,2667,,,99.96,,,,,,99.55,101.2,99.25,98.95,,,,,,,,,0.850,,,,,,,,,16A19,,,,5a,5a,5a,5aa,5aa,,5aa,,,,F23,1,6,A,19,,0.05,-0.11,0.26,0.12,-0.12,0.43,-0.05
F24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F24,,,,,,,,,,,,
F25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F25,,,,,,,,,,,,
F26,,21,,,11/28/2020,,,P-SG,,,,,,TJZX,,,,,,,,,,,,,,8/9/2020,,,8/9/2020,,,,,,,,,,,0,,9.71,,2641,,,98.99,,,,,,99.4,97.75,101.2,97.15,,,,,,,,,0.830,,,,,,,,,16A21,,,,5a,5aa,5a,5a,5aa,,5aa,,,,F26,1,6,A,21,,0.07,-0.22,0.29,0.03,-0.11,0.36,0.06
F27,,21,,,11/28/2020,,,P-SG,,,,,,TJZX,,,,,,,,,,,,,,8/9/2020,,,8/9/2020,,,,,,,,,,,0,,9.42,,2662,,,99.78,,,,,,98.35,101.95,98.2,100.3,,,,,,,,,0.880,,,,,,,,,17A21,,,,5a,5aa,5a,5aa,5aa,,5aa,,,,F27,1,7,A,21,,0.05,0.06,0.31,0.09,-0.02,0.2,0.18
F28,,22,,,11/28/2020,,,P-SG,,,,,,HS,,,,,,,,,,,,,,8/9/2020,,,8/9/2020,,,,,,,,,,,0,,9.77,,2662,,,99.78,,,,,,103,101.65,96.55,97.3,,,,,,,,,0.860,,,,,,,,,14A22,,,,5a,5aa,5a,5aa,5a,,5aa,,,,F28,1,4,A,22,,0.14,0.05,0.27,-0.09,-0.01,0.23,0.11
F29,,24,,,11/28/2020,,,P-SG,,,,,,TJZX,,,,,,,,,,,,,,8/9/2020,,,8/9/2020,,,,,,,,,,,0,,9.56,,2668,,,100.00,,,,,,99.85,100.6,98.65,100.75,,,,,,,,,0.840,,,,,,,,,16B24,,,,5a,5aa,5a,5aa,5aa,,5aa,,,,F29,1,6,B,24,,0.02,0,0.26,0.05,0.08,0.32,0.17
F30,1,22,fudan,,9/1/2020,UIUC tested; chipped corner,Sector 1-12,SG,,,,,,TJZX,,,,,,,,,,,,,,8/9/2020,,,8/9/2020,,,,,,,,,,AW,0,AW,9.40,20200930,2668,,,100.00,,,,,,100.75,99.4,101.5,98.95,,,,,,,,,1.346,,,,,,,,,13A22,,,,5a,5aa,5a,5aa,5aa,,5aa,FALSE,FALSE,5a,F30,1,3,A,22,,0.05,0.18,0.14,0.04,0.08,0.29,0.18
F31,,19,,,11/28/2020,,,I-K,,,,,,TJZX,,,,,,,,,,,,,,8/1/2020,,,8/1/2020,,,,,,,,,,,0,,9.33,,2667,,,99.96,,,,,,100.75,98.8,100.6,99.85,,,,,,,,,1.050,,,,,,,,,15D19,,,,5a,5aa,5a,5aa,5aa,,5aa,,,,F31,1,5,D,19,,0.04,-0.32,0.23,0.06,-0.18,0.32,-0.06
F32,,20,,,11/28/2020,,,I-K,,,,,,TJZX,,,,,,,,,,,,,,10/20/2020,,,10/20/2020,,,,,,,,,,,0,,9.54,,2665,,,99.89,,,,,,100.3,99.4,99.85,100.15,,,,,,,,,1.130,,,,,,,,,17A20,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F32,1,7,A,20,,-0.04,0.01,0.19,-0.03,-0.08,-0.09,0.02
F33,1,19,fudan,,9/1/2020,UIUC tested; chipped corner,Sector 1-12,K,,,,,,HS,,,,,,,,,,,,,,8/20/2020,,,8/20/2020,,,,,,,,,,AW,0,AW,9.76,20200930,2663,,,99.81,,,,,,101.05,99.7,99.85,98.65,,,,,,,,,1.281,,,,,,,,,,,,,5aa,5aa,5aa,5aa,5aa,,,FALSE,FALSE,5a,F33,,,,,,-0.03,-0.13,0.07,-0.1,-0.03,0.13,-0.11
F34,,22,,,11/28/2020,,,PSG+IK+K,,,,,,TJZX,,,,,,,,,,,,,,8/12/2020,,,8/12/2020,,,,,,,,,,,0,,9.47,,2657,,,99.59,,,,,,96.1,103.15,98.05,103.3,,,,,,,,,0.850,,,,,,,,,16B22,,,,5a,5aa,5a,5aa,5a,,5aa,,,,F34,1,6,B,22,,0,0.02,0.19,0.36,0.07,0.36,0.25
F35,5,22,fudan,,11/28/2020,UIUC tested,Sector 1-12,I-K,,,,,,TJZX,,,,,,,,,,,,,,8/9/2020,,,8/9/2020,,,,,,,,,,AW,0,AW,9.80,20210122,2665,,,99.89,,,,,,98.8,100.45,100,100.15,,,,,,,,,1.137,,,,,,,,,,,,,fail,5aa,fail,5aa,5aa,,5aa,FALSE,FALSE,5a,F35,,,,,,0.07,-0.2,0.71,-0.11,-0.25,0.41,0.04
