 DBN,frequency,Block type,Status,BNL shipment,Shipped on,Comment,Prototype,Fiber type,Fiber batch,Filling time (h),FF date,Filled by,Checked by,W powder,W bucket number,Mold number,Empty mold (g),Filled mold (g),W filling mass (g),fibers loaded by,W filling date,W filled by,Epoxy batch,Resin mass (g),Hardener mass (g),potting notes,Epoxy filling time (min),Epoxy filling date,Epoxy preparer,Delta Mach-Pot,Machining or potting date,Machined by,L (in),BT (in),BB (in),BH (in),ST (in),SB (in),SH (in),Volume (mL),Measured by,Mass (g),Measured by,Density (g/ml),Tested on,# Fibers N,Good end,ABS N-W (%),LT,10-15(%),15-50(%),50-75(%),r75 (%),R,Tower 1,Tower 2,Tower 3,Tower 4, missing row?,13 connected holes?,FOM_N,FOM_I,Tested by,Tested on,Scintillation (mV),Calibration (mV),Scintillation ratio,Tested by,Tested on,Natural Pictures,Tested by,Retouch,Density Result Checked?,Light Checked?,Natural Pictures checked?,Sector ID (SSCR),LT M/D/YYYY,Days Mach-LT,Scint M/D/YYYY,Final Block Grade,Dens grade,Dim grade,LT grade,Tower grade,Vi,Scint grade,Pic,X,LT-all,DBN,S-left,S-right,column,row,relative W weight,Δ(L) [mm],Δ(BT) [mm],Δ(BB) [mm],Δ(BH) [mm],Δ(ST) [mm],Δ(SB) [mm],Δ(SH) [mm]
F221,,21,,,4/16/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.57,,2666,,,99.93,,,,,,99.85,99.85,100,100,,,,,,,,,1.220,,,,,,,,,28A21,,,,5a,5aa,5a,5aa,5aa,,5aa,,,,F221,2,8,A,21,,-0.12,-0.39,0.04,-0.26,-0.03,0.4,-0.16
F222,,21,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.67,,2665,,,99.89,,,,,,101.5,98.2,101.65,98.65,,,,,,,,,1.130,,,,,,,,,19B21,,,,5a,5aa,5a,5aa,5aa,,5aa,,,,F222,1,9,B,21,,0.1,-0.25,0.35,0.08,-0.12,0.38,-0.19
F223,,21,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.56,,2665,,,99.89,,,,,,100.3,99.55,99.7,100,,,,,,,,,1.120,,,,,,,,,19A21,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F223,1,9,A,21,,0.08,-0.11,0.11,0.02,-0.23,0.01,0.1
F224,,21,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.56,,2668,,,100.00,,,,,,100,100,100,100,,,,,,,,,1.150,,,,,,,,,20A21,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F224,2,0,A,21,,0.07,-0.14,0.11,-0.07,-0.18,0.09,0.17
F225,,21,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.40,,2667,,,99.96,,,,,,99.55,98.2,100.15,101.95,,,,,,,,,1.170,,,,,,,,,21D21,,,,5a,5aa,5a,5aa,5aa,,5aa,,,,F225,2,1,D,21,,-0.01,-0.41,-0.13,0.16,-0.23,0.05,-0.19
F226,,21,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.58,,2667,,,99.96,,,,,,100.9,98.95,100.9,98.95,,,,,,,,,1.200,,,,,,,,,20B21,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F226,2,0,B,21,,0.07,-0.1,0.02,0.09,-0.19,0.06,-0.08
F227,,21,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.65,,2666,,,99.93,,,,,,100.9,98.65,101.5,98.5,,,,,,,,,1.130,,,,,,,,,21C21,,,,5a,5aa,5a,5aa,5aa,,5aa,,,,F227,2,1,C,21,,-0.03,-0.29,0.08,-0.03,-0.09,0.18,-0.05
F228,,21,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.71,,2666,,,99.93,,,,,,99.85,100.15,99.4,100.6,,,,,,,,,1.150,,,,,,,,,20C21,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F228,2,0,C,21,,0.09,-0.01,0.2,0,-0.19,0.06,0.22
F229,,21,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.53,,2668,,,100.00,,,,,,100.75,98.65,101.05,98.95,,,,,,,,,1.210,,,,,,,,,21B21,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F229,2,1,B,21,,0.1,-0.09,0.16,-0.07,-0.2,0.13,-0.02
F230,,21,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.65,,2664,,,99.85,,,,,,100.45,99.4,100.9,98.65,,,,,,,,,1.250,,,,,,,,,21A21,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F230,2,1,A,21,,0.12,-0.02,0.24,-0.03,-0.23,0.05,-0.07
F231,,22,,,3/26/2021,,,K,,,,,,HS,,,,,,,,,,,,,,3/22/2021,,,3/22/2021,,,,,,,,,,,0,,9.56,,2667,,,99.96,,,,,,98.95,98.8,100.75,101.2,,,,,,,,,1.120,,,,,,,,,24B22,,,,5a,5aa,5a,5aa,5aa,,5aa,,,,F231,2,4,B,22,,0.07,-0.09,0.29,0.01,-0.18,0.06,-0.06
F232,,22,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.80,,2667,,,99.96,,,,,,98.35,97.75,101.95,101.65,,,,,,,,,1.190,,,,,,,,,20C22,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F232,2,0,C,22,,-0.12,-0.17,-0.04,0,-0.06,0,-0.03
F233,,22,,,3/26/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.88,,2658,,,99.63,,,,,,98.65,99.4,99.7,100.75,,,,,,,,,1.120,,,,,,,,,25D22,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F233,2,5,D,22,,0.08,-0.19,0.1,0.16,-0.14,0.14,0.2
F234,,22,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.52,,2665,,,99.89,,,,,,100,99.4,100,99.85,,,,,,,,,1.110,,,,,,,,,20D22,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F234,2,0,D,22,,0.07,-0.2,0.15,0,-0.14,0.11,0.16
F235,,22,,,3/26/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.87,,2659,,,99.66,,,,,,97.3,97.75,101.5,102.25,,,,,,,,,1.130,,,,,,,,,22B22,,,,5a,5aa,5a,5aa,5aa,,5aa,,,,F235,2,2,B,22,,-0.01,-0.32,0.15,0.03,-0.3,0.28,0.01
F236,,22,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.61,,2658,,,99.63,,,,,,98.65,98.95,99.7,101.05,,,,,,,,,1.150,,,,,,,,,21B22,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F236,2,1,B,22,,0.09,-0.08,0.13,0,-0.03,0.18,0.25
F237,,22,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.79,,2665,,,99.89,,,,,,99.7,99.85,100.3,99.55,,,,,,,,,1.100,,,,,,,,,21A22,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F237,2,1,A,22,,-0.01,-0.03,0.11,0.16,0.16,0.25,0.13
F238,,22,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.63,,2666,,,99.93,,,,,,100.6,99.85,99.55,99.7,,,,,,,,,1.170,,,,,,,,,23D22,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F238,2,3,D,22,,0.07,-0.15,0.06,0.04,-0.17,0.09,0.16
F239,,22,,,3/26/2021,,,K,,,,,,HS,,,,,,,,,,,,,,3/22/2021,,,3/22/2021,,,,,,,,,,,0,,9.67,,2663,,,99.81,,,,,,99.7,99.7,100,99.85,,,,,,,,,1.030,,,,,,,,,22C22,,,,5a,5aa,5a,5aa,5aa,,5aa,,,,F239,2,2,C,22,,0.12,-0.34,0.11,0.03,-0.23,0.11,-0.05
F240,,22,,,3/26/2021,,,K,,,,,,HS,,,,,,,,,,,,,,3/22/2021,,,3/22/2021,,,,,,,,,,,0,,9.70,,2668,,,100.00,,,,,,97.9,97.75,102.1,98.65,,,,,,,,,1.040,,,,,,,,,25C22,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F240,2,5,C,22,,0.08,-0.23,0.06,-0.06,-0.17,-0.03,-0.16
F241,,23,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.78,,2668,,,100.00,,,,,,100,99.85,100,100,,,,,,,,,1.140,,,,,,,,,20B23,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F241,2,0,B,23,,0.09,-0.08,0.16,0.05,-0.22,0.05,0.21
F242,,23,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.70,,2667,,,99.96,,,,,,100,100,100.15,99.55,,,,,,,,,1.080,,,,,,,,,20C23,,,,5a,5aa,5a,5aa,5aa,,5aa,,,,F242,2,0,C,23,,-0.01,-0.12,0.12,-0.11,-0.21,0.05,0.27
F243,,23,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.65,,2668,,,100.00,,,,,,99.85,97.75,102.25,100.3,,,,,,,,,1.050,,,,,,,,,18D23,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F243,1,8,D,23,,0.13,-0.04,0.21,0.09,-0.2,0.06,0
F244,,23,,,3/26/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.71,,2665,,,99.89,,,,,,99.7,100.45,100,99.25,,,,,,,,,1.100,,,,,,,,,24D23,,,,5a,5aa,5a,5aa,5aa,,5aa,,,,F244,2,4,D,23,,0.12,-0.25,0.03,-0.05,-0.15,0.16,0.29
F245,,23,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.65,,2655,,,99.51,,,,,,97.9,98.35,100.6,101.35,,,,,,,,,1.050,,,,,,,,,21C23,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F245,2,1,C,23,,0.08,-0.12,0.1,0.19,-0.17,0.06,-0.02
F246,,23,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.60,,2668,,,100.00,,,,,,98.2,97.3,147.38,101.8,,,,,,,,,0.930,,,,,,,,,19A23,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F246,1,9,A,23,,-0.03,-0.14,0.09,0.02,-0.18,0.04,0.12
F247,,23,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.66,,2668,,,100.00,,,,,,99.4,96.85,102.1,101.65,,,,,,,,,1.070,,,,,,,,,23C23,,,,5a,5aa,5a,5aa,5a,,5aa,,,,F247,2,3,C,23,,-0.12,-0.13,0.1,0.1,-0.24,-0.02,0.26
F248,,23,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.60,,2657,,,99.59,,,,,,99.4,99.85,99.1,99.85,,,,,,,,,1.130,,,,,,,,,21B23,,,,5a,5aa,5a,5aa,5aa,,5aa,,,,F248,2,1,B,23,,0.03,0.19,0.33,-0.09,-0.07,0.15,0.25
F249,,23,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.64,,2668,,,100.00,,,,,,100.15,99.85,100.15,99.85,,,,,,,,,1.050,,,,,,,,,20D23,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F249,2,0,D,23,,0.1,0.02,0.23,-0.06,-0.09,0.13,0.22
F250,,23,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.62,,2656,,,99.55,,,,,,99.55,100.45,99.55,98.8,,,,,,,,,1.110,,,,,,,,,21A23,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F250,2,1,A,23,,0.06,-0.12,0.1,-0.01,-0.19,0.05,0.15
F251,,24,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.69,,2666,,,99.93,,,,,,98.2,97.6,101.65,101.8,,,,,,,,,1.130,,,,,,,,,20A24,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F251,2,0,A,24,,0.06,-0.13,0.15,0.14,-0.03,0.23,-0.12
F252,,24,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.54,,2667,,,99.96,,,,,,100,99.7,100.45,99.7,,,,,,,,,1.200,,,,,,,,,19A24,,,,5a,5aa,5a,5aa,5aa,,5aa,,,,F252,1,9,A,24,,-0.09,-0.26,0.03,0.15,-0.09,0.18,0.24
F253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F253,,,,,,,,,,,,
F254,,24,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.61,,2667,,,99.96,,,,,,100.75,100.6,98.8,99.4,,,,,,,,,1.200,,,,,,,,,20B24,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F254,2,0,B,24,,0.11,-0.04,0.17,0.08,-0.06,0.19,0.24
F255,,24,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.71,,2668,,,100.00,,,,,,100.15,100,99.85,100,,,,,,,,,1.000,,,,,,,,,20C24,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F255,2,0,C,24,,-0.07,-0.16,0.13,0.12,-0.1,0.14,-0.1
F256,,24,,,3/26/2021,,,K,,,,,,HS,,,,,,,,,,,,,,3/16/2021,,,3/16/2021,,,,,,,,,,,0,,9.58,,2665,,,99.89,,,,,,101.8,101.95,97.9,97.75,,,,,,,,,1.200,,,,,,,,,23D24,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F256,2,3,D,24,,-0.25,-0.12,0.11,-0.1,-0.24,-0.03,0.03
F257,,24,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.62,,2665,,,99.89,,,,,,98.8,97.9,100.45,101.65,,,,,,,,,1.130,,,,,,,,,21D24,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F257,2,1,D,24,,0.03,0.01,0.19,0.07,-0.1,0.16,-0.05
F258,,24,,,3/26/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.56,,2666,,,99.93,,,,,,98.05,97.6,102.4,101.5,,,,,,,,,1.120,,,,,,,,,25D24,,,,5a,5aa,5a,5aa,5aa,,5aa,,,,F258,2,5,D,24,,0.01,-0.17,0.05,-0.15,-0.31,-0.04,0.22
F259,,24,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.69,,2666,,,99.93,,,,,,99.1,98.2,100.45,100.9,,,,,,,,,1.110,,,,,,,,,21C24,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F259,2,1,C,24,,0.17,-0.21,0.04,0.21,-0.19,0.12,-0.16
F260,,24,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.63,,2666,,,99.93,,,,,,98.05,99.7,101.65,100.6,,,,,,,,,1.100,,,,,,,,,21B24,,,,5a,5aa,5a,5aa,5aa,,5aa,,,,F260,2,1,B,24,,0.08,-0.15,0.13,0.27,-0.13,0.09,0.22
F261,,19,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/24/2020,,,12/24/2020,,,,,,,,,,,0,,9.50,,2668,,,100.00,,,,,,100.15,100.15,100,99.7,,,,,,,,,1.140,,,,,,,,,18D19,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F261,1,8,D,19,,0.1,-0.09,0.16,0.07,-0.12,0.11,0.11
F262,,19,,,3/26/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/24/2020,,,12/24/2020,,,,,,,,,,,0,,9.68,,2667,,,99.96,,,,,,101.2,100.75,99.7,98.5,,,,,,,,,1.060,,,,,,,,,24A19,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F262,2,4,A,19,,0.1,-0.18,0.01,-0.02,-0.09,0.09,0.04
F263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F263,,,,,,,,,,,,
F264,,19,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/24/2020,,,12/24/2020,,,,,,,,,,,0,,9.62,,2667,,,99.96,,,,,,101.5,101.65,98.2,98.5,,,,,,,,,1.200,,,,,,,,,20A19,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F264,2,0,A,19,,0.15,-0.17,0.09,-0.2,-0.07,0.19,0.19
F265,,19,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/24/2020,,,12/24/2020,,,,,,,,,,,0,,9.63,,2664,,,99.85,,,,,,100.3,103,97.9,97.45,,,,,,,,,1.090,,,,,,,,,23C19,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F265,2,3,C,19,,0.2,0,0.24,-0.04,-0.15,0.06,0.11
F266,,19,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/24/2020,,,12/24/2020,,,,,,,,,,,0,,9.62,,2661,,,99.74,,,,,,102.4,101.2,97.75,97,,,,,,,,,1.160,,,,,,,,,18C19,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F266,1,8,C,19,,0.18,-0.11,0.11,0.01,-0.24,0.03,0.04
F267,,19,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/24/2020,,,12/24/2020,,,,,,,,,,,0,,9.61,,2663,,,99.81,,,,,,97.9,101.8,98.2,101.35,,,,,,,,,1.130,,,,,,,,,20B19,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F267,2,0,B,19,,0.13,-0.19,0.15,-0.03,-0.16,0.02,0.04
F268,,19,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/24/2020,,,12/24/2020,,,,,,,,,,,0,,9.69,,2667,,,99.96,,,,,,97.45,97.45,102.25,101.95,,,,,,,,,1.140,,,,,,,,,20C19,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F268,2,0,C,19,,0.08,-0.07,-0.12,0.01,-0.2,0.14,0.02
F269,,19,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/24/2020,,,12/24/2020,,,,,,,,,,,0,,9.72,,2663,,,99.81,,,,,,98.05,97.75,101.05,102.25,,,,,,,,,1.110,,,,,,,,,20D19,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F269,2,0,D,19,,0.09,-0.03,0.22,-0.08,-0.21,0.03,0.04
F270,,19,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/24/2020,,,12/24/2020,,,,,,,,,,,0,,9.70,,2660,,,99.70,,,,,,102.1,101.95,97.15,97.6,,,,,,,,,1.070,,,,,,,,,21A19,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F270,2,1,A,19,,0.11,-0.22,0.16,-0.01,-0.12,0.2,-0.11
F271,,20,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/24/2020,,,12/24/2020,,,,,,,,,,,0,,9.59,,2664,,,99.85,,,,,,100.45,100.3,100.15,98.65,,,,,,,,,1.240,,,,,,,,,19B20,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F271,1,9,B,20,,0.16,-0.24,0.15,0.05,-0.2,0.18,0.01
F272,,20,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/24/2020,,,12/24/2020,,,,,,,,,,,0,,9.55,,2664,,,99.85,,,,,,99.4,99.85,100.6,99.85,,,,,,,,,1.240,,,,,,,,,21C20,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F272,2,1,C,20,,0.14,-0.2,0.21,0.05,-0.08,0.23,0.01
F273,,20,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/24/2020,,,12/24/2020,,,,,,,,,,,0,,9.70,,2666,,,99.93,,,,,,100.3,100.75,99.4,99.1,,,,,,,,,1.210,,,,,,,,,20B20,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F273,2,0,B,20,,0.17,-0.08,0.13,0.06,-0.22,0.13,0.02
F274,,20,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/24/2020,,,12/24/2020,,,,,,,,,,,0,,9.66,,2667,,,99.96,,,,,,100.3,97.45,101.2,100.3,,,,,,,,,1.150,,,,,,,,,18C20,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F274,1,8,C,20,,0.13,-0.12,0.21,0.07,-0.25,0.11,0.11
F275,,20,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/24/2020,,,12/24/2020,,,,,,,,,,,0,,9.61,,2667,,,99.96,,,,,,102.1,101.2,97.9,98.65,,,,,,,,,0.970,,,,,,,,,20C20,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F275,2,0,C,20,,0.2,-0.25,0.05,0.14,-0.21,0.08,-0.03
F276,,20,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/24/2020,,,12/24/2020,,,,,,,,,,,0,,9.69,,2665,,,99.89,,,,,,100,99.55,100.15,99.55,,,,,,,,,1.250,,,,,,,,,22A20,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F276,2,2,A,20,,0.17,-0.08,0.25,0.08,-0.21,0.22,0.07
F277,,20,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/24/2020,,,12/24/2020,,,,,,,,,,,0,,9.71,,2666,,,99.93,,,,,,98.05,97.6,101.95,102.1,,,,,,,,,1.200,,,,,,,,,19A20,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F277,1,9,A,20,,0.15,-0.11,0.23,0.13,-0.19,0.1,0.09
F278,,20,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/24/2020,,,12/24/2020,,,,,,,,,,,0,,9.66,,2668,,,100.00,,,,,,99.25,98.35,100.9,101.65,,,,,,,,,0.940,,,,,,,,,21B20,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F278,2,1,B,20,,0.15,-0.1,0.04,0.15,-0.18,0.1,0.01
F279,,20,,,3/26/2021,,,K,,,,,,HS,,,,,,,,,,,,,,3/16/2021,,,3/16/2021,,,,,,,,,,,0,,9.41,,2668,,,100.00,,,,,,100.9,99.1,100.15,100,,,,,,,,,1.130,,,,,,,,,23C20,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F279,2,3,C,20,,-0.06,-0.15,-0.04,0.08,-0.19,-0.05,0
F280,,20,,,3/26/2021,,,K,,,,,,HS,,,,,,,,,,,,,,3/16/2021,,,3/16/2021,,,,,,,,,,,0,,9.74,,2667,,,99.96,,,,,,97.75,98.35,102.1,101.5,,,,,,,,,1.100,,,,,,,,,26A20,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F280,2,6,A,20,,0.04,-0.2,0.11,-0.01,-0.18,0.03,-0.11
F281,,21,,,3/26/2021,,,K,,,,,,HS,,,,,,,,,,,,,,3/22/2021,,,3/22/2021,,,,,,,,,,,0,,9.68,,2666,,,99.93,,,,,,100.15,99.7,99.85,100,,,,,,,,,1.140,,,,,,,,,25D21,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F281,2,5,D,21,,0.09,-0.12,0.14,-0.05,-0.15,-0.01,0.05
F282,,21,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.45,,2663,,,99.81,,,,,,99.55,100,100,99.55,,,,,,,,,1.090,,,,,,,,,20D21,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F282,2,0,D,21,,0.11,-0.21,0.13,-0.11,-0.22,0.07,-0.16
F283,,21,,,3/26/2021,,,K,,,,,,HS,,,,,,,,,,,,,,3/22/2021,,,3/22/2021,,,,,,,,,,,0,,9.65,,2666,,,99.93,,,,,,99.7,99.85,100.15,100,,,,,,,,,1.080,,,,,,,,,24A21,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F283,2,4,A,21,,0.09,-0.14,0.14,-0.05,-0.16,0.09,-0.01
F284,,21,,,3/26/2021,,,K,,,,,,HS,,,,,,,,,,,,,,3/22/2021,,,3/22/2021,,,,,,,,,,,0,,9.61,,2668,,,100.00,,,,,,100,100,100,100,,,,,,,,,1.040,,,,,,,,,26A21,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F284,2,6,A,21,,0.11,-0.01,0.17,-0.04,-0.22,-0.01,0.01
F285,,21,,,1/15/2021,,,K,,,,,,HS,,,,,,,,,,,,,,12/25/2020,,,12/25/2020,,,,,,,,,,,0,,9.79,,2665,,,99.89,,,,,,99.85,99.7,100,100,,,,,,,,,1.400,,,,,,,,,22A21,,,,5a,5aa,5a,5aa,5aa,,5aa,,,,F285,2,2,A,21,,-0.05,-0.18,0.07,-0.05,-0.28,0.04,-0.07
F286,,21,,,3/26/2021,,,K,,,,,,HS,,,,,,,,,,,,,,3/22/2021,,,3/22/2021,,,,,,,,,,,0,,9.48,,2665,,,99.89,,,,,,97.15,98.05,101.95,102.25,,,,,,,,,1.180,,,,,,,,,22B21,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F286,2,2,B,21,,0.08,-0.03,0.14,-0.11,-0.12,0.06,-0.02
F287,,21,,,3/26/2021,,,K,,,,,,HS,,,,,,,,,,,,,,3/22/2021,,,3/22/2021,,,,,,,,,,,0,,9.52,,2668,,,100.00,,,,,,98.65,100.15,100,100.6,,,,,,,,,0.910,,,,,,,,,25C21,,,,5aa,5aa,5aa,5aa,5aa,,5aa,,,,F287,2,5,C,21,,0.12,-0.18,-0.01,-0.01,-0.13,0.07,-0.04
