 DBN,Don't edit Block occurance,BL,Status,BNL shipment,Shipping date,Comment,Sector,Fiber type,Fiber batch,Filling time (h),FF date,Filled by,Checked by,W powder,W bucket number,Mold number,Empty mold (g),Filled mold (g),W filling mass (g),fibers loaded by,W filling date,W filled by,Epoxy batch,Resin mass (g),Hardener mass (g),potting notes,Epoxy filling time (min),Epoxy filling date,Epoxy preparer,Delta Mach-Pot,Machining date,Machined by,L (in),BT (in),BB (in),BH (in),ST (in),SB (in),SH (in),Volume (mL),Measured by,Mass (g),Measured by,Density(g/mL),Tested on,# Fibers N,Good end,ABS N-W (%),# Fibers / # Holes (%),10-15(%),15-50(%),50-75(%),r75 (%),R,T1(BL) Fiber %,T2(BR) Fiber %,T3(TL) Fiber %,T4(TR) Fiber %, missing row?,13 connected holes?,FOM_N,FOM_I,Tested by,Tested on,Scintillation (mV),Calibration (mV),Ratio (Calibrated Twice),Tested by,Tested on,Natural Pictures,Tested by,Retouch,Density Result Checked?,Light Checked?,Natural Pictures checked?,Sector ID (SSBBR),LT M/D/YYYY,Days Mach-LT,Scint M/D/YYYY,Block Grade,De,Di,LT,LTQ,Vi,Sci,Pic,X,LT-all,DBN,S-left,S-right,column,row,relative W weight,Δ(L) [mm],Δ(BT) [mm],Δ(BB) [mm],Δ(BH) [mm],Δ(ST) [mm],Δ(SB) [mm],Δ(SH) [mm]
2000,1,123,5m,,,,,SG47,21-A,1.00,6/27/2019,Joseph,Mason,HCS,,7D,,,0,SA,,,,,,d40g,,,,0,,,,,,,,,,,,,,,,#NUM!,,,,,,,,,,,,,,,,,,#NUM!,#NUM!,,,,,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,#N/A,8,#N/A,#N/A,#N/A,#N/A,FALSE,FALSE,#N/A,2000,,,,,0,-139.7,-52.959,-52.959,-50.5206,-46.101,-46.101,-50.5206
2001,2,123,7,25,10/26/2020,,13,SG47,21-A,0.50,6/27/2019,Mason,Emily,HCS,HCS-46,5A,1185,4980,3795,SA,10/1/2020,SA,8,110,25,d40g,3.5,10/1/2020,ET,8,10/9/2020,AW,5.5010,2.0910,2.0890,1.9910,1.8180,1.8110,1.9910,350.5,AW,3210,AW,9.16,20201009,2653,W,0.1125,99.44,0.0000,1.2062,4.5232,5.7,0.143,99.5502,99.4003,99.2504,99.5502,N,N,,,Mason,20201014.1,238.778,237.512,1.005,Zander,20201014,20201014,Mason,,Adin,Mina,Mina,13A1,10/14/2020,5,10/14/2020,5a,5a,5a,5a,5a,5a,5a,1,1,5a,2001,1,3,A,1,1.02,0.0254,0.1524,0.1016,0.0508,0.0762,-0.1016,0.0508
2002,3,123,7,25,10/26/2020,,14,SG47,21-A,0.50,6/27/2019,Mason,Emily,HCS,HCS-46,5C,1190,4970,3780,SA,10/1/2020,SA,8,110,25,d40g,4.5,10/1/2020,ET,8,10/9/2020,AW,5.5000,2.0810,2.0880,1.9960,1.8170,1.8180,1.9910,350.6,AW,3184,AW,9.08,20201009,2659,W,0.0375,99.66,0.0752,0.7146,3.8736,4.7,0.131,99.7001,100.45,98.8006,99.7001,N,N,,,Mason,20201014.1,260.71,237.512,1.098,Zander,20201014,20201014,Mason,,Adin,Mina,Mina,14B1,10/14/2020,5,10/14/2020,5a,5a,5a,5a,5a,5a,5a,1,1,5a,2002,1,4,B,1,1.016,0,-0.1016,0.0762,0.1778,0.0508,0.0762,0.0508
2003,4,123,7,38,3/22/2021,,26,SG47,21-A,1.33,6/28/2019,Joseph,Mason,HCS,HCS-68,7E,1190,4740,3550,SA,3/2/2021,SA,10,110,25,d40g,1.5,3/2/2021,ET,13,3/15/2021,AW,5.4980,2.0680,2.0720,1.9820,1.7990,1.7950,1.9890,345.9,AW,3096,AW,8.95,20210315,2659,W,1.8741,99.66,0.1128,0.6769,5.3028,6.1,0.137,99.5502,101.199,97.6012,100.3,N,N,,,Zander,20210315.3,218.611,206.505,1.059,Jerome,20210316,20210315,Zander,,Jerome,Jerome,Jerome,26A1,3/15/2021,0,3/16/2021,5a,5a,5a,5a,5a,5a,5a,1,1,5a,2003,2,6,A,1,0.955,-0.0508,-0.4318,-0.3302,-0.1778,-0.4064,-0.508,0
2004,5,123,7,37,3/15/2021,,22,SG47,21-A,1.08,6/28/2019,Joseph,Mason,HCS,HCS-67,8F,1170,4960,3790,SA,2/24/2021,JL,9,110,25,d40g,2,2/24/2021,ET,8,3/4/2021,AW,5.4990,2.0720,2.0750,1.9960,1.7990,1.8130,1.9910,348.5,AW,3114,AW,8.93,20210304,2661,W,0.3748,99.74,0.0752,0.4885,3.5701,4.1,0.126,99.8501,99.7001,99.2504,100.15,N,N,,,Mason,20210305,272.608,205.855,1.324,Jerome,20210308,20210305,Mason,,Mason,Jerome,Jerome,22A1,3/5/2021,1,3/8/2021,5a,5a,5a,5a,5a,5a,5a,1,1,5a,2004,2,2,A,1,1.019,-0.0254,-0.3302,-0.254,0.1778,-0.4064,-0.0508,0.0508
2005,6,123,7,26,11/2/2020,,13,SG47,21-A,0.45,6/28/2019,Mason,Emily,HCS,HCS-47,5A,1190,4925,3735,SA,10/7/2020,SA,8,110,25,d40g,1.5,10/8/2020,ET,7,10/15/2020,AW,5.5020,2.0820,2.0850,1.9870,1.8200,1.8100,1.9930,349.8,AW,3176,AW,9.08,20201015,2655,W,0.1874,99.51,0.0000,0.4143,1.4313,1.8,0.094,99.8501,100.6,98.5007,99.1004,N,N,,,Mina,20201015.3,251.357,185.429,1.356,Adin,20201015,20201016,Erin,,Adin,Adin,Adin,13B1,10/15/2020,0,10/15/2020,5a,5a,5a,5a,5a,5a,5a,1,1,5a,2005,1,3,B,1,1.004,0.0508,-0.0762,0,-0.0508,0.127,-0.127,0.1016
2006,7,123,7,26,11/2/2020,,14,SG47,21-A,1.50,6/28/2019,Joseph,Mason,HCS,HCS-47,5F,1185,4870,3685,SA,10/7/2020,SA,8,110,25,d40g,2,10/8/2020,ET,7,10/15/2020,AW,5.5030,2.0830,2.0750,1.9850,1.8180,1.8150,1.9900,349.1,AW,3156,AW,9.04,20201015,2659,W,0.0750,99.66,0.0376,0.6393,3.3471,4.0,0.123,99.7001,100,99.5502,99.4003,N,N,,,Erin,20201016.1,251.249,185.429,1.355,Adin,20201015,20201016,Erin,,Adin,Adin,Adin,14C1,10/16/2020,1,10/15/2020,5a,5a,5a,5a,5a,5a,5a,1,1,5a,2006,1,4,C,1,0.991,0.0762,-0.0508,-0.254,-0.1016,0.0762,0,0.0254
2007,8,123,7,25,10/26/2020,,13,SG47,21-A,0.55,6/28/2019,Mason,Emily,HCS,HCS-47,5C,1195,4900,3705,SA,10/7/2020,SA,8,110,25,d40g,1.5,10/8/2020,ET,7,10/15/2020,AW,5.5020,2.0930,2.0870,1.9940,1.8230,1.8160,1.9920,351.3,AW,3192,AW,9.09,20201015,2659,W,0.1125,99.66,0.0376,0.2256,1.6172,1.9,0.100,99.7001,99.8501,98.8006,100.3,N,N,,,Erin,20201016.1,239.063,185.429,1.289,Adin,20201015,20201016,Erin,,Adin,Adin,Adin,13C1,10/16/2020,1,10/15/2020,5a,5a,5a,5a,5a,5a,5a,1,1,5a,2007,1,3,C,1,0.996,0.0508,0.2032,0.0508,0.127,0.2032,0.0254,0.0762
2008,9,123,7,25,10/26/2020,,13,SG47,21-A,0.95,6/28/2019,Joseph,Mason,HCS,HCS-48,5C,1200,4985,3785,SA,10/12/2020,VM,8,110,25,d40g,10,10/13/2020,ET,7,10/20/2020,AW,5.4990,2.0760,2.0640,1.9970,1.8170,1.8170,1.9960,349.7,AW,3110,AW,8.89,20201020,2626,W,0.2249,98.43,0.0381,0.6855,4.6459,5.4,0.144,97.7511,99.7001,97.4513,98.8006,N,N,,,Mason,20201021,378.904,269.076,1.408,Zander,20201021,20201021,Will,,Adin,Adin,Mason,13A2,10/21/2020,1,10/21/2020,5b,5a,5b,5a,5a,5a,5a,1,1,5a,2008,1,3,A,2,1.018,-0.0254,-0.2286,-0.5334,0.2032,0.0508,0.0508,0.1778
2009,10,123,7,25,10/26/2020,,13,SG47,21-A,0.45,6/28/2019,Mason,Emily,HCS,HCS-46,5D,1190,4930,3740,SA,10/1/2020,SA,8,110,25,d40g,2.5,10/1/2020,ET,8,10/9/2020,AW,5.4990,2.0810,2.0710,1.9910,1.8240,1.8160,1.9910,349.6,AW,3170,AW,9.07,20201009,2656,W,0.1124,99.55,0.0753,0.4142,1.1295,1.6,0.099,99.2504,100,97.1514,101.799,N,N,,,Mason,20201014.1,269.646,237.512,1.135,Zander,20201014,20201014,Mason,,Adin,Mina,Mina,13D1,10/14/2020,5,10/14/2020,5a,5a,5a,5a,5a,5a,5a,1,1,5a,2009,1,3,D,1,1.006,-0.0254,-0.1016,-0.3556,0.0508,0.2286,0.0254,0.0508
