sector, block, dbn, mpv, mpv_err, ch0_mpv, ch0_mpv_err, ch1_mpv, ch1_mpv_err, ch2_mpv, ch2_mpv_err, ch3_mpv, ch3_mpv_err
1, 55, 939, 295.727294, 5.533495, 309.700244, 5.630755, 230.101185, 5.311108, 337.513207, 5.227847, 305.594541, 5.964271
1, 56, 443, 359.862378, 6.822310, , , , , 377.542342, 6.993532, 342.182414, 6.651089
1, 57, 1379, 339.124614, 5.871042, 353.604584, 6.468271, 324.644644, 5.273813, , , , 
1, 58, 933, 305.306830, 6.158403, 288.946435, 5.708455, 332.714930, 6.040909, 312.268319, 7.290937, 287.297638, 5.593314
1, 59, 930, 349.309779, 5.765832, 381.202049, 5.066635, 344.461894, 5.003089, 349.721033, 7.493200, 321.854141, 5.500405
1, 60, 928, 345.311004, 10.920607, , , , , 345.401987, 7.816888, 345.220021, 14.024326
1, 61, 880, 330.264197, 8.214669, 354.748233, 10.304095, 305.780161, 6.125243, , , , 
1, 62, 879, 267.103290, 5.271992, 274.580182, 5.721092, 240.789130, 5.728638, 292.363368, 5.381866, 260.680480, 4.256374
1, 63, 878, 276.563270, 4.860941, 278.332788, 4.499455, 268.715382, 4.587524, 281.605442, 5.794637, 277.599467, 4.562147
1, 64, 874, 297.078062, 6.767980, , , , , 280.038754, 5.401510, 314.117371, 8.134450
1, 65, 849, 312.184433, 11.094419, 348.636914, 11.550918, 275.731953, 10.637921, , , , 
1, 66, 846, 303.989571, 17.908421, 301.218202, 17.923520, 241.301357, 14.221253, 302.201809, 20.491645, 371.236915, 18.997267
1, 67, 492, 218.346582, 26.088516, 218.814466, 10.170169, 201.133691, 15.376650, 247.454791, 12.423717, 205.983380, 66.383530
1, 68, 487, 363.463282, 16.315758, , , , , 380.073142, 14.593102, 346.853423, 18.038414
1, 69, 812, 224.589332, 11.266488, 256.029059, 11.261716, 193.149606, 11.271261, , , , 
1, 70, 809, 275.577163, 11.813585, 305.001034, 10.686190, 278.419964, 10.018585, 302.402470, 13.262610, 216.485185, 13.286954
1, 71, 501, 274.749149, 15.565036, 336.355428, 22.163670, 240.548142, 13.989215, 285.186819, 7.069442, 236.906206, 19.037817
1, 72, 499, 332.456046, 10.908860, , , , , 331.698897, 10.452896, 333.213194, 11.364825
1, 73, 789, 334.074718, 13.163747, 341.760389, 13.230282, 326.389046, 13.097212, , , , 
1, 74, 788, 322.024645, 15.056996, 346.902224, 23.912677, 278.840747, 12.070044, 337.236691, 12.324662, 325.118918, 11.920601
1, 75, 777, 254.139204, 12.331834, 272.788702, 13.704841, 260.403004, 12.217758, 261.262423, 11.939487, 222.102687, 11.465250
1, 76, 513, 264.714946, 14.357601, , , , , 277.896115, 18.736760, 251.533777, 9.978441
1, 77, 623, 340.623857, 10.795631, 368.799796, 12.283137, 312.447917, 9.308125, , , , 
1, 78, 559, 341.425981, 15.080017, 355.542106, 20.718599, 334.383002, 17.395546, 356.860006, 10.253742, 318.918809, 11.952180
1, 79, 547, 346.435070, 16.423821, 353.431370, 10.277200, 364.069767, 13.125636, 340.777649, 31.380000, 327.461494, 10.912450
1, 80, 536, 325.029975, 10.349979, , , , , 336.588030, 11.777920, 313.471921, 8.922039
1, 81, 769, 279.581391, 5.289450, 289.418756, 5.319346, 269.744026, 5.259553, , , , 
1, 82, 747, 286.841155, 6.261505, 334.858642, 7.541150, 263.857940, 5.052857, 265.659085, 6.213653, 282.988951, 6.238359
1, 83, 643, 292.492777, 5.587733, 351.912454, 6.744241, 280.871161, 4.104609, 284.084964, 6.513847, 253.102530, 4.988236
1, 84, 577, 324.699028, 6.617057, , , , , 334.858050, 7.007851, 314.540006, 6.226263
1, 85, 684, 245.905657, 4.964680, 279.959339, 4.869226, 211.851974, 5.060134, , , , 
1, 86, 650, 318.522760, 6.418654, 353.979527, 8.100559, 290.376056, 6.438847, 335.683749, 5.063809, 294.051708, 6.071400
1, 87, 679, 307.082707, 6.358240, 345.711638, 6.017017, 291.390611, 6.768644, 288.595757, 7.921876, 302.632822, 4.725422
1, 88, 600, 274.825791, 6.508544, , , , , 294.459061, 6.246178, 255.192521, 6.770910
1, 89, 670, 201.544818, 12.713922, 211.192453, 18.879839, 191.897183, 6.548004, , , , 
1, 90, 666, 233.359133, 8.709340, 231.069630, 6.407473, 220.832861, 8.996009, 221.352892, 10.197487, 260.181149, 9.236391
1, 91, 636, 350.929588, 12.409155, 335.831279, 6.780207, 340.583203, 7.330123, 365.436619, 19.598182, 361.867251, 15.928107
1, 92, 604, 270.899606, 7.554738, , , , , 264.659564, 6.128605, 277.139648, 8.980872
1, 93, 733, 238.967997, 15.687923, 238.967997, 15.687923, , , , , , 
1, 94, 719, 243.462854, 12.295866, 232.844472, 11.753238, , , 254.081236, 12.838494, , 
1, 95, 714, 243.677796, 12.919130, 244.709143, 11.618291, , , 242.646448, 14.219970, , 
1, 96, 704, 292.686090, 10.381765, , , , , 292.686090, 10.381765, , 
2, 1, 250, 306.237785, 48.310718, , , 306.237785, 48.310718, , , , 
2, 2, 246, , , , , , , , , , 
2, 3, 262, 305.007273, 268.527452, , , 191.756732, 20.269945, , , 418.257813, 516.784958
2, 4, 200, 130.857072, 89.427351, , , , , , , 130.857072, 89.427351
2, 5, 261, 229.956319, 19.789196, 200.855000, 22.468070, 259.057638, 17.110323, , , , 
2, 6, 244, , , , , , , , , , 
2, 7, 1400, 298.364739, 14.060000, 319.230531, 14.097171, 305.062161, 15.298302, 288.420739, 16.911624, 280.745524, 9.932904
2, 8, 202, 232.191297, 13.436699, , , , , 251.213020, 16.546718, 213.169574, 10.326679
2, 9, 211, 283.185442, 9.899476, 276.089182, 8.562872, 290.281703, 11.236080, , , , 
2, 10, 1296, 289.902035, 11.901514, 296.428435, 10.785668, 286.732213, 9.562727, 272.817896, 7.566629, 303.629599, 19.691033
2, 11, 221, 254.893873, 10.751141, 236.253984, 13.524006, 268.413971, 8.584624, 244.018857, 13.647495, 270.888682, 7.248439
2, 12, 220, 340.457912, 8.560236, , , , , 361.563235, 9.193208, 319.352588, 7.927264
2, 13, 268, 246.504815, 7.801403, 272.929447, 7.862879, 220.080184, 7.739927, , , , 
2, 14, 280, 220.981499, 27.682572, 282.992405, 9.590935, 95.999865, 83.720673, 259.047402, 9.790999, 245.886325, 7.627680
2, 15, 283, 291.807522, 10.528205, 296.789264, 11.325281, 319.679710, 14.232460, 283.617795, 7.871493, 267.143318, 8.683587
