channel_num, sp_gap, chisqr/ndf, gauss1 mean, gauss1 ampl, gauss1 sigma, gauss2 ampl, gauss2 sigma, gauss3 ampl, gauss3 sigma, gauss4 ampl, gauss4 sigma, gauss5 ampl, gauss5 sigma, landau ampl, landau mpv, landau sigma, actual peak1 height, actual peak2 height
0, 28.621575, 2.969966, 33.417371, 319.869199, 5.423987, 90.255700, 6.704541, 4.823360, 7.771811, 4.823360, 7.771811, 0.000000, 0.000000, 4607.881179, 7.649564, 2.634326, 832.442084, 378.274648
1, 26.870398, 2.505077, 32.633205, 342.870621, 5.257512, 86.434534, 6.449792, 4.461881, 7.203837, 4.461881, 7.203837, 0.000000, 0.000000, 4575.632190, 7.643116, 2.669207, 826.616204, 405.833300
2, 28.541070, 2.607712, 33.481496, 353.568636, 5.511609, 98.372829, 6.988301, 7.213894, 6.265367, 7.213894, 6.265367, 0.000000, 0.000000, 4304.726505, 7.600153, 2.617190, 777.676579, 406.907405
3, 28.601486, 3.197695, 32.913794, 332.833366, 5.060083, 94.654067, 6.187369, 6.265235, 7.016587, 6.265235, 7.016587, 0.000000, 0.000000, 4732.205893, 7.535779, 2.603868, 854.900296, 393.118165
4, 25.767887, 1.470860, 29.942408, 386.580270, 6.673261, 135.832263, 7.154492, 8.126811, 8.408444, 8.126811, 8.408444, 0.000000, 0.000000, 3223.142302, 8.056908, 2.928627, 583.575374, 454.258701
5, 25.320266, 1.846068, 30.334781, 407.774008, 7.288508, 159.855341, 7.054536, 13.051320, 8.854423, 13.051320, 8.854423, 0.000000, 0.000000, 2513.375599, 7.997236, 2.938676, 456.903816, 458.836380
6, 26.696797, 1.584296, 30.831210, 440.208301, 7.112301, 174.562649, 7.573676, 15.985228, 8.627246, 15.985228, 8.627246, 0.000000, 0.000000, 2218.001134, 7.899401, 2.877791, 402.524078, 481.507637
7, 26.243772, 1.766710, 31.054000, 414.120865, 6.447951, 148.111206, 7.023113, 9.921868, 8.536685, 9.921868, 8.536685, 0.000000, 0.000000, 2918.368360, 8.117288, 2.949423, 527.733821, 470.737761
8, 25.080789, 2.023501, 30.624079, 426.595127, 7.020286, 166.438440, 6.972809, 10.703578, 8.468667, 10.703578, 8.468667, 0.000000, 0.000000, 2515.072222, 8.052672, 2.942185, 456.168562, 476.723116
9, 25.481271, 1.715265, 30.911107, 409.193696, 7.364958, 173.084706, 7.284334, 14.391922, 8.713867, 14.391922, 8.713867, 0.000000, 0.000000, 2219.421036, 8.224232, 3.104990, 403.642179, 457.539324
10, 26.620724, 1.423671, 31.256202, 423.327157, 6.280008, 149.492684, 7.167119, 8.167988, 8.236299, 8.167988, 8.236299, 0.000000, 0.000000, 2942.374481, 8.241298, 2.985702, 531.903480, 481.256725
11, 25.932391, 1.629658, 31.005822, 422.677731, 6.195055, 140.960785, 6.990374, 8.637607, 8.464417, 8.637607, 8.464417, 0.000000, 0.000000, 3086.646100, 8.051754, 2.908753, 557.918558, 480.957283
12, 25.701683, 1.740876, 31.087009, 403.088308, 7.092993, 164.135023, 7.504015, 12.103466, 8.839246, 12.103466, 8.839246, 0.000000, 0.000000, 2310.217898, 8.651632, 3.247715, 419.330015, 458.610289
13, 26.694001, 1.249010, 30.710321, 398.047570, 6.814282, 143.957478, 7.568929, 8.877195, 8.708127, 8.877195, 8.708127, 0.000000, 0.000000, 2892.370138, 8.087906, 2.975214, 523.689360, 456.782149
14, 26.645788, 1.513468, 31.083808, 403.455888, 6.349390, 130.337354, 7.243344, 7.561574, 8.406205, 7.561574, 8.406205, 0.000000, 0.000000, 3194.979160, 8.314325, 3.000104, 577.635711, 468.324464
15, 26.359122, 1.579112, 31.215457, 415.205275, 6.425967, 155.859871, 7.115823, 7.473616, 8.635760, 7.473616, 8.635760, 0.000000, 0.000000, 2915.702503, 8.155847, 2.995640, 527.194181, 472.813574
16, 28.246765, 2.309867, 32.778284, 364.486339, 5.545986, 101.634989, 7.314355, 5.909604, 8.451816, 5.909604, 8.451816, 0.000000, 0.000000, 3889.927588, 7.862780, 2.810496, 702.746370, 423.730550
17, 27.451847, 3.257979, 32.303603, 335.255526, 4.872784, 83.804093, 6.766534, 3.053045, 7.980109, 3.053045, 7.980109, 0.000000, 0.000000, 5012.245538, 7.350782, 2.501875, 905.490769, 396.377498
18, 29.451042, 4.685152, 32.773118, 282.684264, 4.756485, 71.789863, 5.383213, 4.538945, 3.564155, 4.538945, 3.564155, 0.000000, 0.000000, 5572.354902, 7.427684, 2.483134, 1006.677409, 347.845400
19, 28.144399, 2.464300, 32.082132, 364.439961, 5.848158, 111.049204, 7.644154, 7.269538, 8.608216, 7.269538, 8.608216, 0.000000, 0.000000, 3857.864981, 7.463281, 2.662855, 696.978607, 418.906368
20, 25.568216, 1.527398, 30.812624, 409.142290, 6.237267, 147.533876, 6.501163, 9.440191, 7.969319, 9.440191, 7.969319, 0.000000, 0.000000, 3126.245583, 8.212517, 2.970367, 565.165288, 472.196667
21, 25.303508, 1.594456, 30.982111, 406.398632, 7.409472, 173.016029, 7.206484, 16.220716, 8.808938, 16.220716, 8.808938, 0.000000, 0.000000, 2371.095293, 8.003040, 2.859315, 430.907563, 450.019162
22, 25.017749, 2.212179, 29.792135, 403.893827, 7.562502, 169.068074, 6.623925, 13.588139, 9.046785, 13.588139, 9.046785, 0.000000, 0.000000, 2473.484200, 7.934301, 2.865728, 451.767082, 453.876278
23, 26.452085, 1.492440, 30.496461, 419.011236, 6.409324, 140.052789, 7.357225, 9.747887, 8.336428, 9.747887, 8.336428, 0.000000, 0.000000, 3119.695694, 7.751895, 2.765255, 564.138548, 473.810890
24, 25.832232, 1.433681, 31.295088, 430.962095, 6.656674, 147.260554, 7.168526, 12.897927, 8.702547, 12.897927, 8.702547, 0.000000, 0.000000, 2756.926949, 8.247126, 2.909393, 498.821112, 482.734623
25, 24.529860, 1.308629, 31.658718, 424.331014, 7.033460, 165.079588, 7.057657, 13.769707, 8.950567, 13.769707, 8.950567, 0.000000, 0.000000, 2306.529442, 8.485753, 3.158253, 418.033533, 474.088841
26, 25.859626, 1.766374, 30.820435, 413.829440, 7.013945, 172.324767, 6.665131, 10.244997, 8.917246, 10.244997, 8.917246, 0.000000, 0.000000, 2531.624709, 8.242950, 2.956261, 459.079435, 464.593711
27, 25.584155, 1.699696, 30.254073, 420.206627, 6.856722, 164.532745, 7.017239, 13.585960, 8.518506, 13.585960, 8.518506, 0.000000, 0.000000, 2685.457579, 7.940248, 2.862825, 486.704667, 472.239258
28, 25.594685, 1.733304, 30.852571, 394.427492, 6.182694, 128.484232, 6.911574, 6.046713, 7.580137, 6.046713, 7.580137, 0.000000, 0.000000, 3326.904698, 8.232010, 2.996035, 601.352223, 462.619288
29, 25.434472, 1.342717, 30.701218, 428.963787, 7.000798, 170.636013, 6.786930, 13.678983, 8.786780, 13.678983, 8.786780, 0.000000, 0.000000, 2528.413872, 8.131787, 2.960225, 458.532413, 479.825631
30, 26.040735, 1.518524, 30.495390, 414.596822, 7.207884, 180.272063, 7.161390, 15.561949, 8.661358, 15.561949, 8.661358, 0.000000, 0.000000, 2259.255328, 8.511026, 3.105215, 411.133918, 466.497009
31, 25.401456, 2.105136, 30.342562, 430.213146, 6.622887, 169.419724, 6.950021, 12.347769, 8.052125, 12.347769, 8.052125, 0.000000, 0.000000, 2525.009565, 8.156167, 3.000639, 457.281184, 483.818414
32, 27.545372, 3.473936, 33.270071, 296.613930, 5.111204, 77.768353, 6.335412, 2.541001, 6.010621, 2.541001, 6.010621, 0.000000, 0.000000, 5224.997899, 7.508881, 2.539628, 943.925820, 358.454417
33, 27.635070, 3.197942, 32.792398, 299.411444, 4.900566, 71.308137, 6.352354, 4.797712, 5.715859, 4.797712, 5.715859, 0.000000, 0.000000, 5165.830411, 7.517341, 2.590856, 933.236637, 365.235928
34, 29.389897, 3.647127, 33.424613, 323.980878, 5.110317, 82.755809, 6.635935, 4.501438, 6.141235, 4.501438, 6.141235, 0.000000, 0.000000, 4796.651257, 7.598942, 2.598868, 866.542589, 382.883654
35, 28.368855, 2.587897, 32.313645, 356.203391, 5.300080, 92.677643, 7.306188, 4.787647, 8.033449, 4.787647, 8.033449, 0.000000, 0.000000, 4482.084686, 7.574346, 2.587403, 809.717808, 415.477654
36, 25.562902, 1.574344, 31.075300, 425.067228, 6.249986, 158.072544, 6.548795, 9.658403, 8.182607, 9.658403, 8.182607, 0.000000, 0.000000, 3003.888688, 7.999207, 2.876203, 542.987447, 480.038295
37, 26.536292, 1.570456, 31.102500, 399.905993, 6.184252, 132.349076, 6.882282, 8.110017, 6.737541, 8.110017, 6.737541, 0.000000, 0.000000, 3279.150351, 8.110765, 2.925629, 592.665344, 462.344752
38, 26.259466, 1.759596, 32.009192, 412.822575, 6.164600, 136.831666, 7.053140, 9.478582, 8.496405, 9.478582, 8.496405, 0.000000, 0.000000, 3193.464721, 7.896221, 2.841704, 577.048326, 465.603840
39, 26.576022, 1.550852, 32.003730, 405.827460, 6.200798, 124.642547, 7.510299, 8.455868, 8.597530, 8.455868, 8.597530, 0.000000, 0.000000, 3210.632500, 8.170973, 2.921422, 580.186127, 462.990125
40, 25.653971, 1.780087, 30.640445, 432.427369, 6.776891, 164.609209, 7.232819, 11.086349, 8.346810, 11.086349, 8.346810, 0.000000, 0.000000, 2571.961031, 8.060894, 2.941267, 465.859036, 483.608370
41, 25.112592, 1.641975, 29.911134, 420.669086, 6.867623, 154.396013, 6.933997, 10.014319, 8.266722, 10.014319, 8.266722, 0.000000, 0.000000, 2865.886643, 7.767028, 2.780906, 519.481271, 474.176943
42, 26.554141, 1.908018, 32.053588, 406.613307, 6.091162, 123.034662, 7.468377, 7.958767, 8.414414, 7.958767, 8.414414, 0.000000, 0.000000, 3365.643035, 8.120394, 2.877917, 608.141257, 464.452923
43, 26.693317, 1.722242, 30.946550, 383.574441, 6.032941, 118.154943, 7.367186, 4.693911, 8.156583, 4.693911, 8.156583, 0.000000, 0.000000, 3621.295171, 7.892734, 2.858202, 654.379491, 449.529128
44, 25.490833, 1.591282, 30.696718, 395.032840, 6.346692, 130.791153, 6.575563, 6.425644, 8.689563, 6.425644, 8.689563, 0.000000, 0.000000, 3374.736832, 8.043650, 2.896431, 610.134545, 460.006333
45, 24.938732, 1.831403, 30.368105, 422.218150, 6.993121, 162.903991, 6.687760, 9.168942, 8.357180, 9.168942, 8.357180, 0.000000, 0.000000, 2719.998601, 8.038243, 2.880856, 493.315072, 475.446900
46, 26.432093, 1.879058, 31.723244, 358.519304, 5.560782, 98.414239, 6.969764, 3.969926, 7.420275, 3.969926, 7.420275, 0.000000, 0.000000, 3960.158631, 8.215828, 2.969165, 715.453321, 432.967094
47, 25.624688, 1.631793, 31.316516, 397.578538, 6.274678, 123.832890, 6.952954, 6.492536, 8.684872, 6.492536, 8.684872, 0.000000, 0.000000, 3360.633037, 8.107552, 2.925669, 607.405756, 460.587622
48, 28.327580, 2.342752, 32.165804, 354.207529, 5.345193, 96.542119, 6.824960, 4.923096, 5.782960, 4.923096, 5.782960, 0.000000, 0.000000, 4329.165620, 7.757167, 2.699238, 782.094400, 417.800858
49, 26.704368, 2.349813, 31.673351, 326.907984, 5.059775, 89.924647, 5.703908, 4.745381, 4.141666, 4.745381, 4.141666, 0.000000, 0.000000, 4798.253595, 7.592072, 2.657635, 866.833787, 397.226878
50, 27.974605, 2.029436, 31.995316, 326.778998, 5.591632, 97.665286, 7.199415, 7.590074, 5.178453, 7.590074, 5.178453, 0.000000, 0.000000, 4304.432181, 7.834037, 2.747382, 777.637787, 393.639191
51, 27.570151, 2.010452, 32.053956, 337.983549, 5.372964, 95.871074, 6.787823, 5.185302, 7.497729, 5.185302, 7.497729, 0.000000, 0.000000, 4217.704765, 7.893470, 2.822080, 761.960193, 406.656281
52, 25.652378, 1.103831, 32.039428, 423.088863, 6.935642, 155.925993, 7.369992, 12.110387, 9.188876, 12.110387, 9.188876, 0.000000, 0.000000, 2497.809969, 8.393136, 3.061781, 452.149194, 472.279180
53, 25.622864, 1.794989, 29.894504, 417.696426, 7.226811, 163.369529, 6.896948, 13.327941, 8.547709, 13.327941, 8.547709, 0.000000, 0.000000, 2460.846259, 7.970102, 2.896635, 447.791568, 467.979430
54, 26.158430, 1.653056, 31.160082, 385.661709, 6.182382, 123.961687, 6.786637, 5.568037, 8.964928, 5.568037, 8.964928, 0.000000, 0.000000, 3541.332945, 7.922499, 2.885701, 639.984023, 450.287115
55, 25.603614, 1.667359, 30.557172, 399.105364, 6.619829, 132.471292, 7.286146, 8.561863, 8.548764, 8.561863, 8.548764, 0.000000, 0.000000, 3033.606251, 8.075553, 2.966571, 548.927652, 461.053681
56, 25.043824, 1.298290, 30.056362, 386.090454, 6.302435, 128.683882, 6.433891, 6.187459, 8.500487, 6.187459, 8.500487, 0.000000, 0.000000, 3465.451586, 8.178466, 2.952741, 626.701611, 459.776585
57, 24.622064, 1.773170, 29.935805, 415.240332, 6.981426, 162.742662, 6.613326, 9.257288, 8.433748, 9.257288, 8.433748, 0.000000, 0.000000, 2632.569259, 8.052704, 3.012954, 477.861547, 473.101792
58, 24.884886, 1.579023, 30.435838, 416.030383, 7.249108, 166.749450, 6.790764, 10.905194, 8.856806, 10.905194, 8.856806, 0.000000, 0.000000, 2462.166669, 8.319185, 3.052168, 447.807684, 470.389748
59, 25.670483, 1.941071, 29.390312, 388.696859, 6.916042, 141.118553, 7.055037, 8.196765, 8.594733, 8.196765, 8.594733, 0.000000, 0.000000, 3109.725118, 7.758434, 2.840412, 563.990142, 451.906100
60, 25.545916, 1.606572, 30.045786, 417.089162, 7.248655, 158.494621, 6.918706, 10.163982, 8.887112, 10.163982, 8.887112, 0.000000, 0.000000, 2477.617390, 8.148139, 3.033816, 450.911904, 472.174708
61, 24.942045, 1.844823, 29.976901, 415.877109, 7.404654, 169.386664, 6.673527, 10.681595, 8.861454, 10.681595, 8.861454, 0.000000, 0.000000, 2539.699024, 7.816266, 2.906193, 462.480256, 467.147756
62, 25.660851, 1.802817, 30.845071, 408.578095, 7.916960, 171.110331, 7.235705, 12.697483, 9.411865, 12.697483, 9.411865, 0.000000, 0.000000, 2077.786106, 8.587736, 3.086058, 381.647449, 454.957607
63, 24.832703, 1.592685, 30.233545, 406.607604, 7.087735, 146.215615, 6.754381, 8.796864, 8.751883, 8.796864, 8.751883, 0.000000, 0.000000, 2848.208403, 8.118499, 2.964676, 516.895077, 466.476482
64, 25.566786, 1.669187, 30.928809, 402.013747, 7.234867, 168.024988, 6.944957, 15.119445, 9.131518, 15.119445, 9.131518, 0.000000, 0.000000, 2370.029320, 8.479578, 3.062690, 430.612568, 453.250180
65, 25.273064, 1.765160, 30.719692, 397.151081, 6.467071, 126.284540, 7.028505, 9.874142, 8.381372, 9.874142, 8.381372, 0.000000, 0.000000, 3094.230030, 8.193244, 2.982992, 559.632953, 460.632317
