DBN, MPV
773, 292.083429
785, 230.431368
584, 224.686446
540, 276.357505
542, 195.194399
581, 273.958190
571, 193.819195
760, 229.544788
768, 217.517257
587, 244.350592
593, 250.240930
659, 221.275899
596, 176.656611
617, 170.881010
637, 310.391136
663, 178.657100
676, 298.184611
695, 273.862199
721, 278.627627
234, 330.377797
230, 289.804656
194, 285.289864
222, 266.741101
251, 332.848100
264, 258.823120
259, 197.111868
258, 221.680844
1345, 210.455957
274, 285.238694
1284, 201.428907
1260, 220.600884
1363, 219.617784
296, 162.054987
1238, 265.026950
301, 171.994172
1225, 214.065865
1214, 249.882398
1222, 252.720064
308, 229.391325
319, 224.117683
1174, 226.343218
1164, 237.099440
1182, 260.751602
1191, 240.696939
348, 286.446925
1149, 224.885411
1157, 95.315312
337, 242.688489
1097, 260.259589
361, 248.830065
362, 238.822064
1123, 302.758896
1086, 227.602129
1065, 215.051277
384, 181.836274
1073, 268.046062
1054, 296.036186
1059, 267.698426
395, 249.619017
1038, 272.212456
1003, 268.869459
998, 256.921853
416, 287.634108
1018, 315.097112
969, 254.890801
987, 219.957585
986, 314.680241
988, 246.304575
444, 208.530117
941, 228.009738
937, 207.424303
942, 183.704033
912, 199.506972
924, 201.700538
927, 204.387379
929, 304.150143
466, 235.487746
875, 174.702727
891, 243.992453
489, 268.394050
841, 268.711739
866, 145.153118
867, 164.292328
808, 192.200416
505, 186.127471
835, 247.726623
518, 254.597970
794, 237.241943
522, 257.644238
799, 237.264019
620, 255.143438
529, 267.625445
531, 203.834443
553, 234.960044
575, 228.622246
770, 296.938806
740, 233.432302
562, 279.936362
647, 181.317181
689, 294.283297
598, 243.585188
687, 204.350731
635, 230.440447
640, 231.580414
675, 269.303205
672, 355.764094
720, 320.628431
724, 292.954458
725, 16.491211
1307, 286.334248
1338, 252.279705
1317, 280.262386
252, 241.215595
1333, 275.703338
1312, 281.216148
1405, 255.858723
1347, 239.195092
1321, 254.810611
1262, 276.738118
1285, 295.769646
1276, 292.068163
1283, 338.032333
1241, 334.470940
1251, 316.306913
1253, 285.900531
1234, 359.858433
1210, 333.722036
1221, 318.028564
1220, 313.141055
1198, 321.022750
324, 320.086225
325, 190.467353
1168, 368.311604
1167, 295.741906
1155, 253.638542
1144, 274.319848
1147, 307.527544
1158, 284.068662
359, 319.948762
1121, 289.106728
1117, 255.151423
1150, 266.809553
1079, 263.689125
1082, 262.944430
378, 219.741767
1063, 266.949152
1035, 233.750063
1057, 176.818033
385, 304.421974
392, 314.278387
413, 261.696362
1020, 219.781580
1008, 259.353418
1016, 240.668272
975, 201.777139
977, 273.526238
976, 269.777186
981, 385.192664
947, 259.184450
963, 219.784840
944, 192.365679
961, 241.235486
453, 252.707259
450, 273.889673
451, 310.947306
449, 342.881797
472, 307.292773
873, 275.027119
900, 318.246312
475, 305.745741
850, 223.817957
868, 275.680503
490, 306.190984
495, 216.762674
814, 305.922651
816, 267.559559
813, 249.898010
795, 335.108783
524, 260.017216
779, 301.887847
786, 309.983770
546, 335.340648
580, 348.449366
548, 304.523409
583, 298.681075
753, 307.296240
765, 226.831884
746, 265.534394
751, 246.392905
588, 241.976265
585, 328.510465
657, 246.558778
644, 282.468505
602, 203.991683
609, 237.155205
619, 333.724137
699, 224.061981
700, 255.911706
1396, 341.992848
206, 296.504308
1309, 190.812160
1304, 283.656755
1314, 286.952234
1364, 268.814602
1322, 318.122323
1339, 343.915546
1352, 289.592089
1397, 254.674319
1359, 345.290421
1299, 217.209174
1273, 232.479046
278, 282.394059
1275, 337.300810
1280, 278.924235
1243, 236.215942
1240, 249.861285
1229, 305.481272
1257, 279.508212
1202, 250.829569
1211, 234.036304
1217, 257.638295
1206, 212.293829
1163, 288.215550
1187, 252.452449
1172, 258.141782
1176, 242.937837
1154, 251.737978
1156, 277.345085
1137, 258.714654
1139, 250.228492
1113, 207.038366
1095, 264.535657
1126, 287.116058
366, 280.779927
1064, 219.330004
1081, 241.210529
1075, 270.092659
1091, 252.084625
1060, 160.517698
1053, 244.693491
1033, 231.988099
1039, 199.112830
1010, 279.666010
1001, 225.424946
1026, 291.853828
1005, 233.841931
456, 254.950409
980, 216.164456
983, 132.269132
989, 238.817411
952, 266.447878
951, 248.980310
943, 236.578837
949, 200.610369
905, 241.668956
915, 322.207343
965, 259.870463
923, 266.052563
897, 284.416245
895, 240.537068
474, 261.714460
899, 331.963810
839, 232.033041
858, 228.501501
847, 318.288163
486, 242.727627
825, 254.865307
823, 247.464863
822, 283.856051
806, 218.419084
780, 279.008700
520, 257.864278
784, 205.131420
561, 233.425595
557, 273.149601
579, 275.681199
552, 298.618089
741, 248.096202
761, 256.818816
1391, 236.096638
763, 337.626032
655, 268.551538
658, 295.199987
677, 189.361061
678, 263.967900
674, 225.940133
615, 221.642432
673, 229.268726
627, 156.841177
771, 188.330447
735, 126.411398
212, 300.824179
1318, 267.477859
1311, 313.358075
1344, 356.943173
1340, 260.178466
1398, 265.565415
1310, 278.751202
1319, 325.958671
1327, 354.859323
1271, 308.878869
1270, 250.644940
1267, 244.571237
1278, 326.017112
1230, 316.753631
1245, 325.285207
1233, 267.231393
292, 255.725067
1219, 257.400310
1196, 271.696587
1193, 290.256491
1215, 283.236458
1165, 302.361063
1177, 251.598707
1185, 283.041043
1130, 237.145485
1152, 336.397468
1368, 227.091949
1160, 297.457175
1124, 262.866572
1114, 251.250922
1106, 288.777149
1119, 239.731726
1090, 342.426279
382, 245.981051
1080, 199.021636
1069, 279.035527
1030, 268.116177
1032, 241.898997
1050, 252.282723
1037, 253.689652
405, 255.028718
1022, 256.450380
1004, 207.577467
1013, 311.443955
984, 259.023915
970, 273.230376
991, 228.596873
993, 270.447050
938, 275.236195
957, 288.673495
956, 284.067644
959, 275.738733
916, 209.494486
925, 264.232602
918, 236.522830
913, 176.766308
887, 284.437345
896, 351.527814
469, 188.529516
893, 222.859795
488, 292.171516
851, 288.618867
862, 210.909841
807, 304.096410
827, 307.069894
820, 195.898647
821, 285.146127
796, 220.675382
790, 258.320377
778, 268.825948
776, 243.548087
560, 312.195791
538, 289.384590
544, 261.802308
530, 200.425717
754, 307.426515
748, 284.833585
745, 202.183591
756, 235.139388
648, 252.596995
686, 319.966472
682, 212.205291
691, 256.352183
607, 291.727838
661, 239.786640
633, 270.518612
611, 262.161836
692, 212.340465
715, 246.626751
737, 313.029072
1301, 213.098941
1337, 262.850673
1356, 352.899167
1399, 339.979024
1302, 378.085442
1303, 289.045487
1401, 373.816459
1341, 344.319513
1316, 304.280669
1442, 352.324744
1269, 348.430749
1272, 313.153830
1263, 213.118324
1255, 231.066754
1256, 253.455490
1254, 389.592216
1226, 184.506370
1201, 297.681918
1195, 292.608170
1199, 330.271716
1194, 298.867263
1183, 280.579121
1166, 244.900743
332, 340.044375
1425, 239.227604
1429, 247.085165
1133, 193.617191
1427, 314.133111
1369, 290.077662
1096, 217.013137
1108, 258.018565
1107, 275.808731
1125, 224.760919
1084, 221.133029
1089, 276.234352
377, 236.057315
1076, 280.858478
1043, 179.147787
1058, 303.543881
1044, 353.180991
393, 275.794707
1027, 250.807568
1025, 304.330895
1373, 234.595775
1023, 194.485870
995, 190.372132
992, 216.250934
967, 294.152501
978, 264.731991
446, 203.354948
962, 214.379644
953, 260.110222
945, 317.310506
463, 254.505173
455, 227.361299
904, 237.575971
917, 237.355137
886, 333.894230
898, 294.724238
885, 282.543839
470, 193.269829
844, 313.344894
860, 234.024208
848, 693.571359
830, 318.129613
819, 338.851690
1385, 232.878709
802, 254.294573
793, 228.182759
792, 1.125243
798, 278.402792
537, 325.301499
624, 230.027543
