dbn,mpv
1557,225.06
1558,250.99
1559,299.519
193,224.072
194,285.29
197,242.168
199,250.457
2041,248.022
2043,279.834
2048,342.507
2050,322.37
2051,341.536
206,296.504
2060,329.484
207,257.036
2095,288.713
211,249.366
212,300.824
213,222.03
2139,256.374
2141,302.335
2146,322.634
2152,334.613
218,250.618
220,292.441
221,256.043
222,266.741
225,212.183
228,241.219
230,289.805
233,223.721
234,330.378
235,259.448
237,251.37
243,270.388
244,232.52
245,197.444
248,276.787
250,227.494
251,332.848
252,241.216
255,345.848
256,241.157
257,244.662
258,221.681
259,197.112
260,263.073
261,285.952
263,312.518
264,258.823
265,230.403
2659,383.257
266,224.914
2664,336.502
267,283.654
2670,287.29
2679,328.504
268,321.148
2682,304.409
2683,343.154
2687,303.031
269,234.179
2697,369.019
2701,311.756
2702,283.153
2713,280.506
272,251.336
2724,295.159
273,230.995
2733,356.297
274,285.239
2747,354.89
2748,287.363
275,284.333
276,165.832
2764,265.464
2767,338.322
2768,407.507
277,245.83
278,282.394
2789,334.485
279,299.872
2796,331.546
280,161.909
2803,338.551
281,304.181
2814,367.908
2819,359.277
2822,361.507
2827,368.424
283,297.221
2835,343.095
2836,332.794
2861,306.5
2862,418.179
2863,353.827
2864,375.872
287,218.333
2870,379.798
288,289.488
289,276.137
290,227.992
291,293.311
2913,335.506
2915,365.247
2917,326.425
292,255.725
2925,333.071
293,264.242
2940,344.775
2945,337.28
296,162.055
2962,330.3
297,301.617
2977,341.298
2979,361.559
298,315.264
2985,381.36
299,229.79
2994,321.665
300,265.101
301,171.994
3010,338.484
3017,316.253
302,270.077
3025,311.761
303,324.374
3035,340.869
3036,358.423
3039,316.773
3040,369.587
305,273.314
306,337.004
3066,324.107
307,305.035
3073,320.563
308,229.391
3084,392.706
309,211.981
3090,345.446
310,264.229
3104,405.156
311,259.896
3111,356.187
3114,368.42
3118,281.478
312,357.075
3122,307.565
3124,312.083
3128,409.756
313,256.738
3132,295.61
314,304.295
3147,363.631
3148,358.197
315,268.96
3154,291.597
3155,330.87
316,254.52
317,206.528
3174,329.612
318,251.474
3180,414.852
3182,346.369
3188,302.491
319,224.118
3190,282.644
3192,367.154
3194,335.828
3195,261.288
3197,379.708
3198,311.323
3199,345.674
3200,385.031
3204,386.876
3207,323.326
322,237.119
3224,287.416
3233,336.135
3238,320.499
324,320.086
3241,498.887
3245,284.785
325,190.467
3261,285.638
327,334.551
3270,337.905
3273,517.435
330,280.995
331,299.727
332,340.044
3325,358.687
3330,327.982
3332,397.373
336,269.877
3365,339.79
337,242.688
338,347.334
3381,255.497
339,227.706
3398,325.185
3404,322.061
3405,399.369
3439,370.327
344,255.281
3444,240.183
3449,374.508
346,235.868
3466,304.953
347,251.031
3471,317.484
348,286.447
3484,313.612
350,212.955
351,258.261
352,208.192
354,350.358
356,194.419
357,253.73
358,347.957
359,319.949
361,248.83
3615,365.04
3616,286.944
3618,272.943
362,238.822
3627,305.897
363,315.626
364,237.896
365,216.285
366,280.78
367,212.539
369,237.596
370,220.296
372,251.712
374,235.33
375,240.236
376,271.367
377,236.057
378,219.742
379,262.135
3792,325.081
382,245.981
3822,351.296
384,181.836
