vop,mean,mean err,sigma,sigma err
68.93,314.665,3.84371,27.6384,3.37016
68.98,295.567,4.87323,40.9436,3.76005
69.08,310.373,9.11767,65.3375,7.62987
69.13,242.031,3.70344,36.5573,3.46824
69.23,359.078,4.45861,30.1228,4.53564
69.33,262.287,3.66539,42.7212,3.05243
