vop,mean,mean err,sigma,sigma err
68.93,315.379,3.85222,27.7344,3.31375
68.98,295.567,4.87323,40.9436,3.76005
69.03,274.284,3.22903,44.8753,2.56181
69.08,282.885,4.05198,54.5762,3.22633
69.13,247.49,2.67307,38.7391,2.03412
69.18,265.01,2.94095,42.5535,2.18505
69.23,336.164,3.31756,35.0582,3.06688
69.33,262.362,3.68271,42.8477,3.0535
