,,D,C,B,A
,23,69.18,69.18,69.18,69.18
,24,69.18,69.18,69.18,69.18
sector_8,123,69.18,69.18,69.18,69.18
,123,69.18,69.18,69.18,69.18
,123,69.18,69.18,69.18,69.18
,4,69.18,69.18,69.18,69.18
,5,69.18,69.18,69.18,69.18
,6,69.18,69.18,69.18,69.18
,7,69.18,69.18,69.18,69.18
,8,69.18,69.18,69.18,69.18
,9,69.18,69.18,69.18,69.18
,10,69.18,69.18,69.18,69.18
,11,69.18,69.18,69.18,69.18
,12,69.18,69.18,69.18,69.18
,13,69.08,69.18,69.08,69.08
,14,69.18,69.18,69.18,69.18
,15,69.18,69.18,69.18,69.18
,16,69.18,69.18,69.18,69.18
,17,69.18,69.18,69.18,69.18
,18,69.18,69.18,69.18,69.18
,19,69.08,69.08,69.08,69.08
,20,69.08,69.08,69.08,69.08
,21,69.08,69.08,69.08,69.08
,22,69.08,69.08,69.08,69.08
,23,69.08,69.08,69.08,69.08
,24,69.08,69.08,69.08,69.08
sector_9,123,69.08,69.08,69.08,69.08
,123,69.08,69.08,69.08,69.08
,123,69.08,69.08,69.08,69.08
,4,69.08,69.08,69.08,69.08
,5,69.08,69.08,69.08,69.08
,6,69.08,69.08,69.08,69.08
,7,69.08,69.08,69.08,69.08
,8,69.08,69.08,69.08,69.08
,9,69.08,69.08,69.08,69.08
,10,69.08,69.08,69.08,69.08
,11,69.08,69.08,69.08,69.08
,12,69.08,69.08,69.08,69.08
,13,69.08,69.08,69.08,69.08
,14,69.08,69.08,69.08,69.08
,15,69.08,69.08,69.08,69.08
,16,69.08,69.08,69.08,69.08
,17,69.08,69.08,69.08,69.08
,18,69.08,69.08,69.08,69.08
,19,69.08,69.08,69.08,69.08
,20,69.08,69.08,69.08,69.08
,21,69.08,69.08,69.08,69.08
,22,69.08,69.08,69.08,69.08
,23,69.08,69.08,69.08,69.08
,24,69.08,69.08,69.08,69.08
sector_10,1,69.08,69.08,69.08,69.08
,2,69.08,69.08,69.08,69.08
,3,69.08,69.08,68.93,69.08
,4,69.08,69.08,69.08,69.08
,5,69.08,69.08,69.08,69.08
,6,69.08,69.08,69.08,69.08
,7,69.08,69.08,69.08,69.08
,8,69.08,69.08,69.08,69.08
,9,69.08,69.08,69.08,69.08
,10,69.08,69.08,69.08,69.08
,11,69.08,69.08,69.08,69.08
,12,69.08,69.08,69.08,69.08
,13,69.08,69.08,69.08,69.08
,14,69.08,69.08,69.08,69.08
,15,69.08,69.08,69.08,69.08
,16,69.08,69.08,69.08,69.08
,17,69.08,69.08,69.08,69.08
,18,69.08,69.08,69.08,69.08
,19,69.08,69.08,69.08,69.08
,20,69.08,69.08,69.08,69.08
,21,69.08,69.08,69.08,69.08
,22,69.08,69.08,69.08,69.08
,23,69.08,69.08,69.08,69.08
,24,69.08,69.08,69.08,69.08
sector_11,1,69.08,69.08,69.08,69.08
,2,69.08,69.08,69.08,69.08
,3,69.08,69.08,69.08,69.08
,4,69.08,69.08,69.08,69.08
,5,69.08,69.08,69.08,69.08
,6,69.08,69.08,69.08,69.08
,7,69.08,69.08,69.08,69.08
,8,69.08,69.08,69.08,69.03
,9,69.08,69.08,69.08,69.08
,10,69.08,69.08,69.08,69.08
,11,69.08,69.08,69.08,69.08
,12,69.03,69.08,69.08,69.08
,13,69.03,69.03,69.03,69.03
,14,69.03,69.03,69.03,69.03
,15,69.03,69.03,69.03,69.03
,16,69.03,69.03,69.03,69.03
,17,69.03,69.03,69.03,69.03
,18,69.03,69.03,69.03,69.03
,19,69.03,69.03,69.03,69.03
,20,69.03,69.03,69.03,69.03
,21,69.03,69.03,69.03,69.03
,22,69.03,69.03,69.03,69.03
,23,69.03,69.03,69.03,69.03
,24,69.03,69.03,69.03,69.03
sector_12,1,69.03,69.03,69.03,69.03
,2,69.03,69.03,69.03,69.03
,3,69.03,69.03,69.03,69.03
,4,69.03,69.03,69.03,69.03
,5,69.03,69.03,69.03,69.03
,6,69.03,69.03,69.03,69.03
,7,69.03,69.03,69.03,69.03
,8,69.03,69.03,69.03,69.03
,9,69.03,69.03,69.03,69.03
,10,69.03,69.03,69.03,69.03
,11,69.03,69.03,69.03,69.03
,12,69.03,69.03,69.03,69.03
,13,69.03,69.03,69.03,69.03
,14,69.03,69.03,69.03,69.03
,15,69.03,69.03,69.03,69.03
,16,69.03,69.03,69.03,69.03
,17,69.03,69.03,69.03,69.03
,18,69.03,69.03,69.03,69.03
,19,69.03,69.03,69.03,69.03
,20,69.03,69.03,69.03,69.03
,21,69.03,69.03,69.03,69.03
,22,69.03,69.03,69.03,69.03
,23,69.03,69.03,69.03,69.03
,24,69.03,69.03,69.03,69.03
sector_13,1,69.03,69.23,69.03,69.03
,2,69.03,69.03,69.03,69.23
,3,69.23,69.03,69.03,69.03
,4,69.03,69.03,69.03,69.03
,5,69.03,69.03,69.03,69.03
,6,69.03,69.03,69.03,69.03
,7,69.03,69.03,69.03,69.03
,8,69.03,69.03,69.03,69.03
,9,69.03,69.03,69.03,69.03
,10,69.03,69.03,69.03,69.03
,11,69.03,69.03,69.03,69.03
,12,69.03,69.03,69.03,69.03
,13,69.03,69.03,69.03,69.03
,14,69.03,69.03,69.03,69.03
,15,69.03,69.03,69.03,69.03
,16,69.03,69.03,69.03,69.03
,17,69.03,69.03,69.03,69.03
,18,69.03,69.03,69.03,69.03
,19,69.03,69.03,69.03,69.03
,20,69.03,69.03,69.03,69.03
,21,69.03,69.03,69.03,69.03
,22,69.03,69.03,69.03,69.03
,23,69.03,69.03,69.03,69.03
,24,69.03,69.03,69.03,69.03
sector_14,1,69.23,69.23,69.23,69.23
,2,69.23,69.23,69.23,69.23
,3,69.23,69.23,69.23,69.23
,4,69.23,69.23,69.23,69.23
,5,69.23,69.23,69.23,69.23
,6,69.23,69.23,69.23,69.23
,7,69.23,69.23,69.23,69.23
,8,69.23,69.23,69.23,69.23
,9,69.23,69.23,69.23,69.23
,10,69.23,69.23,69.23,69.23
,11,69.23,69.23,69.23,69.23
,12,69.23,69.23,69.23,69.23
,13,69.23,69.23,69.23,69.23
,14,69.23,69.23,69.23,69.23
,15,69.23,69.23,69.23,69.23
,16,69.23,69.23,69.23,69.23
,17,69.23,69.23,69.23,69.23
,18,69.23,69.23,69.23,69.23
,19,69.23,69.23,69.23,69.23
,20,69.23,69.23,69.23,69.23
,21,69.23,69.23,69.23,69.23
,22,69.23,69.23,69.23,69.23
,23,69.23,69.23,69.23,69.23
,24,69.23,69.23,69.23,69.23
sector_15,1,69.23,69.23,69.23,69.23
,2,69.23,69.23,69.23,69.23
,3,69.23,69.23,69.23,69.23
,4,69.23,69.23,69.23,69.23
,5,69.23,69.23,69.23,69.23
,6,69.23,69.23,69.23,69.23
,7,69.23,69.23,69.23,69.23
,8,69.23,69.23,69.23,69.23
,9,69.23,69.23,69.23,69.23
,10,69.23,69.23,69.23,69.23
,11,69.23,69.23,69.23,69.23
,12,69.23,69.23,69.23,69.23
,13,69.23,69.23,69.23,69.23
,14,69.23,69.23,69.23,69.23
,15,69.23,69.23,69.23,69.23
,16,69.23,69.23,69.23,69.23
,17,69.23,69.23,69.23,69.23
,18,69.23,69.23,69.23,69.23
,19,69.23,69.23,69.23,69.23
