channel_num, sp_gap, chisqr/ndf, gauss1 mean, gauss1 ampl, gauss1 sigma, gauss2 ampl, gauss2 sigma, gauss3 ampl, gauss3 sigma, gauss4 ampl, gauss4 sigma, gauss5 ampl, gauss5 sigma, landau ampl, landau mpv, landau sigma, actual peak1 height, actual peak2 height
0, 39.999989, 122707867112272.125000, 122.767276, 39065306.760925, 16.297101, 0.535141, 36.270046, 0.365329, 36.270045, 0.365329, 36.270045, 0.000000, 0.000000, 9066.225134, 7.447393, 1.766388, 1637.865141, 39065309.439621
1, 20.000000, 1.373522, 89.006559, -8.223093, -5016.675255, 89.526191, 34.181932, 25.606620, 23.333605, 25.606620, 23.333605, 0.000000, 0.000000, 475.765639, 42.456064, 17.716330, 90.813281, 112.024847
2, 38.497813, 334145.265320, 11.531754, 1919.817302, 4.583298, 0.000000, 8.874730, 139.231729, 8.858573, 139.231729, 8.858573, 0.000000, 0.000000, 3692.030637, 5.917184, 1.472290, 2138.063076, 2142.376700
3, 40.000000, 9788754.386397, 77.295681, 37515.447235, 10.373530, 1.913620, 36.641740, 0.979576, 36.641740, 0.979576, 36.641740, 0.000000, 0.000000, 9229.572757, 7.190872, 1.741773, 1667.394900, 37523.138673
4, 40.000000, 1764585.292432, 72.896068, 16745.999557, 10.490514, 0.955794, 31.614780, 0.626265, 31.614780, 0.626265, 31.614780, 0.000000, 0.000000, 8592.982333, 8.356484, 1.990685, 1552.374621, 16755.958884
5, 20.000000, 55.103838, 45.312495, 271.408829, 3.791810, 3.868774, 37.145648, 1.324941, 37.145648, 1.324941, 37.145648, 0.000000, 0.000000, 8926.107765, 7.495028, 1.806537, 1613.928177, 300.620857
6, 20.000000, 71.639024, 7.833842, 83.185422, 6.228903, 0.000000, 37.649237, 0.000000, 40.643661, 0.000000, 40.643661, 0.000000, 0.000000, 7018.442976, 8.321669, 2.112512, 1364.446748, 1364.446748
7, 40.000000, 845.836987, 155.469411, 958.527286, 20.737310, 799.317642, 19.448709, 901011.437787, 19.467946, 901011.437787, 19.467946, 0.000000, 0.000000, 232.642351, 71.044091, 25.800644, 42.108423, 1104.480901
8, 29.237114, 45.957539, 19.056591, -468.584166, 9.883854, 0.000000, 35.639629, 0.000000, 35.643289, 0.000000, 35.643289, 0.000000, 0.000000, 9973.923839, 9.132545, 3.334120, 1545.610182, 836.106068
9, 28.095647, 1.934752, 50.190069, 101.185728, 15.290408, 2.905279, 30.523034, 14.351490, 35.966293, 14.351490, 35.966293, 0.000000, 0.000000, 412.223799, 20.586890, 7.496512, 96.084932, 150.281953
10, 20.283763, 56.219795, 10.507038, 861.019820, 3.584558, 0.000000, 34.047497, 0.000000, 34.053034, 0.000000, 34.053034, 0.000000, 0.000000, 3563.632269, 7.192782, 2.491604, 1381.517690, 1381.517690
