channel_num, sp_gap, chisqr/ndf, gauss1 mean, gauss1 ampl, gauss1 sigma, gauss2 ampl, gauss2 sigma, gauss3 ampl, gauss3 sigma, gauss4 ampl, gauss4 sigma, gauss5 ampl, gauss5 sigma, landau ampl, landau mpv, landau sigma, actual peak1 height, actual peak2 height
0, 25.155158, 26.890581, 30.181292, 9489.262939, 7.917781, 4179.324739, 7.060795, 408.488434, 9.212570, 408.488434, 9.212570, 0.000000, 0.000000, 51367.979581, 7.938875, 2.926060, 9428.154270, 10535.418172
1, 24.557737, 32.344975, 29.913015, 9502.878388, 8.266480, 4211.124615, 6.771480, 422.257029, 9.241973, 422.257029, 9.241973, 0.000000, 0.000000, 49249.281106, 7.764850, 2.860719, 9115.670472, 10473.743823
2, 25.569224, 21.068151, 30.606635, 9863.780925, 7.442235, 4211.274002, 7.070014, 387.517318, 8.972326, 387.517318, 8.972326, 0.000000, 0.000000, 52463.374651, 8.193386, 2.974373, 9559.659168, 10944.381546
3, 25.364843, 21.790613, 30.609112, 9904.491787, 7.406708, 4175.020855, 7.081500, 390.407184, 8.937417, 390.407184, 8.937417, 0.000000, 0.000000, 51725.593590, 8.216362, 3.007311, 9423.457353, 10992.754833
4, 25.318992, 18.331758, 29.920360, 9428.793253, 6.572542, 3360.049633, 6.806424, 258.638419, 8.426657, 258.638419, 8.426657, 0.000000, 0.000000, 72210.388286, 8.063827, 2.978016, 13071.981057, 10988.819816
5, 25.208608, 21.208957, 29.986293, 9669.186017, 7.086178, 3816.171820, 6.907434, 304.423139, 8.605274, 304.423139, 8.605274, 0.000000, 0.000000, 63097.413410, 7.906472, 2.903569, 11455.937833, 10949.641636
6, 25.798563, 18.475757, 29.920553, 9658.031605, 6.349956, 3266.791439, 7.038816, 224.436064, 8.180413, 224.436064, 8.180413, 0.000000, 0.000000, 75909.679829, 7.852547, 2.865705, 13729.723422, 11161.722526
7, 25.373671, 20.145192, 29.982928, 9820.800921, 6.679694, 3620.825825, 6.905142, 288.555008, 8.334870, 288.555008, 8.334870, 0.000000, 0.000000, 67925.527435, 7.870119, 2.880710, 12300.975873, 11173.695372
8, 26.314353, 19.872522, 31.769126, 8759.920964, 6.532850, 3319.265582, 7.593791, 351.507997, 8.790303, 351.507997, 8.790303, -0.115525, 0.000000, 71471.981966, 8.114928, 2.982041, 12920.415116, 10104.580592
9, 26.544243, 19.531221, 31.392566, 8471.799074, 5.900717, 2616.715150, 7.072770, 183.796122, 8.502290, 183.796122, 8.502290, 0.000000, 0.000000, 88032.286333, 7.980369, 2.941432, 15905.597437, 10113.529159
