channel_num, sp_gap, chisqr/ndf, gauss1 mean, gauss1 ampl, gauss1 sigma, gauss2 ampl, gauss2 sigma, gauss3 ampl, gauss3 sigma, gauss4 ampl, gauss4 sigma, gauss5 ampl, gauss5 sigma, landau ampl, landau mpv, landau sigma, actual peak1 height, actual peak2 height
0, 25.933883, 21.825865, 31.065647, 10681.606459, 7.628504, 4711.170398, 7.423380, 446.355842, 9.239699, 446.355842, 9.239699, 0.000000, 0.000000, 55241.013723, 8.279819, 3.022603, 10075.608254, 11821.743020
1, 25.335290, 23.891172, 30.822139, 10764.948114, 7.596403, 4668.121747, 7.076479, 460.991853, 9.096070, 460.991853, 9.096070, 0.000000, 0.000000, 56175.862035, 8.178472, 3.018668, 10247.011550, 11932.334433
2, 26.958663, 15.430882, 32.008453, 10977.314827, 6.793923, 4016.991581, 7.572556, 337.802210, 9.012287, 337.802210, 9.012287, 0.000000, 0.000000, 66752.600383, 8.432244, 3.055287, 12078.043656, 12291.599974
3, 26.013903, 20.521838, 31.204109, 10901.040065, 7.217759, 4541.287868, 7.376663, 422.389791, 8.884580, 422.389791, 8.884580, 0.000000, 0.000000, 59203.077891, 8.245569, 3.019800, 10747.170568, 12101.343117
4, 25.273179, 25.162358, 29.971212, 10381.597481, 7.862147, 4443.223156, 7.039283, 393.781452, 9.156345, 393.781452, 9.156345, 0.000000, 0.000000, 59434.900474, 8.121869, 3.012398, 10912.882663, 11698.057051
5, 25.065511, 25.631001, 29.980600, 10402.722489, 7.933198, 4429.321705, 7.071294, 365.648874, 9.284643, 365.648874, 9.284643, 0.000000, 0.000000, 60056.690367, 8.012591, 2.962904, 11031.613542, 11683.737376
6, 28.825484, 43.968143, 32.559789, 9002.832909, 5.291206, 2203.318900, 7.000340, 119.575093, 6.687938, 119.575093, 6.687938, 0.000000, 0.000000, 121865.552644, 7.655073, 2.667097, 22015.780177, 10689.052640
7, 27.932699, 35.850023, 32.307953, 9284.174667, 5.473569, 2443.760122, 6.926356, 115.145040, 8.351009, 115.145040, 8.351009, 0.000000, 0.000000, 115564.718031, 7.656714, 2.698157, 20877.639137, 10950.685070
8, 27.041319, 18.272497, 32.551931, 9523.842946, 6.329281, 3302.583457, 7.752078, 291.361901, 9.143468, 291.361901, 9.143468, 0.000000, 0.000000, 85924.185593, 8.223737, 2.991115, 15526.604369, 11066.385375
9, 26.553082, 18.360029, 31.897033, 9321.711618, 6.047778, 2921.205114, 7.386231, 201.919791, 8.849569, 201.919791, 8.849569, 0.000000, 0.000000, 94354.126281, 8.163109, 2.995308, 17048.326170, 11097.247228
10, 26.325046, 15.325784, 31.194931, 10471.670425, 6.857430, 3712.659643, 7.552894, 277.861204, 8.942319, 277.861204, 8.942319, 0.000000, 0.000000, 73606.993317, 8.275170, 3.038505, 13325.786183, 11987.277933
11, 25.815620, 22.220245, 30.783019, 10710.884618, 7.694097, 4530.899726, 7.403690, 412.607930, 9.180747, 412.607930, 9.180747, 0.000000, 0.000000, 56781.920766, 8.153599, 3.013017, 10369.159194, 11891.390429
12, 28.096549, 18.304473, 34.017737, 6712.339221, 11.237965, 4651.967583, 10.093558, 1228.503092, 13.906605, 1228.503092, 13.906605, 0.000000, 0.000000, 21491.363265, 9.426457, 3.443854, 4459.292875, 7284.409458
13, 26.740023, 19.895932, 31.784757, 9178.190928, 7.318199, 3966.104610, 8.080430, 485.182344, 9.539184, 485.182344, 9.539184, 0.000000, 0.000000, 67702.936905, 8.255868, 3.070811, 12269.708444, 10544.585077
14, 26.382796, 22.428265, 31.580990, 9784.179381, 8.455265, 4789.664554, 8.087437, 549.447172, 9.996211, 549.447172, 9.996211, 0.000000, 0.000000, 46308.889253, 8.589976, 3.191598, 8564.465332, 10833.173680
15, 25.748623, 28.024348, 31.278446, 9965.030456, 8.847684, 5220.571301, 7.709150, 613.442094, 10.087614, 613.442094, 10.087614, 0.000000, 0.000000, 40598.726363, 8.396662, 3.068496, 7633.695394, 10829.740886
16, 27.026228, 16.920558, 31.585239, 11136.507610, 6.440806, 3858.740598, 7.547388, 322.173642, 8.484276, 322.173642, 8.484276, 0.000000, 0.000000, 71837.123157, 8.322345, 2.991515, 12989.019178, 12530.035640
17, 25.804886, 23.918885, 31.153728, 10825.827791, 7.425981, 4816.787526, 7.266057, 474.273931, 8.964181, 474.273931, 8.964181, 0.000000, 0.000000, 55277.084371, 8.115835, 2.975493, 10053.425210, 11910.845556
18, 26.684579, 14.937748, 31.056387, 10793.722814, 6.624526, 3842.356077, 7.398402, 296.627078, 8.607068, 296.627078, 8.607068, 0.000000, 0.000000, 73782.955351, 8.214149, 2.993312, 13349.275259, 12277.082527
19, 26.561508, 17.333887, 31.097370, 10818.137347, 6.827173, 4020.490442, 7.567153, 322.494521, 8.713524, 322.494521, 8.713524, 0.000000, 0.000000, 70482.697678, 7.928505, 2.900933, 12757.870976, 12126.051338
20, 27.052167, 31.951224, 31.885105, 9285.870597, 5.507499, 2422.733503, 7.049066, 129.813042, 8.388001, 129.813042, 8.388001, 0.000000, 0.000000, 113266.593191, 7.859149, 2.760868, 20462.666126, 11076.894144
21, 26.917794, 30.648806, 31.594383, 9248.689921, 5.599504, 2464.170106, 7.025928, 136.585658, 8.352479, 136.585658, 8.352479, 0.000000, 0.000000, 110630.420018, 7.822670, 2.782167, 19986.709791, 11059.767698
22, 25.483582, 21.429244, 29.817271, 10735.109340, 7.196634, 4081.529299, 6.907504, 297.216691, 8.809714, 297.216691, 8.809714, 0.000000, 0.000000, 68808.696552, 8.191395, 3.007397, 12520.352683, 12278.032431
23, 26.294827, 19.889238, 31.035494, 10767.578926, 7.395951, 4609.921300, 7.548393, 416.699535, 8.989377, 416.699535, 8.989377, 0.000000, 0.000000, 56606.107493, 8.272914, 3.054540, 10298.070160, 11958.911209
24, 27.266611, 27.736225, 32.174889, 9470.261566, 5.647671, 2533.517121, 7.168199, 135.683397, 8.595821, 135.683397, 8.595821, 0.000000, 0.000000, 109119.222470, 7.896840, 2.799288, 19713.570961, 11205.999732
25, 25.942094, 22.890851, 32.766839, 9047.776771, 5.483419, 2384.320389, 6.799035, 105.817273, 8.976619, 105.817273, 8.976619, 0.000000, 0.000000, 105444.086422, 8.509801, 3.055270, 19049.360238, 11018.324339
26, 26.706614, 16.408822, 31.510984, 10851.062676, 6.408381, 3665.343724, 7.395396, 266.553955, 8.543874, 266.553955, 8.543874, 0.000000, 0.000000, 77305.966313, 8.371821, 3.027526, 13976.676142, 12399.035997
27, 26.296283, 18.628593, 30.658769, 10570.609578, 6.054218, 3235.870383, 7.076493, 191.006135, 8.230729, 191.006135, 8.230729, 0.000000, 0.000000, 91346.114950, 8.035248, 2.896378, 16508.753691, 12331.471956
28, 25.545397, 18.443979, 31.292864, 10207.257910, 6.970576, 4021.377670, 7.272070, 344.473705, 8.992111, 344.473705, 8.992111, 0.000000, 0.000000, 73200.074793, 8.227817, 3.013880, 13255.158496, 11677.273655
29, 24.940729, 17.960098, 30.602761, 10658.196786, 6.570319, 3751.142937, 6.728111, 249.993770, 8.468974, 249.993770, 8.468974, 0.000000, 0.000000, 80781.119120, 8.074608, 2.952985, 14614.715292, 12284.802064
30, 26.260935, 13.785982, 31.081004, 9946.375216, 6.857128, 3618.820559, 7.475944, 271.742144, 9.109117, 271.742144, 9.109117, 0.000000, 0.000000, 77938.153560, 8.305397, 3.056792, 14108.744738, 11589.819849
31, 25.949300, 18.773708, 31.032448, 10859.228729, 7.226623, 4390.537213, 7.356893, 381.346865, 8.876878, 381.346865, 8.876878, 0.000000, 0.000000, 62636.926841, 8.227983, 3.042280, 11371.645659, 12162.398390
32, 26.694770, 42.037986, 32.399426, 8170.103878, 5.423974, 1966.743782, 6.827591, 69.278691, 8.813641, 69.278691, 8.813641, 0.000000, 0.000000, 127159.984054, 7.791106, 2.699778, 22972.333961, 10019.068326
33, 25.551390, 20.283246, 30.461474, 10523.973929, 6.700651, 3836.137353, 7.045378, 298.955404, 8.549334, 298.955404, 8.549334, 0.000000, 0.000000, 77979.713689, 7.830572, 2.871780, 14112.893425, 12006.791914
34, 29.150916, 48.765216, 33.290854, 8522.566725, 5.276083, 2103.721632, 6.942505, 120.850301, 7.281089, 120.850301, 7.281089, 0.000000, 0.000000, 122609.869851, 7.838183, 2.706489, 22150.206854, 10196.627451
35, 28.576504, 52.144968, 32.390491, 8311.674631, 5.129075, 2049.672941, 6.742625, 114.706211, 6.795115, 114.706211, 6.795115, 0.000000, 0.000000, 127719.400329, 7.650351, 2.656254, 23073.271161, 10089.544195
36, 26.495075, 17.922035, 31.715254, 11212.366937, 6.738295, 4326.918555, 7.394270, 385.484134, 8.681954, 385.484134, 8.681954, 0.000000, 0.000000, 67116.751801, 7.991409, 2.888579, 12141.297717, 12392.732530
37, 27.272913, 11.980925, 32.146450, 10844.884694, 6.894560, 4263.939343, 7.797636, 404.179479, 9.116567, 404.179479, 9.116567, 0.000000, 0.000000, 63755.849722, 8.218534, 2.991508, 11536.645438, 12023.583735
38, 26.188383, 19.827937, 31.562329, 10937.405330, 6.863731, 4269.380196, 7.284515, 387.662106, 8.802789, 387.662106, 8.802789, 0.000000, 0.000000, 67026.223128, 8.062167, 2.955994, 12131.096426, 12188.700642
39, 26.115369, 16.187884, 31.539191, 10894.779775, 6.597794, 3924.979806, 7.197673, 315.667838, 8.699280, 315.667838, 8.699280, 0.000000, 0.000000, 71764.656251, 8.373566, 3.045819, 12980.641838, 12344.080693
