channel_num, sp_gap, chisqr/ndf, gauss1 mean, gauss1 ampl, gauss1 sigma, gauss2 ampl, gauss2 sigma, gauss3 ampl, gauss3 sigma, gauss4 ampl, gauss4 sigma, gauss5 ampl, gauss5 sigma, landau ampl, landau mpv, landau sigma, actual peak1 height, actual peak2 height
0, 28.393450, 26.014113, 32.802303, 18064.453870, 6.647813, 7212.628038, 8.049002, 788.829791, 8.877891, 788.829791, 8.877891, 0.000000, 0.000000, 103409.269930, 7.914564, 2.851091, 18692.865970, 19691.235505
1, 27.551461, 32.525962, 32.459063, 17985.767767, 6.551230, 6928.698372, 7.712032, 771.157087, 8.681100, 771.157087, 8.681100, 0.000000, 0.000000, 109176.077468, 7.882735, 2.853578, 19734.229124, 19744.197113
2, 27.696408, 27.962345, 32.433939, 16562.645056, 7.531197, 8240.940744, 8.214685, 1070.754605, 9.541249, 1070.754605, 9.541249, -0.177181, 0.000000, 76165.746358, 8.364057, 3.082854, 13835.222087, 18046.042817
3, 27.368262, 30.254710, 32.534485, 15781.062310, 8.154546, 8756.484885, 8.222651, 1218.491149, 10.030303, 1218.491149, 10.030303, 0.000000, 0.000000, 63682.581636, 8.484541, 3.143224, 11665.864616, 17076.238165
4, 27.940665, 30.755594, 31.802936, 18087.889070, 6.266665, 6515.330036, 7.658525, 656.502703, 8.334845, 656.502703, 8.334845, 0.000000, 0.000000, 122997.277722, 7.920795, 2.834555, 22228.766025, 20148.111306
5, 27.441143, 29.260157, 31.824238, 17812.344061, 6.653762, 7095.748279, 7.714963, 734.865740, 8.593117, 734.865740, 8.593117, 0.000000, 0.000000, 109333.010958, 7.937976, 2.880456, 19771.631415, 19702.533334
6, 28.045738, 29.285456, 32.164422, 16703.692524, 7.561665, 8359.744774, 8.449419, 1131.893930, 9.308575, 1131.893930, 9.308575, 0.000000, 0.000000, 71576.622286, 8.445568, 3.135831, 13022.982557, 18183.749843
7, 27.254373, 34.792439, 31.659227, 17034.496897, 7.424627, 8336.213008, 7.972228, 1051.578874, 9.060469, 1051.578874, 9.060469, 0.000000, 0.000000, 80100.558829, 8.221212, 3.012842, 14559.129472, 18600.804102
8, 28.595543, 27.142528, 33.112792, 18231.891019, 6.868647, 7671.759841, 8.346223, 888.784267, 9.114816, 888.784267, 9.114816, 0.000000, 0.000000, 88577.300341, 8.175079, 2.975754, 16019.595348, 19740.103725
9, 27.105438, 34.536620, 31.853384, 17591.728671, 7.141742, 7938.517577, 7.820815, 969.869258, 8.863993, 969.869258, 8.863993, 0.000000, 0.000000, 88638.369161, 8.023797, 2.962411, 16062.577720, 19217.834395
10, 28.588206, 21.969184, 32.916238, 17418.908870, 6.936045, 7368.402398, 8.380498, 829.955033, 9.280131, 829.955033, 9.280131, 0.000000, 0.000000, 93846.667167, 8.289225, 3.030080, 16976.475376, 19108.999722
11, 28.620436, 20.850106, 33.286844, 17620.037453, 7.049919, 7638.682258, 8.394506, 886.641586, 9.501775, 886.641586, 9.501775, 0.000000, 0.000000, 85911.974585, 8.323032, 3.061776, 15544.159399, 19159.355821
12, 28.185017, 24.887405, 32.991672, 16978.036295, 7.310142, 8074.038065, 8.366194, 1041.753910, 9.543347, 1041.753910, 9.543347, 0.000000, 0.000000, 80200.266192, 8.389561, 3.069673, 14531.770985, 18466.546688
13, 28.544098, 20.801706, 32.712055, 17632.823344, 6.952899, 7503.264446, 8.344405, 839.664556, 9.146112, 839.664556, 9.146112, 0.000000, 0.000000, 93000.987054, 8.233556, 3.009964, 16826.691842, 19305.665099
14, 27.825899, 28.285559, 32.526518, 15928.278022, 7.882842, 8447.768209, 8.525524, 1189.284206, 9.783931, 1189.284206, 9.783931, 0.000000, 0.000000, 69599.152671, 8.505859, 3.154028, 12691.961601, 17358.784593
