channel, first gap spacing, first gap spacing err, other gap spacing, other gap spacing err, 1st peak amplitude, 1st peak amplitude err, 1st peak mean, 1st peak mean err, 1st peak sigma, 1st peak sigma err, 2nd peak amplitudes, 2nd peak amplitudes err, 2nd peak sigmas, 2nd peak sigmas err, 3rd peak amplitudes, 3rd peak amplitudes err, 3rd peak sigmas, 3rd peak sigmas err, 4th peak amplitudes, 4th peak amplitudes err, 4th peak sigmas, 4th peak sigmas err, 5th peak amplitudes, 5th peak amplitudes err, 5th peak sigmas, 5th peak sigmas err, 6th peak amplitudes, 6th peak amplitudes err, 6th peak sigmas, 6th peak sigmas err
0,23.004029,0.045283,25.732891,0.057072,7346.032501,28.864025,1537.198113,0.057855,8.009601,0.032562,14109.358072,37.454327,8.119467,0.035462,6233.367673,25.107580,8.408668,0.043172,1877.839638,14.578253,8.777554,0.081077,500.342515,8.911978,10.412948,0.233890,178.703807,4.529003,17.703442,0.655667
1,22.584505,0.045612,24.581738,0.061966,7587.637437,30.786570,1532.381327,0.060029,8.043609,0.032932,14392.494323,38.046077,8.195679,0.036480,5924.834836,26.009786,7.970862,0.042949,1826.041298,14.313025,8.882817,0.087548,461.419068,7.958466,10.087997,0.213982,176.420044,3.179722,20.000000,1.713022
2,23.421901,0.053011,25.593978,0.061367,6393.941703,26.722597,1466.936596,0.066785,8.381129,0.037014,13831.623010,37.064509,8.150592,0.036478,6602.689950,25.921386,8.360466,0.042193,2054.342387,15.164863,9.358360,0.088329,537.099828,8.363100,11.035863,0.212545,204.216469,3.714019,20.000000,0.381934
3,22.716705,0.041420,24.040110,0.066753,8971.074520,28.660640,1548.091973,0.047288,8.096082,0.028604,14526.239622,39.447405,7.296326,0.033429,5130.857724,25.644606,8.196304,0.055830,1471.346446,11.397366,17.210741,0.134123,10.000000,0.423691,2.000000,0.104628,215.420158,4.559821,19.906609,0.518449
4,22.588522,0.027225,28.188937,0.056489,18459.626315,40.672276,1572.499390,0.024180,7.496204,0.016001,10583.200857,33.526734,7.570346,0.032479,2818.132574,16.044762,8.226468,0.052504,801.743423,8.489550,8.550538,0.106895,210.469643,4.800705,8.494134,0.249314,74.935071,2.073590,20.000000,0.846452
5,22.775918,0.026609,27.489285,0.061721,20311.312290,42.443465,1489.681506,0.020250,7.383529,0.014130,10035.757028,33.428272,7.184643,0.031309,2644.708590,15.866831,7.809070,0.051869,666.010178,7.773036,8.483638,0.112066,171.359757,4.459164,8.828743,0.308728,71.271355,1.944544,20.000000,0.621321
6,23.861077,0.024051,28.945581,0.051543,17304.129973,38.751131,1545.329759,0.021488,7.511756,0.015216,11640.707473,35.274122,7.175799,0.026545,3177.118042,16.774722,8.485869,0.050812,896.247267,8.968020,8.595378,0.098898,227.486422,4.716097,9.796757,0.280811,86.770344,2.620016,20.000000,0.758536
7,23.333551,0.025242,28.322089,0.054681,17806.941492,39.794220,1518.964944,0.021754,7.400792,0.015130,11139.321086,34.473597,7.402859,0.029450,3166.312486,16.863587,8.243884,0.048623,835.875756,8.717776,8.619249,0.105874,220.995207,4.801421,9.270829,0.282047,83.121049,2.353572,20.000000,0.540037
8,22.943532,0.025968,25.573914,0.078013,16252.593403,37.318368,1489.564814,0.025418,7.658658,0.017367,12424.099812,37.654893,6.808213,0.030402,3121.157229,19.380731,8.553335,0.062852,813.925063,8.008271,17.600926,0.185718,10.000000,0.379893,2.000000,0.091279,126.785767,3.227957,19.373846,0.799410
9,22.179773,0.025151,26.930666,0.064946,17822.280182,40.427720,1503.748380,0.024957,7.369156,0.016434,11611.348059,35.786144,7.335878,0.032121,3222.048906,17.738573,7.696316,0.048294,855.471547,9.227537,8.615519,0.107358,211.522130,8.634408,9.472346,0.308606,78.665870,2.705436,19.921902,16.118593
