channel_num, sp_gap, chisqr/ndf, gauss1 mean, gauss1 ampl, gauss1 sigma, gauss2 ampl, gauss2 sigma, gauss3 ampl, gauss3 sigma, gauss4 ampl, gauss4 sigma, gauss5 ampl, gauss5 sigma, landau ampl, landau mpv, landau sigma, actual peak1 height, actual peak2 height
0, 27.641136, 49.183363, 32.342788, 9403.511118, 5.221144, 2422.117191, 6.642176, 121.399317, 7.635136, 121.399317, 7.635136, 0.000000, 0.000000, 138998.172214, 7.663326, 2.712385, 25110.878925, 11425.749293
1, 27.201523, 43.124941, 31.995759, 9602.758692, 5.273510, 2539.281349, 6.767069, 141.172659, 8.315080, 141.172659, 8.315080, 0.000000, 0.000000, 134610.993321, 7.631842, 2.729750, 24318.364054, 11633.246151
2, 28.448343, 53.707011, 33.034865, 9193.180773, 5.274416, 2264.729662, 6.796999, 119.673540, 7.409414, 119.673540, 7.409414, 0.000000, 0.000000, 140099.320182, 7.787438, 2.718665, 25309.787223, 11154.495394
3, 28.177421, 58.425722, 32.714619, 9347.670504, 5.173152, 2354.106212, 6.609439, 127.773017, 7.707579, 127.773017, 7.707579, 0.000000, 0.000000, 142102.996218, 7.644551, 2.663611, 25671.749149, 11286.213834
4, 26.195636, 16.893704, 30.864947, 11713.836460, 6.563538, 4023.543332, 7.147566, 288.846438, 8.677468, 288.846438, 8.677468, 0.000000, 0.000000, 88992.663845, 8.238416, 3.027364, 16098.593466, 13572.668058
5, 25.540110, 16.994971, 30.511075, 11594.686473, 6.735461, 4184.283897, 6.949384, 295.424784, 8.680921, 295.424784, 8.680921, 0.000000, 0.000000, 87378.098113, 8.136042, 3.008724, 15818.817200, 13438.843266
6, 26.503677, 15.714915, 30.921663, 11619.761839, 6.492128, 3905.495516, 7.230299, 273.278472, 8.678497, 273.278472, 8.678497, 0.000000, 0.000000, 91515.914893, 8.200824, 3.013430, 16550.546982, 13501.748085
7, 26.022624, 17.968233, 31.030415, 10794.228955, 6.059810, 3324.555587, 6.883718, 172.588450, 8.608880, 172.588450, 8.608880, 0.000000, 0.000000, 107268.670954, 8.206564, 2.995772, 19384.585052, 12961.588634
8, 25.746989, 21.787501, 30.788009, 12238.327281, 7.191080, 4957.952646, 7.182663, 422.904739, 8.849829, 422.904739, 8.849829, 0.000000, 0.000000, 71217.777220, 8.067257, 2.978817, 12928.395499, 13673.638159
9, 25.429470, 20.843980, 30.417199, 11989.337062, 6.719902, 4349.270912, 6.893403, 315.933900, 8.541177, 315.933900, 8.541177, 0.000000, 0.000000, 86404.356391, 7.917134, 2.926077, 15641.317018, 13705.147336
