channel_num, sp_gap, chisqr/ndf, gauss1 mean, gauss1 ampl, gauss1 sigma, gauss2 ampl, gauss2 sigma, gauss3 ampl, gauss3 sigma, gauss4 ampl, gauss4 sigma, gauss5 ampl, gauss5 sigma, landau ampl, landau mpv, landau sigma
344, 25.664236, 19.751883, 31.167657, 12183.205837, 6.902220, 4613.550264, 7.140371, 365.676460, 8.835983, 365.676460, 8.835983, 0.000000, 0.000000, 75229.389592, 8.307350, 3.027945
345, 25.585769, 18.729187, 30.994538, 12161.222882, 7.058307, 4713.466784, 6.998279, 352.133393, 8.941282, 352.133393, 8.941282, 0.000000, 0.000000, 77031.235936, 8.102856, 2.949865
346, 26.040921, 15.262098, 31.387233, 12139.331384, 6.787098, 4382.058384, 7.258873, 321.292418, 8.950471, 321.292418, 8.950471, 0.000000, 0.000000, 79255.717001, 8.361293, 3.045655
347, 26.019362, 17.845222, 30.894371, 12291.548481, 6.941039, 4701.857644, 7.221682, 357.295349, 8.789280, 357.295349, 8.789280, 0.000000, 0.000000, 74499.833697, 8.265773, 3.020323
348, 26.449252, 17.234104, 31.623829, 12123.464526, 7.152565, 4883.462324, 7.516756, 426.588885, 9.148570, 426.588885, 9.148570, 0.000000, 0.000000, 65867.902808, 8.544977, 3.106399
349, 26.994961, 15.110381, 31.689847, 12021.289450, 6.857669, 4445.568703, 7.765274, 361.622622, 8.952645, 361.622622, 8.952645, 0.000000, 0.000000, 75101.491289, 8.410118, 3.033437
350, 25.416876, 22.513680, 30.525144, 11885.862375, 7.041217, 4490.880279, 7.025248, 352.164679, 8.780036, 352.164679, 8.780036, 0.000000, 0.000000, 77435.624934, 8.177037, 3.004216
351, 26.137502, 19.837648, 30.830575, 11539.463267, 6.214233, 3690.384742, 6.992619, 224.011688, 8.415375, 224.011688, 8.415375, 0.000000, 0.000000, 99453.978711, 8.025974, 2.891255
352, 27.036010, 21.922640, 32.481138, 11127.867670, 6.044455, 3266.264110, 7.283806, 155.656462, 9.049756, 155.656462, 9.049756, 0.000000, 0.000000, 106320.993870, 8.419883, 2.988114
353, 26.318250, 18.338712, 31.986873, 11766.097107, 6.572019, 4170.851392, 7.401650, 315.881994, 8.908420, 315.881994, 8.908420, 0.000000, 0.000000, 86680.741723, 8.394303, 3.030215
354, 27.583259, 27.352557, 32.472276, 10703.768084, 5.557004, 2817.074996, 7.189632, 125.759267, 8.197819, 125.759267, 8.197819, 0.000000, 0.000000, 117627.664280, 8.407361, 2.972916
355, 27.248934, 17.484622, 32.558250, 11930.381733, 6.267857, 3835.997164, 7.522934, 244.430089, 9.082700, 244.430089, 9.082700, 0.000000, 0.000000, 90746.626562, 8.541630, 3.076658
356, 25.985359, 21.851870, 31.641706, 12123.796080, 6.050903, 3793.010330, 6.982372, 232.267687, 8.373182, 232.267687, 8.373182, 0.000000, 0.000000, 97176.882915, 8.217329, 2.945585
357, 26.204424, 23.435027, 31.567979, 10951.896404, 5.893332, 3141.263081, 7.018884, 156.039238, 8.598917, 156.039238, 8.598917, 0.000000, 0.000000, 110599.332705, 8.258254, 2.957371
358, 26.256369, 15.954364, 31.364499, 12128.995579, 6.571155, 4204.253815, 7.288708, 301.996862, 8.675317, 301.996862, 8.675317, 0.000000, 0.000000, 82250.913178, 8.503002, 3.104379
359, 25.923203, 20.350293, 31.327430, 11936.564730, 7.612915, 5255.611937, 7.467751, 481.967974, 9.372116, 481.967974, 9.372116, 0.000000, 0.000000, 60160.748439, 8.609831, 3.174107
360, 27.465643, 50.721435, 32.428534, 8256.602395, 5.027159, 1950.398921, 6.283266, 93.034290, 3.899855, 93.034290, 3.899855, 0.000000, 0.000000, 144506.689872, 8.196978, 2.861666
361, 27.203091, 42.468114, 32.063320, 9326.913120, 5.221643, 2318.385568, 6.549529, 102.299395, 6.384222, 102.299395, 6.384222, 0.000000, 0.000000, 138845.416213, 7.936205, 2.775397
362, 28.195353, 51.658573, 32.954912, 8545.059381, 5.107803, 1956.101541, 6.456820, 90.502465, 4.115328, 90.502465, 4.115328, 0.000000, 0.000000, 143284.792690, 8.173177, 2.833457
363, 27.572543, 31.587521, 32.768264, 10792.556564, 5.672449, 2926.709544, 7.196849, 153.082114, 8.774333, 153.082114, 8.774333, 0.000000, 0.000000, 115064.269132, 8.139321, 2.881400
364, 26.698334, 15.401924, 32.213187, 12019.333195, 6.792849, 4535.231867, 7.512589, 387.917933, 9.168052, 387.917933, 9.168052, 0.000000, 0.000000, 73852.605420, 8.529188, 3.092698
365, 26.600841, 17.149279, 31.592620, 11966.294994, 6.994797, 4550.355703, 7.657910, 354.398116, 9.063521, 354.398116, 9.063521, 0.000000, 0.000000, 72280.449172, 8.435934, 3.080451
366, 26.990909, 16.181895, 31.863081, 11702.994552, 6.474753, 3857.361945, 7.634159, 288.740374, 8.886323, 288.740374, 8.886323, 0.000000, 0.000000, 86953.765760, 8.310784, 3.018580
367, 26.010056, 21.485450, 31.502825, 11968.860829, 7.483995, 5065.081581, 7.540210, 475.871013, 9.284203, 475.871013, 9.284203, 0.000000, 0.000000, 61035.640361, 8.477638, 3.109292
368, 27.277340, 32.113737, 32.009620, 10552.015647, 5.621946, 2759.199948, 7.050925, 105.458790, 8.604641, 105.458790, 8.604641, 0.000000, 0.000000, 124491.692486, 8.020868, 2.826294
369, 26.010011, 23.665896, 30.080137, 12626.284035, 6.595733, 4364.798312, 7.099245, 311.945682, 8.242707, 311.945682, 8.242707, 0.000000, 0.000000, 88201.867802, 7.717901, 2.810567
370, 26.514256, 20.067022, 31.521411, 11424.581337, 5.930224, 3266.779901, 7.000351, 153.616003, 8.587246, 153.616003, 8.587246, 0.000000, 0.000000, 108142.327933, 8.307074, 2.972130
371, 27.599658, 36.749466, 31.703371, 10605.839223, 5.470949, 2689.651115, 6.924260, 119.612718, 6.562608, 119.612718, 6.562608, 0.000000, 0.000000, 129188.153019, 7.914885, 2.779472
372, 27.598736, 39.351767, 32.423459, 10102.997924, 5.381759, 2443.548361, 7.033466, 104.414922, 6.837659, 104.414922, 6.837659, 0.000000, 0.000000, 129074.739032, 8.067005, 2.845426
373, 27.122505, 37.109017, 32.268847, 9932.142717, 5.433325, 2521.635678, 6.922146, 95.068842, 8.576815, 95.068842, 8.576815, 0.000000, 0.000000, 130850.324910, 7.985236, 2.807089
374, 26.852183, 38.917952, 31.367198, 9439.396531, 5.253800, 2269.345506, 6.596845, 79.476115, 6.446584, 79.476115, 6.446584, 0.000000, 0.000000, 139975.741199, 7.746955, 2.759429
375, 27.507103, 40.660629, 31.940328, 9523.803291, 5.252179, 2327.183278, 6.623703, 82.589967, 5.522920, 82.589967, 5.522920, 0.000000, 0.000000, 136792.451924, 7.977753, 2.822577
376, 27.679014, 47.699481, 32.700578, 9148.342392, 5.223320, 2209.705788, 6.666921, 85.567740, 6.212411, 85.567740, 6.212411, 0.000000, 0.000000, 136503.598375, 8.123509, 2.837391
377, 26.565295, 32.832870, 31.493552, 10356.813287, 5.406078, 2704.710785, 6.697825, 117.483274, 8.192666, 117.483274, 8.192666, 0.000000, 0.000000, 128376.083446, 7.768223, 2.767896
378, 28.034172, 44.869106, 32.790012, 8805.907516, 5.133502, 2095.098289, 6.572490, 90.659467, 5.555016, 90.659467, 5.555016, 0.000000, 0.000000, 137802.109324, 8.272638, 2.887646
379, 26.566979, 41.154124, 32.125587, 9436.017005, 5.275684, 2335.466600, 6.506988, 83.000968, 7.007156, 83.000968, 7.007156, 0.000000, 0.000000, 134678.738847, 8.065226, 2.837354
380, 26.742196, 16.925570, 32.055961, 11989.945850, 7.294255, 5067.625323, 7.698076, 456.732555, 9.355078, 456.732555, 9.355078, 0.000000, 0.000000, 60890.626900, 8.700873, 3.188133
381, 26.238867, 14.689827, 31.688441, 12067.199434, 6.717703, 4328.728011, 7.422786, 337.407625, 8.920460, 337.407625, 8.920460, 0.000000, 0.000000, 76391.244242, 8.574154, 3.133957
382, 26.155948, 20.083928, 30.864444, 12007.344363, 7.246582, 4666.214801, 7.379420, 379.478865, 8.983945, 379.478865, 8.983945, 0.000000, 0.000000, 70837.429823, 8.221265, 3.014365
383, 26.802765, 15.905310, 31.211709, 11814.931208, 7.199481, 4718.673994, 7.680039, 396.200261, 9.127052, 396.200261, 9.127052, 0.000000, 0.000000, 70320.737390, 8.290297, 3.034267
