channel_num, sp_gap, chisqr/ndf, gauss1 mean, gauss1 ampl, gauss1 sigma, gauss2 ampl, gauss2 sigma, gauss3 ampl, gauss3 sigma, gauss4 ampl, gauss4 sigma, gauss5 ampl, gauss5 sigma, landau ampl, landau mpv, landau sigma, actual peak1 height, actual peak2 height
0, 27.982406, 88.813110, 32.476370, 6640.758771, 4.624193, 1512.735142, 5.477806, 74.818508, 3.615924, 74.818508, 3.615924, 0.000000, 0.000000, 152018.751966, 7.454320, 2.511707, 27463.045462, 8507.348388
1, 26.917221, 37.231335, 32.074984, 9083.935439, 5.363626, 2443.862741, 6.689817, 138.583109, 8.187807, 138.583109, 8.187807, 0.000000, 0.000000, 113264.286607, 7.665072, 2.718705, 20462.003198, 10771.072116
2, 28.552436, 48.940171, 33.227167, 9194.854392, 5.427305, 2366.065594, 7.160361, 142.355083, 8.527958, 142.355083, 8.527958, 0.000000, 0.000000, 114172.337597, 7.707251, 2.649757, 20625.962635, 10683.156578
3, 27.682760, 39.392671, 32.461843, 9506.882623, 5.492415, 2603.216658, 7.075965, 168.916722, 8.213312, 168.916722, 8.213312, 0.000000, 0.000000, 109370.834742, 7.609763, 2.660301, 19758.665256, 11017.754285
4, 28.168098, 58.139745, 31.934708, 7929.231232, 4.915491, 1892.047817, 6.361595, 90.976828, 5.534521, 90.976828, 5.534521, 0.000000, 0.000000, 134306.731802, 7.567892, 2.611639, 24263.287935, 9793.943222
5, 28.215794, 56.008612, 32.616662, 8186.715057, 5.067755, 2043.121987, 6.479137, 94.607120, 7.860952, 94.607120, 7.860952, 0.000000, 0.000000, 129972.574687, 7.536922, 2.600207, 23480.300035, 9879.149243
6, 27.217554, 20.466650, 31.275506, 10704.964659, 6.065809, 3405.648447, 7.538277, 268.429220, 8.164125, 268.429220, 8.164125, 0.000000, 0.000000, 86188.150737, 7.732320, 2.780457, 15574.215530, 12137.460383
7, 27.410112, 20.151711, 31.677325, 10683.583660, 6.250315, 3530.905421, 7.684964, 281.291277, 8.429231, 281.291277, 8.429231, 0.000000, 0.000000, 82003.776961, 7.791295, 2.791459, 14819.349183, 12021.237366
8, 27.677392, 68.956851, 31.937857, 7831.893572, 4.711063, 1727.803645, 6.103464, 68.893390, 4.840868, 68.893390, 4.840868, 0.000000, 0.000000, 144183.153816, 7.402730, 2.521419, 26047.504400, 9679.350869
9, 27.287023, 38.825070, 31.876330, 9118.656462, 5.301528, 2336.654439, 6.827039, 114.260401, 8.071090, 114.260401, 8.071090, 0.000000, 0.000000, 117894.858433, 7.628291, 2.682724, 21298.525466, 10853.718177
