channel_num, sp_gap, chisqr/ndf, gauss1 mean, gauss1 ampl, gauss1 sigma, gauss2 ampl, gauss2 sigma, gauss3 ampl, gauss3 sigma, gauss4 ampl, gauss4 sigma, gauss5 ampl, gauss5 sigma, landau ampl, landau mpv, landau sigma, actual peak1 height, actual peak2 height
0, 26.093490, 21.391261, 31.054098, 10935.899645, 6.703848, 4202.074393, 7.167642, 344.559609, 8.478357, 344.559609, 8.478357, 0.000000, 0.000000, 67981.394175, 7.989809, 2.887069, 12302.365445, 12193.045970
1, 25.097491, 30.088936, 30.624461, 10790.930114, 7.331774, 4662.360704, 6.909252, 467.047780, 8.674476, 467.047780, 8.674476, 0.000000, 0.000000, 57023.154934, 8.003232, 2.927214, 10372.443454, 11912.585894
2, 26.019172, 19.556418, 30.941053, 10869.796308, 6.728276, 4096.558487, 7.160849, 344.819381, 8.559264, 344.819381, 8.559264, 0.000000, 0.000000, 67358.435874, 8.155015, 2.961991, 12193.906029, 12203.422935
3, 25.026192, 28.910825, 30.165205, 10738.590836, 7.257527, 4511.042580, 6.791068, 415.915107, 8.619866, 415.915107, 8.619866, 0.000000, 0.000000, 61389.326019, 7.860303, 2.879830, 11163.683004, 11941.781299
4, 29.138727, 68.153310, 32.747079, 8182.989698, 4.983359, 1908.383828, 6.611290, 104.715440, 6.437739, 104.715440, 6.437739, 0.000000, 0.000000, 131234.844730, 7.513732, 2.550713, 23708.326385, 9810.232675
5, 28.006803, 64.144115, 32.082974, 7885.728286, 4.870466, 1905.909418, 6.083805, 99.865024, 5.441182, 99.865024, 5.441182, 0.000000, 0.000000, 135936.853583, 7.371842, 2.532222, 24557.769610, 9617.596203
6, 28.530643, 101.334027, 31.726551, 6681.362798, 4.378204, 1455.877275, 5.164138, 71.081751, 3.358898, 71.081751, 3.358898, 0.000000, 0.000000, 158482.891891, 7.259411, 2.415890, 28630.827807, 8565.571825
7, 28.486573, 66.102799, 32.413602, 7782.090136, 4.960143, 1889.622433, 6.129021, 83.973129, 5.557811, 83.973129, 5.557811, 0.000000, 0.000000, 135666.951080, 7.473933, 2.541228, 24509.013115, 9492.734432
8, 27.269544, 41.995404, 31.890163, 9406.087482, 5.259315, 2469.888321, 6.766111, 137.855631, 7.901907, 137.855631, 7.901907, 0.000000, 0.000000, 114145.943929, 7.588738, 2.656386, 20621.236268, 11046.154902
9, 26.684656, 32.581323, 31.234822, 9258.756570, 5.400769, 2613.642974, 6.750567, 146.731780, 7.886083, 146.731780, 7.886083, 0.000000, 0.000000, 108658.528226, 7.605201, 2.735372, 19630.166703, 10998.826801
10, 28.160614, 43.192122, 32.510605, 8323.497790, 5.300440, 2170.054527, 6.976444, 104.753892, 7.873413, 104.753892, 7.873413, 0.000000, 0.000000, 120278.699669, 7.699638, 2.688984, 21729.109787, 10028.013668
