channel_num, sp_gap, chisqr/ndf, gauss1 mean, gauss1 ampl, gauss1 sigma, gauss2 ampl, gauss2 sigma, gauss3 ampl, gauss3 sigma, gauss4 ampl, gauss4 sigma, gauss5 ampl, gauss5 sigma, landau ampl, landau mpv, landau sigma, actual peak1 height, actual peak2 height
0, 23.547443, 3.519283, 17.614614, -64.144109, 9.831198, 7.541680, 1.029046, 1.508336, 1.029046, 1.508336, 1.029046, 0.000000, 0.000000, 1444.032016, 7.855398, 2.979363, 224.889178, 117.328080
1, 32.549078, 2.901127, 10.434895, 160.731753, 5.672171, 1.710820, 19.718667, 8.135773, 12.096416, 8.135773, 12.096416, 0.000000, 0.000000, -2830.139983, 11.304474, -0.157922, 134.416759, 161.169953
2, 30.209167, 1855.808921, 9.335962, 210.285350, 4.374925, 197.280888, 5.408343, 980464.905713, 6.778203, 980464.905713, 6.778203, 0.000000, 0.000000, -780.568839, 8.105237, -2.997767, 182.796345, 210.285383
3, 29.178064, 2.121184, 9.309918, 197.309071, 4.657183, 1.841672, 14.143999, 2.773807, 7.883666, 2.773807, 7.883666, 0.000000, 0.000000, 4439.838117, 6.882287, -66.100508, 175.001839, 197.528461
4, 35.130744, 7.698709, -96.677455, 4178.811583, 33.297357, 181354.678712, 7.078129, 209.379425, 3.539071, 209.379425, 3.539071, 0.000000, 0.000000, 243241.964907, -6.000165, -25.883436, 219.434890, 4179.671096
5, 40.000000, 0.506481, 8.758308, 193.558749, 4.003247, 152.257716, 5.438662, 59861.114270, 10.087290, 59861.114270, 10.087290, 0.000000, 0.000000, 354.897386, 4.785208, 1.343036, 222.624098, 222.624098
6, 23.547443, 2.021681, 15.521732, -103.410513, 8.697568, 4.192488, 0.879583, 0.838498, 0.879583, 0.838498, 0.879583, 0.000000, 0.000000, 1674.678845, 8.144818, 3.156218, 237.220935, 172.712101
7, 20.000000, 71.200625, -7.163255, 1026828.031286, 1.735437, 128.680955, 3.270829, 325073.639624, 2.811487, 325073.639624, 2.811487, 0.000000, 0.000000, 752024.081822, -71.572307, -145.088524, 56188.777509, 1026828.031287
8, 20.000000, 1.460122, 26.568037, 65.925458, 4.981360, 4.217650, 3.494067, 0.419218, 3.494067, 0.419218, 3.494067, 0.000000, 0.000000, 428.995350, 8.070821, 3.397904, 77.538143, 81.008454
9, 36.937452, 15.242630, 13.715478, 81.852409, 6.783634, 13.941148, 4.976926, 1.460156, 5.013518, 1.460156, 5.013518, 15239732016732490105419257657658110806084292043890747139554318137832065767991525676101882180936059371958212312648380739834041787799144071810356141544888561998275860062273536.000000, 0.000000, 447.845546, 6.572335, 2.122123, 128.784425, 127.224905
10, 37.850119, 1.826275, 9.847062, 140.486846, 4.516595, 5.680367, 3.037460, 3.592199, 6.006019, 3.592199, 6.006019, 0.000000, 0.000000, 487.095136, 5.705423, 1.643200, 191.845139, 191.845139
11, 37.002153, 12.907465, -103.052356, 4428.755141, 36.520464, 17190.093753, 8.558010, 90.162432, 7.240441, 90.162432, 7.240441, 0.000000, 0.000000, -6907.549577, 10.648291, -0.327839, 138.620826, 4430.351817
12, 20.000000, 12.826552, -54.724280, 925.054041, 21.212973, 0.000227, 9.101574, 9.601235, 8.884729, 9.601235, 8.884729, 0.000000, 0.000000, 1059.890488, 6.988370, 1.756211, 223.618565, 925.059811
13, 28.444259, 2.100686, 9.069278, 199.899122, 4.645635, 1.472591, 17.039859, 10.833358, 7.804072, 10.833358, 7.804072, 379792385107071488766687959176748029745785491501054795936775825041862904577153976063492584437454571915819938876462296766962596492933281923908335946763156425071697185039559159380481059904157640463318253168031170560.000000, 0.000000, -1562617.877152, 219.817302, -2303842.293753, 181.666938, 200.264790
14, 34.196958, 3.680248, -25.396141, 741.614830, 11.347735, 171.042435, 5.256102, 7.056924, 5.264454, 7.056924, 5.264454, 0.000000, 0.000000, -4379.810091, 6.841405, -16.720740, 174.040344, 741.614830
15, 40.000000, 24.292148, -160.611444, 53236.679583, 45.320643, 341695.801206, 10.448876, 507.480291, 20.976622, 507.480291, 20.976622, 0.000000, 0.000000, -1410.935943, 9.963912, -0.109989, 227.205374, 54164.581619
16, 28.832286, 0.732170, 32.926080, 37.854620, -5.794689, 11.954487, 6.833299, 1.039535, 10.487837, 1.039535, 10.487837, 0.000000, 0.000000, 479.294421, 7.971742, 2.805613, 86.589460, 45.135720
17, 26.487492, 1.177295, 32.057846, 40.264170, 4.921480, 9.280205, 6.688305, 1.370555, 7.438738, 1.370555, 7.438738, 0.000000, 0.000000, 616.953920, 7.255067, 2.414955, 111.456272, 47.381347
18, 28.791772, 1.352347, 32.835489, 32.445685, 4.994976, 9.682292, 4.471335, 1.269089, 9.348538, 1.269089, 9.348538, 0.000000, 0.000000, 691.901908, 7.444450, 2.339774, 124.996024, 39.649018
19, 28.013798, 1.027661, 32.147652, 46.996419, 5.328875, 14.195849, 6.573955, 1.340148, 8.083690, 1.340148, 8.083690, 0.000000, 0.000000, 467.746445, 7.341889, 2.583981, 84.501587, 53.114834
20, 26.640568, 0.708541, 30.328710, 52.165619, 6.373586, 16.666791, 6.718299, 1.314957, 8.095922, 1.314957, 8.095922, 0.000000, 0.000000, 352.589982, 8.301825, 3.038449, 63.789426, 59.908104
21, 25.222120, 0.829360, 30.876145, 54.253614, 6.736437, 18.610676, 5.923693, 1.431810, 8.644896, 1.431810, 8.644896, 0.000000, 0.000000, 271.568522, 8.581623, 3.331397, 49.218740, 61.071882
22, 26.015454, 0.809295, 29.294005, 51.341505, 6.751309, 20.444573, 6.766455, 1.435763, 8.212740, 1.435763, 8.212740, 0.000000, 0.000000, 297.046504, 8.085905, 2.793722, 53.941553, 57.362939
23, 26.485466, 0.743650, 30.382684, 47.144077, 6.824701, 15.642880, 7.342574, 1.560349, 8.503641, 1.560349, 8.503641, 0.000000, 0.000000, 376.631898, 7.726124, 2.689753, 68.183192, 53.499891
24, 28.210227, 0.923713, 30.865008, 46.500260, 7.604618, 14.808961, 8.523262, 1.598652, 9.224204, 1.598652, 9.224204, 0.000000, 0.000000, 311.290879, 7.974081, 2.870268, 56.628388, 52.342781
25, 24.090360, 0.837848, 31.667347, 53.233875, 6.838716, 19.795107, 6.330054, 1.574823, 8.788810, 1.574823, 8.788810, 0.000000, 0.000000, 272.998077, 9.164860, 3.143086, 49.488747, 59.348415
26, 25.500273, 0.848299, 30.968310, 53.217299, 5.990272, 19.133265, 7.351458, 1.901695, 8.178697, 1.901695, 8.178697, 0.000000, 0.000000, 290.728612, 8.659962, 3.349791, 52.554197, 60.597282
27, 25.314250, 1.029889, 30.259168, 47.583256, 6.839299, 19.844662, 6.773875, 1.661806, 8.057180, 1.661806, 8.057180, 0.000000, 0.000000, 313.410454, 8.156441, 3.038800, 56.806487, 54.450434
28, 24.894840, 0.943739, 31.369066, 53.659237, 5.395100, 14.603426, 6.659231, 0.949168, 7.523398, 0.949168, 7.523398, 0.000000, 0.000000, 354.626828, 8.622590, 3.287421, 64.069478, 62.051362
