channel, first gap spacing, first gap spacing err, other gap spacing, other gap spacing err, 1st peak amplitude, 1st peak amplitude err, 1st peak mean, 1st peak mean err, 1st peak sigma, 1st peak sigma err, 2nd peak amplitudes, 2nd peak amplitudes err, 2nd peak sigmas, 2nd peak sigmas err, 3rd peak amplitudes, 3rd peak amplitudes err, 3rd peak sigmas, 3rd peak sigmas err, 4th peak amplitudes, 4th peak amplitudes err, 4th peak sigmas, 4th peak sigmas err, 5th peak amplitudes, 5th peak amplitudes err, 5th peak sigmas, 5th peak sigmas err, 6th peak amplitudes, 6th peak amplitudes err, 6th peak sigmas, 6th peak sigmas err
18,26.000000,0.000601,30.186246,0.027992,12483.083526,33.125350,1437.684855,0.019979,8.156994,0.020735,21889.789254,45.296185,7.846079,0.017068,10446.145132,29.519622,9.658153,0.032758,3900.909765,20.528999,8.296818,0.046655,1436.796199,9.726320,14.133637,0.141656,371.212000,14.259407,5.000000,0.027254
19,18.000000,0.000878,24.000000,0.000184,6233.448348,44.284781,1480.333688,0.031777,5.156121,0.027873,8177.604362,41.525442,13.855933,0.025458,9653.448499,28.586376,16.114628,0.079013,6453.820965,56.284550,6.661532,0.036646,3812.716456,22.240346,7.056417,0.043248,1615.295435,7.392511,20.000000,0.002731
20,26.000000,0.000301,30.421040,0.030782,13509.112616,33.495930,1524.594490,0.019731,8.257614,0.019523,22402.523340,47.128357,7.655343,0.016576,9930.546681,26.781094,9.670466,0.031354,3569.194088,21.244452,8.399976,0.052784,1288.049928,8.897543,15.128193,0.182691,246.893313,20.417688,5.000000,0.031317
21,25.999999,0.001632,29.931487,0.027742,14160.557021,35.249628,1484.537944,0.019139,7.822077,0.018584,21999.007712,45.651055,8.029609,0.018435,10082.519858,28.601121,8.892442,0.030707,3721.826213,18.584830,9.124094,0.059118,1238.368423,7.953758,10.870295,0.184419,388.186691,11.848915,19.164346,0.057825
22,25.271602,0.029733,29.106582,0.031753,11070.645096,32.573276,1492.302591,0.032743,7.991676,0.025314,22880.519166,47.820135,7.809069,0.021043,11307.288848,31.388033,8.971555,0.032721,4443.297702,21.452013,8.634533,0.048260,1284.554646,10.662692,12.088170,0.194771,505.791559,10.589821,20.000000,0.137157
23,18.000000,0.020097,24.000000,0.000379,7044.685398,41.931379,1483.575785,0.029975,5.508953,0.025399,8830.126296,37.539658,13.886793,0.023479,9040.125796,28.673728,14.915803,0.073428,7471.407878,51.330091,6.262896,0.027235,3352.433931,18.932197,8.399325,0.054578,1542.155515,7.522720,20.000000,0.002243
24,26.000000,0.000244,30.932468,0.031659,9664.925068,27.689483,1402.687029,0.021503,9.135437,0.024271,21694.086533,45.224747,7.549687,0.015191,11229.989662,29.962923,10.011181,0.033356,4178.373893,24.504118,8.710113,0.049943,1618.133414,9.806514,16.132832,0.180498,152.931026,32.952305,5.000000,0.056491
25,26.000000,0.000176,29.717227,0.034282,12175.217439,29.693632,1428.828727,0.019768,8.936879,0.019912,23098.768225,46.214360,7.328413,0.014523,10256.798555,29.180947,9.523452,0.034011,3505.708088,21.638570,8.542037,0.057375,1318.111431,8.627350,16.903592,0.140482,10.000064,2.418387,16.547346,0.085608
26,25.999967,0.001001,29.704019,0.027970,10644.986437,29.084997,1442.444150,0.018732,8.373366,0.020709,22404.741154,45.143258,7.586781,0.016188,11198.381353,29.320408,9.745765,0.031757,4306.349128,20.877872,8.532353,0.047814,1600.622738,9.592242,14.509735,0.104272,379.424433,10.878665,5.000005,0.020004
27,25.085289,0.029281,24.039518,0.009281,10639.325418,29.259590,1568.399905,0.031329,7.920136,0.021877,20868.486307,52.432001,6.791344,0.019611,7562.028193,16.834296,12.837352,0.066052,3249.335887,23.576462,18.554807,0.048485,861.640899,5.402732,13.676263,0.214550,956.062778,11.518885,18.718249,0.023252
28,25.999971,0.000482,29.793492,0.030317,7168.626159,22.728120,1533.008669,0.024570,9.363608,0.025051,19596.680762,44.001749,7.777274,0.017199,12696.435672,32.277423,10.161717,0.036320,5173.879174,24.329657,8.580432,0.049691,2240.396583,12.027051,14.252864,0.131083,406.643927,15.976608,7.764030,0.211239
29,25.510118,0.017349,26.348921,0.045573,13573.630146,34.704719,1401.580964,0.025706,8.147357,0.020144,22047.496580,46.429255,7.211584,0.020826,7953.676929,16.889186,10.060121,0.051423,2788.285410,23.467077,19.903217,0.018402,559.602467,7.724870,19.073799,0.055328,452.734649,6.164681,9.732707,0.253108
30,25.948725,0.007688,28.950559,0.045087,6526.619685,22.020618,1483.324492,0.025576,9.619855,0.026250,19345.375139,42.948856,7.576249,0.017096,12727.000195,44.358232,9.904530,0.041653,4263.066198,14.509344,10.610121,0.075015,2020.771950,10.846591,19.994268,0.008348,132.445641,7.924243,16.237225,0.343490
31,18.000000,0.000706,24.000000,0.000565,4284.658261,31.640134,1423.000000,0.001303,5.659830,0.032198,6539.843462,37.350967,13.670608,0.024938,11346.136581,27.295884,13.505883,0.059581,9585.577183,48.827327,6.327492,0.023448,4138.813531,19.947373,9.296550,0.048695,2069.805959,9.051595,20.000000,0.001275
32,26.000000,0.000295,30.895165,0.035367,7253.018548,23.360434,1430.792552,0.026860,9.613706,0.025709,18534.091070,40.781120,7.928512,0.017458,11900.456537,29.223660,10.882907,0.037952,4569.979505,27.274857,9.040099,0.054699,2045.877873,11.077594,16.372742,0.158431,229.735140,29.944786,5.000000,0.040634
33,25.997974,1.029111,30.006487,0.182541,8127.085364,46.339125,1475.531124,0.058785,9.072738,0.034253,20252.736507,47.259842,7.660029,0.091669,11861.575676,87.233806,10.191260,0.329174,4957.478370,412.087058,8.329535,0.617329,2099.916304,154.691541,14.801199,5.077990,314.096062,458.797882,6.144164,3.183409
34,26.000000,0.000233,31.139794,0.032116,9908.253070,27.550411,1405.358460,0.021326,9.063831,0.023236,21572.735188,44.966380,7.515616,0.015190,10812.336618,29.399573,10.269084,0.035178,4080.738500,22.744635,8.548088,0.048611,1583.929517,9.140499,16.620788,0.146229,10.000000,1.532400,19.957728,0.010935
35,26.000000,0.000292,31.254426,0.030173,9977.238098,29.125810,1504.825909,0.020947,8.669399,0.024194,21666.227703,44.948851,7.558179,0.015099,10786.426746,29.138330,10.509154,0.036232,4220.857026,22.750469,8.494717,0.046379,1603.360309,10.136255,15.069552,0.168525,394.426715,37.445006,5.000000,0.074159
36,26.000000,0.000269,30.138315,0.036317,8211.390356,24.788116,1593.403527,0.023048,8.952903,0.023777,20391.342965,44.124798,7.566266,0.015563,12012.309954,30.546417,10.016481,0.035064,4464.168549,26.554577,9.217472,0.058852,1913.427648,10.365596,17.998414,0.136998,10.000000,7.277020,19.893378,0.016776
37,18.000000,0.000019,24.000000,0.005174,4014.809585,31.749269,1411.000000,0.004332,5.448114,0.034993,6719.043597,34.643659,13.735297,0.025870,11303.741037,28.673022,12.335592,0.054473,10266.365364,46.831699,6.443984,0.023260,3966.935022,19.043647,10.497131,0.055061,2326.751042,9.935558,20.000000,0.001056
38,26.000000,0.000268,30.343022,0.033832,7658.186523,23.260436,1536.994661,0.022889,9.509315,0.023343,20336.719686,44.178655,7.508689,0.015462,11930.109076,30.332611,10.380220,0.036028,4487.848508,26.582033,8.644009,0.051894,1997.245840,10.301554,17.569494,0.128973,10.000014,1.557971,18.186767,0.115020
39,18.000000,0.000543,24.000000,0.000403,4456.932697,32.228558,1474.000000,0.002580,5.639496,0.029957,7698.319666,34.549614,13.333010,0.022116,11484.241666,28.461887,12.583576,0.052573,9377.125581,45.348162,6.262589,0.022673,3764.371253,18.572871,9.635353,0.051940,1857.641223,8.750130,20.000000,0.001506
40,21.071581,0.028175,24.104598,0.012675,14423.136875,43.532598,1486.592088,0.034543,7.478142,0.023794,27722.254360,55.222330,7.357023,0.020428,11042.164384,33.183333,8.047180,0.031620,3290.566039,19.358833,8.063970,0.055432,804.966614,9.614138,9.323765,0.128824,257.630597,3.853043,15.733858,0.021844
41,19.333631,0.018456,24.000000,0.001578,26194.744191,55.784341,1600.213510,0.022726,7.127604,0.016180,25275.733616,57.930198,7.025354,0.019095,6889.187143,26.335363,7.658946,0.034199,1720.726020,13.718717,7.971476,0.073072,405.742123,7.171883,8.342000,0.165941,115.433633,2.455877,20.000000,11.557711
42,20.612560,0.020889,24.000000,0.002226,21684.730921,49.732387,1479.454533,0.026373,7.428161,0.018132,25606.391247,54.856059,7.468223,0.019675,7887.653547,28.761348,7.763111,0.032549,1764.223343,14.584819,8.638471,0.084493,430.509697,4.198243,20.000000,0.026399,10.000000,0.149021,5.000000,0.220664
43,20.834325,0.026104,24.000000,0.002299,15396.628595,43.041296,1498.241332,0.032018,7.452696,0.022299,27533.266230,55.598010,7.416012,0.018921,10451.376673,32.897626,7.813594,0.030068,2878.617581,18.095272,8.586583,0.060678,677.450735,9.308771,10.460653,0.155829,213.507427,3.525412,20.000000,1.882923
44,25.997325,0.002343,27.216520,0.039301,9420.331795,26.938188,1570.572620,0.021117,9.057523,0.023474,21675.546354,46.227268,7.269270,0.016640,9913.328260,34.717856,8.950259,0.036959,4094.399440,18.357127,19.972995,0.020064,175.971854,12.643697,14.584653,0.114712,818.008754,7.796214,18.275199,0.138928
45,18.000000,0.000805,24.000000,0.000303,6208.330894,43.414783,1469.119172,0.040651,5.820749,0.025824,7553.926692,42.697532,13.528211,0.026371,10694.058822,32.738371,14.239441,0.086213,7742.656484,65.914329,6.354227,0.027432,3524.918457,19.208017,9.061243,0.062113,1808.236102,8.457738,20.000000,0.002423
46,18.000000,0.000626,24.000000,0.000277,4336.670726,31.663713,1545.000000,0.001374,5.631817,0.031378,6624.178495,40.980965,13.577252,0.025888,11151.181675,26.362392,14.711103,0.066428,8018.904815,49.829714,6.478825,0.028264,4185.319043,21.003744,8.572579,0.046045,2005.117522,8.614228,20.000000,0.001954
47,18.000000,0.000956,24.000000,0.000370,5341.923920,44.031370,1488.458335,0.045538,5.328453,0.029843,8009.448492,38.853261,14.491742,0.032481,9712.864844,35.674866,14.435258,0.088145,7336.703014,65.220672,6.411691,0.028689,3617.961119,19.930367,8.279830,0.056271,1759.498372,8.033447,20.000000,0.001887
48,25.957759,0.019904,24.000000,0.000696,24026.214825,47.471740,1440.980605,0.015266,7.633837,0.013319,20329.404372,53.327288,6.697520,0.015580,4666.097046,19.211025,13.811356,0.101268,1517.905660,22.141190,16.054102,0.142376,1218.411946,20.078476,5.655978,0.072377,672.196213,6.946414,14.847406,0.220087
49,18.000000,0.000508,24.000000,0.000162,5569.554474,34.202878,1532.000000,0.000788,5.483367,0.025372,7129.654541,40.963323,13.393659,0.025323,10764.292878,25.902659,15.621864,0.067087,6540.414490,46.938446,6.745838,0.032376,3957.677775,22.134732,7.374959,0.042032,1810.988685,7.766903,20.000000,0.002932
50,26.000000,7.040667,31.553327,4.965445,15036.248819,515.125196,1553.638556,1.513755,8.026780,1.116812,22012.214400,1165.687479,7.753085,1.589677,9195.504403,3077.682689,10.021200,11.065125,3255.845411,1860.803389,8.268139,13.243264,1166.420261,645.509330,15.373936,9.810115,232.525267,2060.066199,5.631062,3.157457
51,18.000000,0.001153,24.000000,0.000254,5534.706886,40.948351,1476.843801,0.039796,5.622373,0.028219,8346.907507,41.115036,13.673051,0.026145,9885.879115,31.244446,15.028261,0.084425,7255.578606,63.521513,6.428616,0.030824,3725.834607,20.312361,7.975609,0.050514,1647.541799,7.749486,20.000000,0.002303
52,18.000000,0.000247,24.000000,0.000223,4687.153892,33.386083,1403.000000,0.000503,5.377289,0.030027,8050.584516,28.900685,13.216258,0.022058,12618.699806,31.766946,10.893819,0.038058,10500.489435,41.138880,6.221234,0.020759,3641.138985,18.174464,9.905368,0.055887,1889.957034,8.951644,20.000000,0.001519
53,25.467120,0.012150,25.805210,0.037671,17343.204767,39.431998,1421.667972,0.016476,8.349403,0.015759,23230.787283,40.561440,6.539033,0.012482,6576.004976,21.942469,10.112408,0.070812,2228.766576,21.673651,17.351151,0.042680,613.104636,8.163287,16.736253,0.049787,519.653302,4.327068,12.369351,0.112805
54,18.000000,0.001451,24.000000,0.000191,7795.562497,42.966695,1512.802690,0.029846,5.572860,0.021711,9245.841008,39.228957,13.426612,0.021541,9263.661886,28.153173,15.437507,0.074363,6220.947834,52.974342,6.343570,0.033841,3352.371396,19.760292,7.695858,0.049524,1472.141506,7.149927,20.000000,0.004097
55,26.000000,0.000461,30.307621,0.035570,6925.392265,22.289441,1428.072735,0.024575,9.591232,0.025990,19420.576696,42.709971,7.658567,0.016129,12190.649211,30.069564,10.645627,0.039247,4744.928159,25.923280,8.870137,0.053030,2038.212172,10.409136,18.372142,0.143090,10.000001,5.329419,19.589971,0.056718
56,25.997903,0.001781,30.729929,0.030859,9698.221755,28.527273,1445.393422,0.022070,8.842585,0.024191,21703.521962,46.740676,7.575580,0.016018,10889.741011,26.825316,10.631415,0.036540,4150.388623,17.012200,8.684504,0.066038,1492.448838,7.406517,18.667854,0.132494,12.372270,0.904223,15.889344,0.188229
57,18.000000,0.001969,24.000000,0.000194,9443.437007,46.415796,1547.932441,0.026656,5.458144,0.020484,9680.680120,38.423734,13.653500,0.022757,8929.852033,27.257619,15.840297,0.069547,4950.174700,47.856022,6.376260,0.038861,3137.486054,19.582974,7.268439,0.047266,1244.908331,6.505129,20.000000,0.023663
58,18.000000,0.000586,24.000000,0.000403,4703.144128,33.821930,1489.000000,0.022755,5.394004,0.030132,7706.843148,35.431538,13.445375,0.022907,11563.420286,28.724187,12.671903,0.054829,9247.899170,46.168437,6.411814,0.023590,3751.540270,18.867364,9.484547,0.053276,1911.721497,8.823116,20.000000,0.001316
59,18.000000,0.155086,24.000000,0.000204,10217.920229,49.591866,1533.776658,0.023692,5.278787,0.020334,10831.180858,38.490771,14.038866,0.023491,7228.052873,27.691453,16.472559,0.079269,5036.674245,44.086289,6.852132,0.040001,3026.144858,19.878363,6.896695,0.046479,1253.559737,6.457706,20.000000,0.024336
60,18.000000,0.004200,24.000000,0.000347,6373.492669,40.011519,1539.543378,0.032351,5.613142,0.025386,8679.371400,38.938969,13.724795,0.024237,9571.995393,29.510825,14.828147,0.076141,7789.678345,55.070914,6.261801,0.026818,3504.767411,19.422657,8.333334,0.053701,1618.574863,7.689092,20.000000,0.002387
61,18.000000,0.003180,24.000000,0.000240,7907.730235,43.836884,1476.977375,0.029512,5.584287,0.023479,9196.352353,39.757366,13.822967,0.023528,9153.630107,28.364403,15.662645,0.075674,5879.334032,51.183770,6.588893,0.035327,3278.406657,19.551629,7.789735,0.050928,1460.340676,7.178004,20.000000,0.004761
62,18.000000,0.000795,24.000000,0.000316,5835.209833,42.591676,1446.105077,0.039824,5.587176,0.026630,7488.571247,39.659284,13.375162,0.024966,10597.433067,33.685328,13.973740,0.083549,8750.282462,65.698407,6.077365,0.024425,3787.071172,19.471344,8.927071,0.057218,1815.595271,8.360315,20.000000,0.001946
63,18.000000,0.000938,24.000000,0.000238,5694.161023,41.008067,1505.810286,0.036739,5.499787,0.028091,8026.245042,41.755701,13.855989,0.026474,10137.299563,30.978265,15.072938,0.082659,7175.321137,62.579370,6.471407,0.031675,3977.539009,21.745365,7.607267,0.048539,1681.622216,7.850721,20.000000,0.003506
64,26.000000,0.000499,28.626058,0.040613,11793.619694,31.633664,1553.533814,0.020389,8.206634,0.020396,21991.549844,45.925366,7.851667,0.018004,11051.598898,30.764365,8.779674,0.030001,3770.995295,22.324277,9.749453,0.066487,1270.812427,11.257124,12.520936,0.211465,423.069469,11.022499,20.000000,0.103223
65,18.000180,4.935007,24.001090,4.986690,31348.714008,11713.667704,1399.252362,7.404561,7.598495,1.643999,14671.859817,28041.448747,9.342031,11.111806,2902.492097,4861.800563,9.157610,9.563438,750.138051,684.092338,11.302744,10.936320,150.924247,323.309159,5.631842,3.157270,197.955368,19.897038,19.999221,9.244251
66,25.999954,0.000283,30.714596,0.027459,8921.382272,16.788055,1461.012199,0.022760,9.055871,0.022315,20964.886755,43.461999,7.350567,0.014727,11555.038216,30.571417,10.204307,0.036969,4090.934893,16.545617,9.271555,0.046166,1783.677760,10.221068,15.596564,0.094581,507.480276,6.114033,5.045608,0.036496
67,18.000000,0.000754,24.000000,0.000589,4073.875123,31.147543,1521.000000,0.001444,5.636427,0.033169,6305.590764,37.715771,13.819850,0.026850,11090.495324,26.746074,13.843362,0.061788,9100.181188,48.945848,6.301764,0.024583,4071.292278,20.042173,9.099521,0.048760,2109.829425,9.027204,20.000000,0.001291
68,26.000000,0.001950,24.000000,0.000852,18142.546028,41.850397,1572.481365,0.017266,7.794302,0.016389,21246.818772,54.861237,6.694347,0.014817,5825.349783,23.633195,12.935202,0.079304,2346.517265,21.107242,16.495563,0.125173,1351.126301,24.437914,5.693654,0.075654,987.860530,9.335344,14.393038,0.185555
69,26.000000,0.000234,31.932269,0.017458,18150.675493,41.814400,1453.730848,0.015611,7.721082,0.016856,21656.627588,49.465034,7.605227,0.017161,7982.200311,24.331196,10.137320,0.033786,2936.080035,17.490784,7.917352,0.056309,1012.678308,7.725698,14.789632,0.159054,255.678538,12.544987,5.055601,0.087451
70,25.622253,0.016010,24.065032,0.007450,16411.571679,38.195607,1545.802909,0.017002,8.015280,0.017150,21975.621894,52.856891,6.753670,0.013854,6311.068119,23.577868,12.250044,0.071478,2617.452122,19.615122,15.339166,0.063551,1373.333833,9.807316,6.853110,0.033920,1038.473105,7.982374,12.621985,0.130027
71,25.999974,0.000287,30.736840,0.031499,9243.080076,25.863075,1445.499399,0.021412,9.102173,0.023087,21251.390966,44.126664,7.501568,0.015082,11183.211343,28.319795,10.191121,0.033922,4239.594289,25.321614,8.395671,0.045076,1647.489512,9.722456,16.566849,0.176603,103.736007,23.807532,5.005851,0.073886
72,26.000000,0.000111,32.000000,0.000650,23734.082638,50.403124,1489.515830,0.013112,7.275350,0.014093,20797.720865,45.054730,7.412796,0.016163,7000.772930,23.921478,9.556057,0.034744,2272.069477,14.997044,8.341649,0.056868,782.989936,6.714406,15.576945,0.180527,10.000000,8.442069,5.000000,0.784680
73,26.000000,0.000216,28.929217,0.037629,16212.075806,37.199775,1527.574975,0.016295,7.994674,0.017429,22640.416213,46.397105,7.153468,0.015748,8102.885883,29.462995,8.638264,0.032483,2640.143892,10.214958,19.997434,0.011023,10.003147,0.124235,5.170905,0.074726,543.166228,5.119522,19.999259,0.026353
74,26.000000,0.000242,24.000000,0.000440,15097.249854,37.443198,1484.224187,0.018216,8.103653,0.019108,20376.766126,59.124292,6.553320,0.014674,6430.139992,23.563234,14.895603,0.090478,2212.496500,28.611884,15.653724,0.128632,2068.117997,25.306813,5.865562,0.052794,1146.680892,8.554144,16.234918,0.185595
75,26.000000,0.000091,32.000000,0.000601,19131.962050,45.669031,1504.260582,0.014652,7.659339,0.016983,22183.773611,48.017053,7.089137,0.014893,7837.730025,24.463455,10.106529,0.033667,2572.075880,16.813419,8.444805,0.056771,940.113884,7.025927,17.161616,0.186364,10.000000,0.737170,19.141870,0.035997
76,25.999914,0.000278,31.999615,0.004485,23937.550472,51.222574,1543.768062,0.012759,7.293279,0.013298,20882.064463,44.760844,7.462646,0.016735,6909.562456,24.017302,9.490627,0.037488,2421.265640,16.166645,8.136721,0.065890,809.770402,8.156111,13.484883,0.334044,80.411367,30.126415,8.892126,0.787495
77,25.335781,0.018092,24.003243,0.001442,27133.378551,51.646269,1510.685224,0.011823,6.926100,0.011948,18495.009661,46.876798,5.945534,0.016282,4944.938746,13.399261,19.981791,0.006899,107.349072,5.007917,14.004978,0.071682,1649.570315,11.175010,5.002530,0.002161,935.209299,4.302998,14.590856,0.063185
78,18.000000,0.002490,24.000000,0.000200,9715.371257,46.407004,1588.069745,0.025450,5.551627,0.020426,9310.610190,37.162300,13.686138,0.021961,8592.129034,26.538354,15.356646,0.069587,5665.095218,46.594363,6.192980,0.032699,2928.182224,18.244903,8.022049,0.055236,1333.137083,6.892344,20.000000,0.008355
79,26.000000,0.000951,24.000000,0.001246,15009.409283,37.949188,1514.683199,0.019018,7.661302,0.018631,21764.757520,55.429381,6.861340,0.014281,6548.375559,27.381867,12.612988,0.076812,2855.765693,23.385826,17.027827,0.133097,1131.233899,26.607137,6.249986,0.102800,1020.867744,8.999877,17.841091,0.243057
80,18.000000,0.005533,24.000000,0.000465,6004.221792,40.207896,1463.255993,0.036366,5.700366,0.027777,8312.297385,38.574918,13.915146,0.025250,9581.942024,31.110010,14.621276,0.078077,7357.353018,55.367074,6.313060,0.028587,3337.599414,18.523229,8.965767,0.059497,1620.071318,7.919184,20.000000,0.002154
81,18.000000,0.000599,24.000000,0.000265,4882.055444,52.631098,1589.229976,0.067198,5.673361,0.028077,6727.164806,58.649303,13.293267,0.035178,11444.852079,45.817499,13.927356,0.141522,8096.657891,108.738430,6.632494,0.029420,4118.069153,21.010938,8.311103,0.056737,1836.724241,8.507013,20.000000,0.001933
82,18.000000,0.001264,24.000000,0.000231,6879.355542,44.529636,1560.293482,0.031375,5.263831,0.026115,8459.665573,38.982317,13.817206,0.024153,9365.811109,28.674133,15.485118,0.074766,6747.080009,53.955894,6.329775,0.032488,3413.686290,19.786162,8.046708,0.052468,1641.894756,7.665333,20.000000,0.003278
83,25.999933,0.000239,29.997201,0.035812,12679.424151,32.057090,1515.524859,0.019967,8.322748,0.019788,21835.594967,46.582303,7.670158,0.019375,10097.954201,29.415996,9.460437,0.032496,3245.585039,20.565324,9.221772,0.068956,1211.564272,6.086641,19.937862,0.018425,51.898067,3.321149,9.049078,0.060465
