channel, first gap spacing, first gap spacing err, other gap spacing, other gap spacing err, 1st peak amplitude, 1st peak amplitude err, 1st peak mean, 1st peak mean err, 1st peak sigma, 1st peak sigma err, 2nd peak amplitudes, 2nd peak amplitudes err, 2nd peak sigmas, 2nd peak sigmas err, 3rd peak amplitudes, 3rd peak amplitudes err, 3rd peak sigmas, 3rd peak sigmas err, 4th peak amplitudes, 4th peak amplitudes err, 4th peak sigmas, 4th peak sigmas err, 5th peak amplitudes, 5th peak amplitudes err, 5th peak sigmas, 5th peak sigmas err, 6th peak amplitudes, 6th peak amplitudes err, 6th peak sigmas, 6th peak sigmas err
0,23.518667,0.029502,26.240282,0.072965,12597.010560,33.265691,1536.315046,0.031682,7.709243,0.020721,10851.186425,33.800470,7.586416,0.036329,3250.759157,20.363578,7.614408,0.057335,794.868011,7.121743,17.785674,0.192547,10.000000,0.553307,2.000000,0.166776,122.032126,2.945743,19.987431,0.442430
1,23.128806,0.026100,26.714245,0.070752,14307.847946,35.366089,1534.788587,0.027233,7.552184,0.018381,10658.552248,34.049832,7.225865,0.031401,3026.026782,17.033183,7.860060,0.050527,809.111904,9.041599,9.204725,0.129037,204.330591,4.838049,10.920057,0.324576,80.163888,2.278067,20.000000,0.276832
2,23.671877,0.027493,28.076919,0.069022,15040.098775,36.337389,1465.383776,0.025352,7.524790,0.017228,9855.490725,32.142173,7.581254,0.034031,2809.189643,16.041369,8.170435,0.052732,731.037087,8.195378,9.046792,0.119297,194.215084,4.591696,9.995421,0.340167,80.022964,2.374896,20.000000,0.508412
3,23.047703,0.027152,26.863917,0.065492,13202.930423,34.440892,1548.701599,0.028860,7.499302,0.019083,10985.276786,34.301914,7.440770,0.032577,3402.042276,17.951893,8.015320,0.049092,928.590612,9.593046,8.827243,0.108729,235.921751,5.135649,10.229114,0.300500,96.833916,2.394147,20.000000,0.383110
4,22.788608,0.027003,28.663428,0.054775,14569.959586,36.613577,1569.010530,0.026446,7.373515,0.017612,10366.868484,32.760158,7.683214,0.031944,2929.759273,16.305975,8.242983,0.051186,827.127962,8.466496,8.803827,0.103978,214.197910,4.917172,8.378650,0.246946,81.218354,2.138659,20.000000,0.586326
5,22.363539,0.028875,26.918570,0.074138,16600.894067,38.204900,1488.660211,0.026009,7.620387,0.017248,9198.303433,32.394763,7.265423,0.037059,2521.020100,15.512101,7.877569,0.055723,635.552351,7.940656,8.506911,0.123522,156.702136,8.345975,9.276127,0.337860,65.372066,2.557828,19.246475,2.568975
6,22.799022,0.026596,28.088075,0.058870,17851.971623,39.983161,1547.080878,0.020952,7.270226,0.014777,9351.099839,32.166709,7.011181,0.030252,2336.961504,14.655241,8.090432,0.055838,619.067244,7.518967,8.356631,0.115294,152.599709,4.032635,8.950225,0.305527,60.578449,1.832140,20.000000,1.632881
7,23.653846,0.027183,28.537170,0.054532,13711.016728,34.713899,1515.559851,0.026700,7.587638,0.018099,10430.549771,32.783533,7.622924,0.031245,3132.570354,16.694863,8.423328,0.051039,867.164252,8.818506,8.701147,0.106043,233.826322,4.957520,9.141928,0.267535,91.081438,2.487074,20.000000,0.482278
8,23.167548,0.039186,25.745847,0.066055,7682.001065,27.308140,1484.389187,0.049059,7.868319,0.029443,12617.304507,35.942868,7.774439,0.033596,5080.322188,22.356469,8.257047,0.046698,1563.800215,13.193335,9.274909,0.100817,395.851224,6.987678,11.369214,0.252856,143.719362,3.160298,20.000000,1.686572
9,22.537896,0.051978,24.632145,0.071859,6320.801062,26.171857,1497.234802,0.062772,8.112436,0.035471,13012.047994,37.318702,7.628772,0.037863,5765.443985,24.383495,8.116224,0.042643,1721.716010,14.796913,9.388069,0.112243,461.705968,8.107641,11.257519,0.229656,164.041857,3.366130,20.000000,0.204616
10,22.788821,0.041748,26.424330,0.067088,7594.952491,28.455522,1437.489436,0.056192,8.131758,0.031945,12366.008824,35.661831,7.926773,0.037405,5020.522987,21.991221,8.392565,0.045173,1530.284929,12.356127,9.114573,0.090317,416.205811,8.918120,9.750880,0.227827,149.659256,3.791077,16.356579,0.758832
11,23.465017,0.047541,26.004557,0.059891,5935.728336,23.868762,1468.708724,0.055320,7.988560,0.033366,12764.860761,36.261439,7.697968,0.032617,5887.815823,23.594145,8.450691,0.043881,1837.772406,14.382007,9.434720,0.094947,496.517069,7.816536,11.196784,0.224628,178.140911,3.499576,20.000000,0.663105
12,22.275329,0.031396,25.873764,0.112123,15662.517989,37.166162,1522.028277,0.029611,7.810387,0.018949,8973.032553,32.551238,7.342613,0.044820,2805.143309,16.465891,8.376681,0.058522,759.788471,9.723542,10.009217,0.183637,195.067446,5.354470,11.790687,0.382414,77.742114,2.415338,20.000000,0.224658
13,22.785513,0.029482,25.573820,0.083406,13611.218617,34.508551,1447.166509,0.027951,7.599899,0.018974,11036.035345,34.953030,7.052085,0.032930,2954.966704,18.832461,8.624022,0.069500,781.917785,7.833672,17.926136,0.181335,10.000000,0.434291,2.000000,0.099081,108.669590,3.107007,18.328521,0.687482
14,23.662345,0.030931,27.937512,0.074520,10795.648306,30.205559,1491.056731,0.036375,8.186804,0.023408,10952.088734,33.957751,7.630912,0.033790,3787.324804,18.076964,9.018532,0.054135,1147.584906,11.091328,9.632567,0.114774,310.360535,5.657658,11.946648,0.312813,107.724428,3.316355,20.000000,0.227750
15,23.675396,0.026469,28.092142,0.058728,14343.484873,35.727649,1446.628145,0.025315,7.430451,0.017339,10660.092975,33.169952,7.560413,0.030606,3073.285411,16.806597,8.179208,0.050804,821.157879,8.502047,8.956050,0.108019,211.069546,4.726713,9.292229,0.274987,71.738520,2.100329,20.000000,0.874101
16,22.400498,0.034831,26.226534,0.068657,8701.445057,28.923447,1513.416680,0.042670,7.733496,0.026157,13095.292294,37.892283,7.364645,0.031927,4620.816766,20.612816,8.420423,0.045495,1344.351033,12.197370,9.148026,0.107872,332.218094,6.412852,10.525161,0.269038,127.210466,2.736567,20.000000,0.276198
17,22.397580,0.038041,23.826491,0.070341,9179.197814,28.905138,1532.528452,0.044697,7.889838,0.027444,12586.638618,37.169750,7.147652,0.035129,4229.849630,23.391719,7.934022,0.057364,1204.176925,9.974626,17.423724,0.150162,10.000000,0.427427,2.000000,0.097888,185.873143,4.266753,19.493596,0.426942
18,22.738531,0.037168,26.410934,0.063059,8372.369756,28.688764,1440.629694,0.048587,8.010900,0.028825,12131.020042,35.540224,7.758305,0.035119,4789.849123,21.362497,8.340073,0.046861,1457.218880,12.353914,9.036231,0.092330,379.759276,8.884493,10.141241,0.258391,141.901408,3.890220,18.444477,1.040668
19,22.276251,0.029999,26.641015,0.058876,10745.561853,32.723873,1478.482689,0.037561,7.448445,0.023046,11828.934045,34.920642,7.743884,0.033528,4007.573521,19.341394,8.555224,0.049632,1153.234268,10.565844,8.638538,0.095009,316.902875,7.392341,8.510046,0.207392,119.889421,3.076905,15.763481,0.741288
20,22.821811,0.041679,24.623913,0.066199,8175.089093,27.227563,1524.518045,0.051590,8.236078,0.030901,12541.381613,36.630915,7.375460,0.035370,4461.747195,23.938451,7.866939,0.052692,1321.895778,9.931846,17.596795,0.134834,10.000000,0.434602,2.000000,0.109527,188.681527,4.164802,18.817531,0.461949
21,22.911436,0.038202,25.868122,0.067021,8116.522821,28.078428,1478.360767,0.048304,7.926537,0.028882,12474.775849,36.135079,7.700733,0.034790,4935.850051,21.886608,8.264306,0.045265,1446.564913,12.569702,9.237033,0.100936,387.215541,6.866426,10.723876,0.242020,138.944605,2.929668,20.000000,0.337608
22,22.027939,0.048688,25.407344,0.060582,6261.774727,26.669112,1490.191494,0.062083,8.030740,0.035110,12920.999956,36.996852,7.715352,0.034069,5696.654966,23.771582,8.170734,0.043836,1865.729537,14.433916,8.966839,0.092030,448.171875,7.577737,11.051308,0.219381,185.648224,3.382690,20.000000,0.106239
23,22.374751,0.052258,25.333054,0.071027,6481.143398,27.246085,1488.651687,0.068525,8.400621,0.037570,12312.800370,36.127034,7.778558,0.039222,5503.690989,23.419985,8.477189,0.047049,1793.650660,14.483816,9.140529,0.090208,465.544207,9.039540,10.094258,0.245654,179.679551,4.236156,18.837636,0.683258
24,22.928174,0.047511,24.451228,0.069495,7267.413270,25.829527,1402.395348,0.055952,8.291854,0.033261,12645.617338,36.522094,7.423702,0.035810,4655.411311,24.408475,8.332363,0.059173,1442.910879,11.092590,17.871286,0.133563,10.000000,0.478155,2.000000,0.102963,204.004858,4.619609,18.150569,0.395910
25,24.511848,0.036149,26.462079,0.056728,8127.911417,27.353046,1425.739177,0.044794,7.842380,0.027564,12695.078306,35.154982,8.114780,0.032841,4632.593267,21.717292,7.932116,0.044963,1402.155106,11.275689,9.291449,0.092832,392.418810,8.296865,9.063127,0.192394,129.268311,3.365695,15.144271,0.738967
