channel_num, sp_gap, chisqr/ndf, gauss1 mean, gauss1 ampl, gauss1 sigma, gauss2 ampl, gauss2 sigma, gauss3 ampl, gauss3 sigma, gauss4 ampl, gauss4 sigma, gauss5 ampl, gauss5 sigma, landau ampl, landau mpv, landau sigma, actual peak1 height, actual peak2 height
0, 26.007986, 18.739880, 30.898759, 11352.832508, 6.627893, 4215.725218, 7.133695, 332.079341, 8.409177, 332.079341, 8.409177, 0.000000, 0.000000, 72290.539470, 7.974982, 2.874782, 13080.213078, 12694.051448
1, 24.781307, 24.362480, 30.127592, 11218.636781, 6.407669, 3888.231962, 6.541423, 275.599922, 8.135312, 275.599922, 8.135312, 0.000000, 0.000000, 82041.040401, 7.820487, 2.822388, 14839.767677, 12766.074689
2, 26.352087, 18.603610, 31.095562, 11344.836062, 6.610047, 4108.608817, 7.266595, 327.847650, 8.477550, 327.847650, 8.477550, -0.121859, 0.000000, 72017.334761, 8.067685, 2.898508, 13029.011750, 12689.765801
3, 25.562876, 23.430053, 30.593951, 11402.366674, 6.787408, 4408.184313, 6.988660, 367.988069, 8.396172, 367.988069, 8.396172, 0.000000, 0.000000, 68620.732190, 7.944447, 2.870497, 12428.577424, 12700.453782
4, 26.937711, 43.829678, 30.920650, 8516.756953, 4.952283, 2134.314484, 6.329575, 111.521917, 5.829201, 111.521917, 5.829201, 0.000000, 0.000000, 131688.233209, 7.544914, 2.654927, 23790.291078, 10556.091671
5, 27.108236, 43.977048, 31.493450, 9230.054683, 5.209464, 2438.947223, 6.761502, 128.813197, 7.853531, 128.813197, 7.853531, 0.000000, 0.000000, 123289.646952, 7.423160, 2.601423, 22273.096181, 10966.621352
6, 28.444998, 65.248321, 31.753632, 8602.880051, 4.867360, 2058.474765, 6.379088, 118.418530, 5.576250, 118.418530, 5.576250, 0.000000, 0.000000, 138780.872724, 7.359258, 2.509136, 25071.563380, 10382.523395
7, 28.223676, 44.287807, 32.283657, 9781.513843, 5.430355, 2626.574526, 7.114183, 173.111426, 8.031308, 173.111426, 8.031308, 0.000000, 0.000000, 116695.115665, 7.374388, 2.560490, 21081.792161, 11274.202038
8, 26.236754, 20.866960, 31.281523, 11423.034953, 6.372716, 3816.473394, 7.301311, 275.489992, 8.321372, 275.489992, 8.321372, 0.000000, 0.000000, 79584.466012, 8.012136, 2.866024, 14387.440621, 12851.822265
9, 24.939889, 26.188182, 29.946002, 11301.081736, 6.981704, 4341.545124, 6.754177, 326.628798, 8.423461, 326.628798, 8.423461, 0.000000, 0.000000, 69671.302847, 7.942297, 2.906432, 12645.634486, 12723.243371
